School Name,Tests Taken,Reading / Writing,Writing,Math
Shawsheen Valley Regional Vocational Technical - Shawsheen Valley Vocational Technical High School,     214,526,,520
Shrewsbury - Shrewsbury Sr High,     635,585,,603
Silver Lake - Silver Lake Regional High,     329,567,,576
Sizer School: A North Central Charter Essential (District) - Sizer School: A North Central Charter Essential School,      27,561,,528
Somerset Berkley Regional School District - Somerset Berkley Regional High School,     274,545,,564
Somerville - Full Circle High School,       2,,,
Somerville - Somerville High,     279,514,,512
South Hadley - South Hadley High,     137,571,,584
South Middlesex Regional Vocational Technical - Joseph P Keefe Technical High School,      81,486,,482
South Shore Charter Public (District) - South Shore Charter Public School,      97,512,,494
South Shore Regional Vocational Technical - So Shore Vocational Technical High,      62,510,,507
Southbridge - Southbridge High School,      52,481,,466
Southeastern Regional Vocational Technical - Southeastern Regional Vocational Technical,     263,474,,472
Southern Berkshire - Mt Everett Regional,      28,606,,579
Southern Worcester County Regional Vocational Technical - Bay Path Regional Vocational Technical High School,     153,516,,515
Southwick-Tolland-Granville Regional School District - Southwick Regional School,     109,541,,543
Spencer-E Brookfield - David Prouty High,      55,537,,531
Springfield - Conservatory of the Arts,      52,421,,405
Springfield - High School Of Commerce,      29,433,,447
Springfield - John J Duggan Middle,      24,432,,428
Springfield - Roger L. Putnam Vocational Technical Academy,     338,425,,418
Springfield - Springfield Central High,     463,472,,464
Springfield - Springfield High School of Science and Technology,     253,401,,390
Springfield - The Springfield Renaissance School an Expeditionary Learning School,      99,493,,467
Stoneham - Stoneham High,     220,550,,543
Stoughton - Stoughton High,     294,531,,526
Sturgis Charter Public (District) - Sturgis Charter Public School,     273,587,,572
Sutton - Sutton High School,     124,557,,552
Swampscott - Swampscott High,     194,571,,585
Swansea - Joseph Case High,     104,538,,536
TEC Connections Academy Commonwealth Virtual School District - TEC Connections Academy Commonwealth Virtual School,      99,568,,537
Tantasqua - Tantasqua Regional Sr High,     235,572,,600
Tantasqua - Tantasqua Regional Vocational,      49,529,,540
Taunton - Taunton Alternative High School,       2,,,
Taunton - Taunton High,     544,506,,490
Tewksbury - Tewksbury Memorial High,     247,555,,560
Tri-County Regional Vocational Technical - Tri-County Regional Vocational Technical,     151,522,,519
Triton - Triton Regional High School,     185,558,,551
Tyngsborough - Tyngsborough High School,     144,561,,565
Upper Cape Cod Regional Vocational Technical - Upper Cape Cod Vocational Technical,     115,518,,513
Uxbridge - Gateway to College,       1,,,
Uxbridge - Uxbridge High,     113,545,,536
Wachusett - Wachusett Regional High,     612,568,,569
Wakefield - Wakefield Memorial High,     317,565,,566
Walpole - Walpole High,     388,572,,566
Waltham - Waltham Sr High,     379,525,,526
Ware - Ware Junior/Senior High School,      64,542,,532
Wareham - Wareham Cooperative Alternative School,       2,,,
Wareham - Wareham Senior High,      85,528,,539
Watertown - Watertown High,     163,548,,561
Wayland - Wayland High School,     204,618,,638
Webster - Bartlett High School,      83,518,,516
Wellesley - Wellesley Sr High,     349,625,,628
West Boylston - West Boylston Junior/Senior High,      55,572,,550
West Bridgewater - West Bridgewater Junior/Senior,     129,552,,536
West Springfield - West Springfield High,     198,549,,549
Westborough - Westborough High,     315,593,,610
Westfield - Westfield High,     240,553,,535
Westfield - Westfield Technical Academy,      22,490,,471
Westford - Westford Academy,     533,608,,624
Weston - Weston High,     148,627,,652
Westport - Westport Junior/Senior High School,      58,568,,528
Westwood - Westwood High,     356,596,,611
Weymouth - Weymouth High School,     485,536,,531
Whitman-Hanson - Whitman Hanson Regional,     333,541,,526
Whittier Regional Vocational Technical - Whittier Regional Vocational,     183,514,,490
Wilmington - Wilmington High,     266,558,,543
Winchendon - Murdock High School,      59,529,,512
Winchester - Winchester High School,     380,617,,636
Winthrop - Winthrop High School,     155,539,,525
Woburn - Woburn High,     294,549,,551
Worcester - Burncoat Senior High,     293,458,,454
Worcester - Claremont Academy,     111,428,,421
Worcester - Doherty Memorial High,     471,494,,499
Worcester - North High,     296,425,,420
Worcester - South High Community,     322,466,,473
Worcester - University Pk Campus School,      53,484,,486
Worcester - Worcester Technical High,     420,486,,487
