"School Name","District Name","Reading/Writing Score","Math Score","Tests Taken","# Students SAT ELA Participation"
"West School","Glencoe SD 35",,,,
"South Elem School","Glencoe SD 35",,,,
,"Winnetka SD 36",,,,
"Carleton W Washburne School","Winnetka SD 36",,,,
"Crow Island Elem School","Winnetka SD 36",,,,
"Greeley Elem School","Winnetka SD 36",,,,
"Hubbard Woods Elem School","Winnetka SD 36",,,,
"The Skokie School","Winnetka SD 36",,,,
,"Avoca SD 37",,,,
"Marie Murphy School","Avoca SD 37",,,,
"Avoca West Elem School","Avoca SD 37",,,,
,"Kenilworth SD 38",,,,
"The Joseph Sears School","Kenilworth SD 38",,,,
,"Wilmette SD 39",,,,
"Wilmette Junior High School","Wilmette SD 39",,,,
"Central Elem School","Wilmette SD 39",,,,
"Harper Elem School","Wilmette SD 39",,,,
"McKenzie Elem School","Wilmette SD 39",,,,
"Romona Elem School","Wilmette SD 39",,,,
"Highcrest Middle School","Wilmette SD 39",,,,
,"Schaumburg CCSD 54",,,,
"Jane Addams JHS","Schaumburg CCSD 54",,,,
"Robert Frost JHS","Schaumburg CCSD 54",,,,
"Dwight D Eisenhower JHS","Schaumburg CCSD 54",,,,
"Margaret Mead JHS","Schaumburg CCSD 54",,,,
"Helen Keller JHS","Schaumburg CCSD 54",,,,
"Buzz Aldrin Elem School","Schaumburg CCSD 54",,,,
"Neil Armstrong Elem School","Schaumburg CCSD 54",,,,
"Campanelli Elem School","Schaumburg CCSD 54",,,,
"Winston Churchill Elem School","Schaumburg CCSD 54",,,,
"Michael Collins Elem School","Schaumburg CCSD 54",,,,
"Everett Dirksen Elementary Sch","Schaumburg CCSD 54",,,,
"Thomas Dooley Elem School","Schaumburg CCSD 54",,,,
"Fairview Elem School","Schaumburg CCSD 54",,,,
"Anne Fox Elem School","Schaumburg CCSD 54",,,,
"Hanover Highlands Elem School","Schaumburg CCSD 54",,,,
"Nathan Hale Elem School","Schaumburg CCSD 54",,,,
"Lakeview Elem School","Schaumburg CCSD 54",,,,
"MacArthur International Spanis","Schaumburg CCSD 54",,,,
"John Muir Literacy Academy","Schaumburg CCSD 54",,,,
"Adolph Link Elem School","Schaumburg CCSD 54",,,,
"Albert Einstein Elem School","Schaumburg CCSD 54",,,,
"Hoover Math and Science Academ","Schaumburg CCSD 54",,,,
"Adlai Stevenson Elem School","Schaumburg CCSD 54",,,,
"Frederick Nerge Elem School","Schaumburg CCSD 54",,,,
"Enders-Salk Elem School","Schaumburg CCSD 54",,,,
"Elizabeth Blackwell Elem Schoo","Schaumburg CCSD 54",,,,
"Lincoln Prairie School","Schaumburg CCSD 54",,,,
"The District 54 Early Learning","Schaumburg CCSD 54",,,,
,"Mount Prospect SD 57",,,,
"Lincoln Middle School","Mount Prospect SD 57",,,,
"Fairview Elem School","Mount Prospect SD 57",,,,
"Lions Park Elem School","Mount Prospect SD 57",,,,
"Westbrook Early Learning Cntr","Mount Prospect SD 57",,,,
,"Comm Cons SD 59",,,,
"Grove Jr High School","Comm Cons SD 59",,,,
"Holmes Jr High School","Comm Cons SD 59",,,,
"Friendship Jr High School","Comm Cons SD 59",,,,
"Brentwood Elem School","Comm Cons SD 59",,,,
"Adm Richard E Byrd Elem School","Comm Cons SD 59",,,,
"Clearmont Elem School","Comm Cons SD 59",,,,
"Devonshire School","Comm Cons SD 59",,,,
"Forest View Elem School","Comm Cons SD 59",,,,
"Robert Frost Elem School","Comm Cons SD 59",,,,
"John Jay Elem School","Comm Cons SD 59",,,,
"Juliette Low Elem School","Comm Cons SD 59",,,,
"Rupley Elem School","Comm Cons SD 59",,,,
"Salt Creek Elem School","Comm Cons SD 59",,,,
"Ridge Family Center for Learni","Comm Cons SD 59",,,,
"The Early Learning Center","Comm Cons SD 59",,,,
,"CCSD 62",,,,
"Algonquin Middle School","CCSD 62",,,,
"Chippewa Middle School","CCSD 62",,,,
"Iroquois Community School","CCSD 62",,,,
"Central Elem School","CCSD 62",,,,
"Cumberland Elem School","CCSD 62",,,,
"Forest Elem School","CCSD 62",,,,
"North Elementary School","CCSD 62",,,,
"Orchard Place Elem School","CCSD 62",,,,
"Plainfield Elem School","CCSD 62",,,,
"South Elem School","CCSD 62",,,,
"Terrace Elem School","CCSD 62",,,,
,"East Maine SD 63",,,,
"Gemini Middle School","East Maine SD 63",,,,
"V H Nelson Elem School","East Maine SD 63",,,,
"Mark Twain Elem School","East Maine SD 63",,,,
"Washington Elem School","East Maine SD 63",,,,
"Melzer School","East Maine SD 63",,,,
"Apollo Elem School","East Maine SD 63",,,,
"Early Learning Center","East Maine SD 63",,,,
,"Park Ridge CCSD 64",,,,
"Emerson Middle School","Park Ridge CCSD 64",,,,
"Lincoln Middle School","Park Ridge CCSD 64",,,,
"George B Carpenter Elem School","Park Ridge CCSD 64",,,,
"Eugene Field Elem School","Park Ridge CCSD 64",,,,
"Franklin Elementary School","Park Ridge CCSD 64",,,,
"Theodore Roosevelt Elem School","Park Ridge CCSD 64",,,,
"George Washington Elem School","Park Ridge CCSD 64",,,,
"Jefferson School","Park Ridge CCSD 64",,,,
,"Evanston CCSD 65",,,,
"Chute Middle School","Evanston CCSD 65",,,,
"Haven Middle School","Evanston CCSD 65",,,,
"Nichols Middle School","Evanston CCSD 65",,,,
"Dawes Elementary School","Evanston CCSD 65",,,,
"Dewey Elem School","Evanston CCSD 65",,,,
"Lincoln Elem School","Evanston CCSD 65",,,,
"Lincolnwood Elem School","Evanston CCSD 65",,,,
"Oakton Elem School","Evanston CCSD 65",,,,
"Orrington Elem School","Evanston CCSD 65",,,,
"Walker Elem School","Evanston CCSD 65",,,,
"Washington Elem School","Evanston CCSD 65",,,,
"Willard Elem School","Evanston CCSD 65",,,,
"Dr ML King Jr Literary & Fine ","Evanston CCSD 65",,,,
"Kingsley Elementary School","Evanston CCSD 65",,,,
"Dr Bessie Rhodes Sch Global St","Evanston CCSD 65",,,,
"Joseph E Hill Education Center","Evanston CCSD 65",,,,
,"Golf ESD 67",,,,
"Golf Middle School","Golf ESD 67",,,,
"Hynes Elem School","Golf ESD 67",,,,
,"Skokie SD 68",,,,
"Old Orchard Jr High School","Skokie SD 68",,,,
"Devonshire Elem School","Skokie SD 68",,,,
"Jane Stenson School","Skokie SD 68",,,,
"Highland Elementary School","Skokie SD 68",,,,
,"Skokie SD 69",,,,
"Lincoln Jr High School","Skokie SD 69",,,,
"Thomas Edison Elem School","Skokie SD 69",,,,
"Madison Elem School","Skokie SD 69",,,,
,"Morton Grove SD 70",,,,
"Park View Elem School","Morton Grove SD 70",,,,
,"Niles ESD 71",,,,
"Clarence E Culver School","Niles ESD 71",,,,
,"Fairview SD 72",,,,
"Fairview South Elementary Scho","Fairview SD 72",,,,
,"East Prairie SD 73",,,,
"East Prairie Elem School","East Prairie SD 73",,,,
,"Skokie SD 73-5",,,,
"Oliver McCracken Middle School","Skokie SD 73-5",,,,
"John Middleton Elem School","Skokie SD 73-5",,,,
"Elizabeth Meyer School","Skokie SD 73-5",,,,
,"Lincolnwood SD 74",,,,
"Lincoln Hall Middle School","Lincolnwood SD 74",,,,
"Rutledge Hall Elem School","Lincolnwood SD 74",,,,
"Todd Hall Elem School","Lincolnwood SD 74",,,,
,"Evanston Twp HSD 202",547.2,533.6,803,803
"Evanston Twp High School","Evanston Twp HSD 202",547.2,533.6,803,803
,"New Trier Twp HSD 203",613,612.5,978,978
"New Trier Township H S Winnetk","New Trier Twp HSD 203",613,612.5,978,978
"New Trier Township H S Northfi","New Trier Twp HSD 203",,,,
,"Maine Township HSD 207",514,504.2,1524,1524
"Maine East High School","Maine Township HSD 207",493.4,477.7,450,450
"Maine South High School","Maine Township HSD 207",556.9,551.6,578,578
