unique_id,year,tract_number,county_name,state_name,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)"
05007021101,2020,21101,Benton County,Arkansas,353,14,86,133,120,3236,313,278,1088,552,252,547,206,4.0,24.4,37.7,34.0,9.7,8.6,33.6,17.1,7.8,16.9,6.4
05007021102,2020,21102,Benton County,Arkansas,311,15,212,76,8,2113,258,170,797,402,77,306,103,4.8,68.2,24.4,2.6,12.2,8.0,37.7,19.0,3.6,14.5,4.9
05007021201,2020,21201,Benton County,Arkansas,1455,32,236,1060,127,2550,113,134,700,591,157,464,391,2.2,16.2,72.9,8.7,4.4,5.3,27.5,23.2,6.2,18.2,15.3
05007021202,2020,21202,Benton County,Arkansas,292,59,199,20,14,2023,178,254,616,467,66,344,98,20.2,68.2,6.8,4.8,8.8,12.6,30.4,23.1,3.3,17.0,4.8
05007021304,2020,21304,Benton County,Arkansas,599,0,170,324,105,5741,112,51,1545,1321,204,1445,1063,0.0,28.4,54.1,17.5,2.0,0.9,26.9,23.0,3.6,25.2,18.5
05007021305,2020,21305,Benton County,Arkansas,508,56,154,217,81,4038,163,188,1285,804,494,952,152,11.0,30.3,42.7,15.9,4.0,4.7,31.8,19.9,12.2,23.6,3.8
05007021306,2020,21306,Benton County,Arkansas,310,40,82,160,28,3073,50,42,343,357,133,1596,552,12.9,26.5,51.6,9.0,1.6,1.4,11.2,11.6,4.3,51.9,18.0
05007021308,2020,21308,Benton County,Arkansas,234,46,76,63,49,3763,9,28,348,583,196,1711,888,19.7,32.5,26.9,20.9,0.2,0.7,9.2,15.5,5.2,45.5,23.6
05007021312,2020,21312,Benton County,Arkansas,336,10,236,90,0,3060,24,191,1535,764,128,303,115,3.0,70.2,26.8,0.0,0.8,6.2,50.2,25.0,4.2,9.9,3.8
05007021313,2020,21313,Benton County,Arkansas,142,0,93,49,0,2147,50,171,781,390,29,648,78,0.0,65.5,34.5,0.0,2.3,8.0,36.4,18.2,1.4,30.2,3.6
05007021314,2020,21314,Benton County,Arkansas,74,26,7,14,27,1872,4,97,471,468,207,357,268,35.1,9.5,18.9,36.5,0.2,5.2,25.2,25.0,11.1,19.1,14.3
05007021315,2020,21315,Benton County,Arkansas,533,83,210,83,157,3814,174,120,1012,927,145,934,502,15.6,39.4,15.6,29.5,4.6,3.1,26.5,24.3,3.8,24.5,13.2
05007021316,2020,21316,Benton County,Arkansas,172,16,31,66,59,4256,160,72,701,783,284,1426,830,9.3,18.0,38.4,34.3,3.8,1.7,16.5,18.4,6.7,33.5,19.5
05007021317,2020,21317,Benton County,Arkansas,364,6,92,221,45,1463,6,44,292,365,34,349,373,1.6,25.3,60.7,12.4,0.4,3.0,20.0,24.9,2.3,23.9,25.5
05007021404,2020,21404,Benton County,Arkansas,195,43,80,36,36,3915,57,329,1943,400,187,905,94,22.1,41.0,18.5,18.5,1.5,8.4,49.6,10.2,4.8,23.1,2.4
05007021405,2020,21405,Benton County,Arkansas,96,4,48,44,0,1665,90,132,527,300,64,348,204,4.2,50.0,45.8,0.0,5.4,7.9,31.7,18.0,3.8,20.9,12.3
05007021406,2020,21406,Benton County,Arkansas,489,135,244,103,7,3245,277,335,1083,574,104,507,365,27.6,49.9,21.1,1.4,8.5,10.3,33.4,17.7,3.2,15.6,11.2
05007021407,2020,21407,Benton County,Arkansas,172,23,31,81,37,3198,105,33,963,709,305,706,377,13.4,18.0,47.1,21.5,3.3,1.0,30.1,22.2,9.5,22.1,11.8
05007021408,2020,21408,Benton County,Arkansas,508,12,109,233,154,3279,512,284,1181,539,194,381,188,2.4,21.5,45.9,30.3,15.6,8.7,36.0,16.4,5.9,11.6,5.7
05007021409,2020,21409,Benton County,Arkansas,129,23,8,98,0,1620,60,41,502,352,117,344,204,17.8,6.2,76.0,0.0,3.7,2.5,31.0,21.7,7.2,21.2,12.6
05009790100,2020,790100,Boone County,Arkansas,531,44,279,208,0,4491,108,380,1527,1241,361,587,287,8.3,52.5,39.2,0.0,2.4,8.5,34.0,27.6,8.0,13.1,6.4
05009790200,2020,790200,Boone County,Arkansas,362,158,70,134,0,4413,229,319,1503,1294,586,329,153,43.6,19.3,37.0,0.0,5.2,7.2,34.1,29.3,13.3,7.5,3.5
05009790300,2020,790300,Boone County,Arkansas,367,39,149,166,13,3733,164,275,1299,1088,359,301,247,10.6,40.6,45.2,3.5,4.4,7.4,34.8,29.1,9.6,8.1,6.6
05009790400,2020,790400,Boone County,Arkansas,337,93,119,75,50,4692,175,299,1762,1296,252,643,265,27.6,35.3,22.3,14.8,3.7,6.4,37.6,27.6,5.4,13.7,5.6
05009790501,2020,790501,Boone County,Arkansas,402,134,121,118,29,2959,126,161,1102,614,334,391,231,33.3,30.1,29.4,7.2,4.3,5.4,37.2,20.8,11.3,13.2,7.8
05009790502,2020,790502,Boone County,Arkansas,321,76,148,87,10,2720,73,247,956,803,230,196,215,23.7,46.1,27.1,3.1,2.7,9.1,35.1,29.5,8.5,7.2,7.9
05009790600,2020,790600,Boone County,Arkansas,400,22,171,207,0,3274,117,418,883,720,300,529,307,5.5,42.8,51.8,0.0,3.6,12.8,27.0,22.0,9.2,16.2,9.4
05011950100,2020,950100,Bradley County,Arkansas,134,8,54,61,11,2079,86,97,1024,408,142,206,116,6.0,40.3,45.5,8.2,4.1,4.7,49.3,19.6,6.8,9.9,5.6
