School Name,District Name,City,County,District Type,District Size,School Type,Grades Served,SAT Reading Average Score,SAT Math Average Score,SAT Reading Total Students Level 1 %,SAT Reading Total Students Level 2 %,SAT Reading Total Students Level 3 %,SAT Reading Total Students Level 4 %,SAT Math Total Students Level 1 %,SAT Math Total Students Level 2 %,SAT Math Total Students Level 3 %,SAT Math Total Students Level 4 %,SAT Reading Total Male Students Level 1 %,SAT Reading Total Male Students Level 2 %,SAT Reading Total Male Students Level 3 %,SAT Reading Total Male Students Level 4 %,Tests Taken,# Students SAT ELA Participation
Ridgewood Comm High School,Ridgewood CHSD 234,Norridge,Cook,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,9 - 12,486.6,470.7,29.2,45.3,19.3,6.3,45.3,28.6,24.5,1.6,28.0,49.0,18.0,5.0,192.0,192.0
Elmwood Park High School,Elmwood Park CUSD 401,Elmwood Park,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,469.1,467.3,33.8,43.1,18.2,4.9,47.1,27.1,24.4,1.3,37.3,41.5,17.8,3.4,225.0,225.0
Thornton Township High School,Thornton Twp HSD 205,Harvey,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,9 - 12,416.3,399.9,58.8,36.7,4.5,0.0,76.1,19.1,4.8,0.0,69.4,28.8,1.8,0.0,335.0,335.0
Thornridge High School,Thornton Twp HSD 205,Dolton,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,9 - 12,408.9,394.8,65.9,28.5,5.7,0.0,77.9,19.7,2.5,0.0,71.1,23.7,5.3,0.0,244.0,246.0
Thornwood High School,Thornton Twp HSD 205,South Holland,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,9 - 12,420.6,404.5,56.2,35.9,7.8,0.0,74.6,20.3,5.1,0.0,66.0,26.6,7.5,0.0,473.0,473.0
Bloom High School,Bloom Twp HSD 206,Chicago Heights,Cook,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,9 - 12,429.6,403.9,49.3,42.1,6.8,1.7,75.0,18.5,6.5,0.0,55.9,38.6,3.4,2.1,295.0,295.0
Bloom Trail High School,Bloom Twp HSD 206,Chicago Heights,Cook,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,9 - 12,432.2,405.7,50.4,43.0,4.1,2.5,73.4,20.7,5.4,0.4,55.0,39.5,3.1,2.3,241.0,242.0
Lemont Twp High School,Lemont Twp HSD 210,Lemont,Cook,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,9 - 12,530.0,529.4,11.1,41.7,33.6,13.6,22.2,27.2,40.4,10.2,11.1,43.9,33.3,11.7,325.0,325.0
Thornton Fractnl No High School,Thornton Fractional Twp HSD 215,Calumet City,Cook,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,9 - 12,430.7,407.5,53.0,37.7,8.9,0.3,77.2,16.9,5.6,0.3,57.1,33.6,9.3,0.0,302.0,302.0
Thornton Fractnl So High School,Thornton Fractional Twp HSD 215,Lansing,Cook,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,9 - 12,443.7,417.6,41.7,46.1,10.2,2.0,69.0,21.0,9.4,0.7,48.1,39.4,10.0,2.5,451.0,463.0
Argo Community High School,Argo CHSD 217,Summit,Cook,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,9 - 12,450.3,455.8,43.2,39.4,14.6,2.8,52.8,26.1,17.9,3.2,46.6,39.4,12.7,1.2,465.0,466.0
DD Eisenhower High Sch (Campus),CHSD 218,Blue Island,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,9 - 12,428.8,421.4,53.0,37.9,8.0,1.1,68.7,23.0,8.1,0.2,58.5,36.2,4.8,0.4,434.0,438.0
H L Richards High Sch(Campus),CHSD 218,Oak Lawn,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,9 - 12,453.5,453.3,42.3,41.3,13.2,3.3,51.6,28.1,18.7,1.5,44.8,41.9,10.8,2.5,395.0,395.0
A B Shepard High Sch (Campus),CHSD 218,Palos Heights,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,9 - 12,465.2,455.2,39.6,37.7,16.6,6.1,50.0,28.7,19.6,1.7,45.0,36.6,14.3,4.2,474.0,477.0
Reavis High School,Reavis Twp HSD 220,Burbank,Cook,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,9 - 12,458.7,448.3,37.6,44.7,13.6,4.1,55.1,27.4,15.2,2.2,43.3,39.6,13.7,3.3,496.0,496.0
Rich Township High School,Rich Twp HSD 227,Olympia Fields,Cook,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,9 - 12,418.5,397.5,59.8,31.8,7.8,0.6,77.5,16.7,5.6,0.3,66.8,25.9,7.0,0.3,667.0,668.0
Bremen High School,Bremen CHSD 228,Midlothian,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,9 - 12,431.1,410.2,52.1,38.0,8.0,1.9,72.8,18.9,8.0,0.3,53.0,37.4,7.1,2.5,375.0,376.0
