School Name,District Name,City,County,District Type,District Size,School Type,Grades Served,SAT Reading Average Score,SAT Math Average Score,SAT Reading Total Students Level 1 %,SAT Reading Total Students Level 2 %,SAT Reading Total Students Level 3 %,SAT Reading Total Students Level 4 %,SAT Math Total Students Level 1 %,SAT Math Total Students Level 2 %,SAT Math Total Students Level 3 %,SAT Math Total Students Level 4 %,SAT Reading Total Male Students Level 1 %,SAT Reading Total Male Students Level 2 %,SAT Reading Total Male Students Level 3 %,SAT Reading Total Male Students Level 4 %,Tests Taken,# Students SAT ELA Participation,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),Math Scores,RW Scores
Effingham High School,Effingham CUSD 40,Effingham,Effingham,UNIT,LARGE,HIGH SCHOOL,12-Sep,496,479.8,23.4,43.3,29.2,4.1,34.5,38,25.7,1.8,29,47.3,21.5,2.2,171,171,Illinois,39.1163715,-88.5575871,1301 Grove Avenue,62401,Effingham County,Effingham,17049,"1301 Grove Avenue, Effingham, Illinois, 62401",950800,17049950800,2022,950800,Effingham County,Illinois,622,96,214,219,93,2591,144,119,794,505,318,447,264,15.4,34.4,35.2,15,5.6,4.6,30.6,19.5,12.3,17.3,10.2,1752,58333,69184,4158,307,7.4,3851,92.6,3692,88.8,39,0.9,4,0.1,0,0,0,0,0,0,116,2.8,479.8,496
Teutopolis High School,Teutopolis CUSD 50,Teutopolis,Effingham,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,496.8,495.3,24.3,39.2,27,9.5,31.1,35.1,29.7,4.1,37.5,42.5,15,5,74,74,Illinois,39.1288995,-88.4872311,801 West Main Street,62467,Effingham County,Teutopolis,17049,"801 West Main Street, Teutopolis, Illinois, 62467",950100,17049950100,2022,950100,Effingham County,Illinois,368,37,93,152,86,2761,20,72,937,526,417,498,291,10.1,25.3,41.3,23.4,0.7,2.6,33.9,19.1,15.1,18,10.5,1625,96691,127080,4120,26,0.6,4094,99.4,3925,95.3,14,0.3,0,0,65,1.6,0,0,12,0.3,78,1.9,495.3,496.8
Brownstown High School,Brownstown CUSD 201,Brownstown,Fayette,UNIT,SMALL,HIGH SCHOOL,12-Sep,442.6,441.7,43.5,43.5,13,0,39.1,43.5,17.4,0,66.7,16.7,16.7,0,23,23,Illinois,38.9919794,-88.9573503,421 South College Avenue,62418,Fayette County,Brownstown,17051,"421 South College Avenue, Brownstown, Illinois, 62418",950600,17051950600,2022,950600,Fayette County,Illinois,104,22,49,33,0,1639,17,137,683,337,254,188,23,21.2,47.1,31.7,0,1,8.4,41.7,20.6,15.5,11.5,1.4,948,53375,68621,2352,3,0.1,2349,99.9,2266,96.3,0,0,10,0.4,69,2.9,0,0,0,0,4,0.2,441.7,442.6
St Elmo Sr High School,St Elmo CUSD 202,Saint Elmo,Fayette,UNIT,SMALL,HIGH SCHOOL,12-Sep,454.4,442.3,28.2,64.1,7.7,0,61.5,17.9,20.5,0,38.1,57.1,4.8,0,39,39,Illinois,39.0445443,-88.8455037,,N/A,Fayette County,N/A,17051,,950500,17051950500,2022,950500,Fayette County,Illinois,201,17,48,121,15,1972,68,144,799,453,255,173,80,8.5,23.9,60.2,7.5,3.4,7.3,40.5,23,12.9,8.8,4.1,1042,53068,74437,2807,32,1.1,2775,98.9,2683,95.6,15,0.5,0,0,28,1,0,0,0,0,49,1.7,442.3,454.4
Vandalia Community High School,Vandalia CUSD 203,Vandalia,Fayette,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,477.7,460.5,36,38,19,7,47,28,25,0,38,40,12,10,100,100,Illinois,38.972798,-89.1006547,1109 North 8th Street,62471,Fayette County,Vandalia,17051,"1109 North 8th Street, Vandalia, Illinois, 62471",950800,17051950800,2022,950800,Fayette County,Illinois,526,84,161,278,3,3283,91,402,1458,566,413,212,141,16,30.6,52.9,0.6,2.8,12.2,44.4,17.2,12.6,6.5,4.3,1358,36649,58411,4428,346,7.8,4082,92.2,3324,75.1,564,12.7,76,1.7,3,0.1,10,0.2,0,0,105,2.4,460.5,477.7
Ramsey High School,Ramsey CUSD 204,Ramsey,Fayette,UNIT,SMALL,HIGH SCHOOL,12-Jun,447.7,439.4,37.1,48.6,14.3,0,60,17.1,22.9,0,38.9,44.4,16.7,0,35,35,Illinois,39.1405275,-89.1140872,702 6th Street,62080,Fayette County,Ramsey,17051,"702 6th Street, Ramsey, Illinois, 62080",950700,17051950700,2022,950700,Fayette County,Illinois,455,47,267,141,0,3685,54,431,1332,693,376,610,189,10.3,58.7,31,0,1.5,11.7,36.1,18.8,10.2,16.6,5.1,1741,68472,85728,5431,42,0.8,5389,99.2,5144,94.7,85,1.6,6,0.1,0,0,0,0,0,0,154,2.8,439.4,447.7
Lincolnwood High School,Panhandle CUSD 2,Raymond,Montgomery,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,483.4,457.8,25,50,21.9,3.1,37.5,43.8,18.8,0,18.2,72.7,9.1,0,32,32,Illinois,39.3268102,-89.5714264,507 North Prairie Street,62560,Montgomery County,Raymond,17135,"507 North Prairie Street, Raymond, Illinois, 62560",957500,17135957500,2022,957500,Montgomery County,Illinois,278,51,86,131,10,1903,23,82,622,439,214,352,171,18.3,30.9,47.1,3.6,1.2,4.3,32.7,23.1,11.2,18.5,9,1140,78000,88163,3021,156,5.2,2865,94.8,2744,90.8,31,1,12,0.4,10,0.3,0,0,0,0,68,2.3,457.8,483.4
Hillsboro High School,Hillsboro CUSD 3,Hillsboro,Montgomery,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,469.2,431.8,34.4,45.2,14,6.5,65.6,20.4,14,0,44.4,41.7,5.6,8.3,93,93,Illinois,39.1527446,-89.4877793,522 East Tremont Street,62049,Montgomery County,Hillsboro,17135,"522 East Tremont Street, Hillsboro, Illinois, 62049",957900,17135957900,2022,957900,Montgomery County,Illinois,208,3,101,80,24,3232,64,237,1105,855,238,382,351,1.4,48.6,38.5,11.5,2,7.3,34.2,26.5,7.4,11.8,10.9,1896,50893,69975,4576,114,2.5,4462,97.5,4336,94.8,22,0.5,0,0,0,0,0,0,45,1,59,1.3,431.8,469.2
Litchfield Senior High School,Litchfield CUSD 12,Litchfield,Montgomery,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,488.4,459.9,26.4,40.2,24.1,9.2,44.8,31,23,1.1,22,43.9,22,12.2,88,88,Illinois,39.1889,-89.6554583,1705 North State Street,62056,Montgomery County,Litchfield,17135,"1705 North State Street, Litchfield, Illinois, 62056",957700,17135957700,2022,957700,Montgomery County,Illinois,88,18,28,32,10,2386,31,127,1013,418,202,436,159,20.5,31.8,36.4,11.4,1.3,5.3,42.5,17.5,8.5,18.3,6.7,1314,52857,66318,3197,8,0.3,3189,99.7,2971,92.9,45,1.4,0,0,24,0.8,0,0,0,0,149,4.7,459.9,488.4
Nokomis Jr/Sr High Sch,Nokomis CUSD 22,Nokomis,Montgomery,UNIT,MEDIUM,HIGH SCHOOL,12-Jun,470.4,449,31.3,47.9,14.6,6.3,52.1,27.1,20.8,0,38.5,53.8,3.8,3.8,48,48,Illinois,39.3046773,-89.2951517,511 Oberle Street,62075,Montgomery County,Nokomis,17135,"511 Oberle Street, Nokomis, Illinois, 62075",957300,17135957300,2022,957300,Montgomery County,Illinois,266,65,74,103,24,2188,90,204,1019,376,172,221,106,24.4,27.8,38.7,9,4.1,9.3,46.6,17.2,7.9,10.1,4.8,1322,65254,77287,3117,10,0.3,3107,99.7,2986,95.8,3,0.1,2,0.1,95,3,0,0,0,0,21,0.7,449,470.4
Belvidere High School,Belvidere CUSD 100,Belvidere,Boone,UNIT,LARGE,HIGH SCHOOL,12-Sep,446.6,420.4,43.2,41.4,14,1.4,65.7,25.3,8.3,0.7,46.8,38.1,13.7,1.4,279,280,Illinois,42.2444132,-88.8308238,1500 East Avenue,61008,Boone County,Belvidere,17007,"1500 East Avenue, Belvidere, Illinois, 61008",10200,17007010200,2022,10200,Boone County,Illinois,521,56,59,377,29,3683,389,197,1365,961,246,354,171,10.7,11.3,72.4,5.6,10.6,5.3,37.1,26.1,6.7,9.6,4.6,2384,44630,66260,5664,2309,40.8,3355,59.2,3177,56.1,74,1.3,0,0,1,0,0,0,0,0,103,1.8,420.4,446.6
Belvidere North High Sch,Belvidere CUSD 100,Belvidere,Boone,UNIT,LARGE,HIGH SCHOOL,12-Sep,471.4,447.1,34.3,41.9,19.4,4.4,54.1,27.1,17.1,1.8,38.8,42.4,13.9,4.8,342,343,Illinois,42.2892229,-88.8626944,9393 Beloit Road,61008,Boone County,Belvidere,17007,"9393 Beloit Road, Belvidere, Illinois, 61008",10502,17007010502,2022,10502,Boone County,Illinois,430,90,102,176,62,3622,57,69,1303,984,335,606,268,20.9,23.7,40.9,14.4,1.6,1.9,36,27.2,9.2,16.7,7.4,1814,82955,105749,4998,432,8.6,4566,91.4,4250,85,62,1.2,40,0.8,185,3.7,0,0,0,0,29,0.6,447.1,471.4
North Boone High School,North Boone CUSD 200,Poplar Grove,Boone,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,456,446.4,43.4,37.2,15.5,3.9,56.3,27,15.1,1.6,53.6,29,14.5,2.9,126,129,Illinois,42.4129133,-88.8191428,17823 Poplar Grove Road,61065,Boone County,Poplar Grove,17007,"17823 Poplar Grove Road, Poplar Grove, Illinois, 61065",10601,17007010601,2022,10601,Boone County,Illinois,344,21,213,106,4,2480,125,88,811,539,198,565,154,6.1,61.9,30.8,1.2,5,3.5,32.7,21.7,8,22.8,6.2,1276,99583,112105,3637,559,15.4,3078,84.6,3036,83.5,3,0.1,0,0,0,0,0,0,0,0,39,1.1,446.4,456
Auburn High School,Rockford SD 205,Rockford,Winnebago,UNIT,LARGE,HIGH SCHOOL,12-Sep,471.2,451.8,44.4,29.9,11.7,14,62,14.6,16.3,7.1,53,23.5,12.1,11.4,351,352,Illinois,42.2867708,-89.138098,5110 Auburn Street,61101,Winnebago County,Rockford,17201,"5110 Auburn Street, Rockford, Illinois, 61101",2301,17201002301,2022,2301,Winnebago County,Illinois,142,8,71,0,63,1647,61,211,683,402,72,106,112,5.6,50,0,44.4,3.7,12.8,41.5,24.4,4.4,6.4,6.8,845,36188,53521,2213,339,15.3,1874,84.7,1111,50.2,656,29.6,0,0,0,0,0,0,8,0.4,99,4.5,451.8,471.2
Rockford East High School,Rockford SD 205,Rockford,Winnebago,UNIT,LARGE,HIGH SCHOOL,12-Sep,425.2,400.4,54.2,37.7,7.2,0.9,80.8,16,3.2,0,58.6,34.3,7.2,0,343,345,Illinois,42.2563589,-89.0495867,2929 Charles Street,61108,Winnebago County,Rockford,17201,"2929 Charles Street, Rockford, Illinois, 61108",1500,17201001500,2022,1500,Winnebago County,Illinois,515,84,205,226,0,3606,344,234,1005,905,640,220,258,16.3,39.8,43.9,0,9.5,6.5,27.9,25.1,17.7,6.1,7.2,2344,46230,64924,5280,1269,24,4011,76,2998,56.8,690,13.1,0,0,175,3.3,0,0,0,0,148,2.8,400.4,425.2
Guilford High School,Rockford SD 205,Rockford,Winnebago,UNIT,LARGE,HIGH SCHOOL,12-Sep,451.5,431.9,43,37.9,15.6,3.4,61.6,24.4,13,1,47.2,39.7,12.6,0.5,412,412,Illinois,42.2980626,-89.0069754,5620 Spring Creek Road,61114,Winnebago County,Rockford,17201,"5620 Spring Creek Road, Rockford, Illinois, 61114",516,17201000516,2022,516,Winnebago County,Illinois,311,159,53,99,0,2774,88,130,735,450,161,571,639,51.1,17,31.8,0,3.2,4.7,26.5,16.2,5.8,20.6,23,1452,102700,107542,3762,699,18.6,3063,81.4,2753,73.2,124,3.3,1,0,0,0,0,0,0,0,185,4.9,431.9,451.5
Jefferson High School,Rockford SD 205,Rockford,Winnebago,UNIT,LARGE,HIGH SCHOOL,12-Sep,420.3,402.2,56.9,37.4,5.4,0.3,79.2,15.9,4.9,0,57.7,34.3,8,0,389,390,Illinois,42.2070913,-89.0377287,4145 Samuelson Road,61109,Winnebago County,Rockford,17201,"4145 Samuelson Road, Rockford, Illinois, 61109",3706,17201003706,2022,3706,Winnebago County,Illinois,450,60,137,253,0,3999,84,552,1241,878,429,530,285,13.3,30.4,56.2,0,2.1,13.8,31,22,10.7,13.3,7.1,2276,78389,89656,5540,750,13.5,4790,86.5,3432,61.9,648,11.7,0,0,527,9.5,0,0,0,0,183,3.3,402.2,420.3
Hononegah CHD High School,Hononegah CHD 207,Rockton,Winnebago,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,12-Sep,539.7,519.2,14.4,34.5,33,18.1,25.1,29.5,37.7,7.8,19.6,33.9,32.1,14.3,451,452,Illinois,42.4298917,-89.1324866,,N/A,Winnebago County,N/A,17201,,3901,17201003901,2022,3901,Winnebago County,Illinois,458,18,250,133,57,3434,13,65,934,664,447,629,682,3.9,54.6,29,12.4,0.4,1.9,27.2,19.3,13,18.3,19.9,1788,122260,136832,5316,473,8.9,4843,91.1,4265,80.2,207,3.9,0,0,261,4.9,0,0,0,0,110,2.1,519.2,539.7
South Beloit Sr High School,County of Winnebago SD 320,South Beloit,Winnebago,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,462.1,452.8,46.5,37.2,9.3,7,48.8,39.5,9.3,2.3,48,32,12,8,43,43,Illinois,42.4859566,-89.0426311,850 Hayes Avenue,61080,Winnebago County,South Beloit,17201,"850 Hayes Avenue, South Beloit, Illinois, 61080",4004,17201004004,2022,4004,Winnebago County,Illinois,358,35,145,145,33,4195,43,305,1311,759,748,605,424,9.8,40.5,40.5,9.2,1,7.3,31.3,18.1,17.8,14.4,10.1,2617,74387,80106,6030,459,7.6,5571,92.4,5094,84.5,234,3.9,0,0,78,1.3,0,0,0,0,165,2.7,452.8,462.1
Pecatonica High School,Pecatonica CUSD 321,Pecatonica,Winnebago,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,541.8,511.6,10.9,38.2,29.1,21.8,25.5,30.9,38.2,5.5,13.8,27.6,31,27.6,55,55,Illinois,42.3024686,-89.3585816,1300 Main Street,61063,Winnebago County,Pecatonica,17201,"1300 Main Street, Pecatonica, Illinois, 61063",4300,17201004300,2022,4300,Winnebago County,Illinois,334,40,109,154,31,3522,91,83,1087,966,392,722,181,12,32.6,46.1,9.3,2.6,2.4,30.9,27.4,11.1,20.5,5.1,1999,97114,111009,4904,87,1.8,4817,98.2,4575,93.3,13,0.3,8,0.2,0,0,0,0,0,0,221,4.5,511.6,541.8
Durand High School,Durand CUSD 322,Durand,Winnebago,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,497.3,456.6,17.1,51.2,26.8,4.9,48.8,39,12.2,0,22.2,50,27.8,0,41,41,Illinois,42.4329245,-89.3341091,200 West South Street,61024,Winnebago County,Durand,17201,"200 West South Street, Durand, Illinois, 61024",4100,17201004100,2022,4100,Winnebago County,Illinois,386,38,63,256,29,3625,24,167,1309,825,498,498,304,9.8,16.3,66.3,7.5,0.7,4.6,36.1,22.8,13.7,13.7,8.4,1995,87684,107679,5139,44,0.9,5095,99.1,4930,95.9,47,0.9,0,0,28,0.5,0,0,13,0.3,77,1.5,456.6,497.3
Winnebago High School,Winnebago CUSD 323,Winnebago,Winnebago,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,507.1,485.9,14.7,53.9,24.5,6.9,39.2,34.3,22.5,3.9,13.2,56.6,22.6,7.5,102,102,Illinois,42.2717305,-89.239431,200 East McNair Road,61088,Winnebago County,Winnebago,17201,"200 East McNair Road, Winnebago, Illinois, 61088",4200,17201004200,2022,4200,Winnebago County,Illinois,455,0,156,271,28,4141,71,236,1115,997,561,611,550,0,34.3,59.6,6.2,1.7,5.7,26.9,24.1,13.5,14.8,13.3,2313,87523,115559,6148,396,6.4,5752,93.6,5550,90.3,67,1.1,4,0.1,56,0.9,0,0,0,0,75,1.2,485.9,507.1
Evanston Twp High School,Evanston Twp HSD 202,Evanston,Cook,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,12-Sep,530.1,509.7,22.1,29,25.7,23.1,33.8,24,30.8,11.4,25.9,28.5,24.6,21.1,917,918,Illinois,42.0463103,-87.7007442,1600 Dodge Avenue,60201,Cook County,Evanston,17031,"1600 Dodge Avenue, Evanston, Illinois, 60201",809600,17031809600,2022,809600,Cook County,Illinois,239,49,86,91,13,2294,61,184,409,266,135,605,634,20.5,36,38.1,5.4,2.7,8,17.8,11.6,5.9,26.4,27.6,1371,76844,126461,3226,429,13.3,2797,86.7,1256,38.9,1099,34.1,0,0,171,5.3,0,0,0,0,271,8.4,509.7,530.1
New Trier Township H S Winnetka,New Trier Twp HSD 203,Winnetka,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,12-Oct,595.2,586.7,6.7,22.1,30.6,40.6,11,19.5,45.1,24.4,8.4,22.3,29.9,39.4,947,955,Illinois,42.0930019,-87.7251711,High Street,60093,Cook County,Winnetka,17031,"High Street, Winnetka, Illinois, 60093",800500,17031800500,2022,800500,Cook County,Illinois,241,72,47,103,19,3440,0,58,117,200,59,1466,1540,29.9,19.5,42.7,7.9,0,1.7,3.4,5.8,1.7,42.6,44.8,1825,250001,433917,5576,84,1.5,5492,98.5,5170,92.7,2,0,0,0,86,1.5,5,0.1,0,0,229,4.1,586.7,595.2
Maine East High School,Maine Township HSD 207,Park Ridge,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,12-Sep,481.4,474,30.9,41.9,18.2,9,45.7,25,24.3,5,32.3,38.1,20.2,9.4,446,446,Illinois,42.0383867,-87.8586582,2601 Dempster Street,60068,Cook County,Park Ridge,17031,"2601 Dempster Street, Park Ridge, Illinois, 60068",805902,17031805902,2022,805902,Cook County,Illinois,536,66,264,174,32,4814,118,264,780,668,261,2030,693,12.3,49.3,32.5,6,2.5,5.5,16.2,13.9,5.4,42.2,14.4,2202,144931,184590,6402,433,6.8,5969,93.2,4211,65.8,90,1.4,0,0,1292,20.2,0,0,0,0,376,5.9,474,481.4
Maine South High School,Maine Township HSD 207,Park Ridge,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,12-Sep,557.5,551.9,7.2,36.3,33.6,23,15.8,28,41,15.1,10.2,33,34.6,22.2,614,614,Illinois,42.0004819,-87.8537674,1111 South Dee Road,60068,Cook County,Park Ridge,17031,"1111 South Dee Road, Park Ridge, Illinois, 60068",805701,17031805701,2022,805701,Cook County,Illinois,237,32,88,82,35,3642,42,65,318,631,240,1282,1064,13.5,37.1,34.6,14.8,1.2,1.8,8.7,17.3,6.6,35.2,29.2,2121,157411,188851,5361,543,10.1,4818,89.9,4402,82.1,105,2,0,0,211,3.9,0,0,0,0,100,1.9,551.9,557.5
Maine West High School,Maine Township HSD 207,Des Plaines,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,12-Sep,481.2,476,29.2,45.2,18.4,7.2,42.7,29.8,23.9,3.6,32.8,44.8,16,6.4,473,473,Illinois,42.0210151,-87.9068809,1755 South Wolf Road,60018,Cook County,Des Plaines,17031,"1755 South Wolf Road, Des Plaines, Illinois, 60018",770602,17031770602,2022,770602,Cook County,Illinois,451,140,95,122,94,3208,423,341,1115,371,346,385,227,31,21.1,27.1,20.8,13.2,10.6,34.8,11.6,10.8,12,7.1,1572,80568,89975,4586,2091,45.6,2495,54.4,1947,42.5,50,1.1,0,0,335,7.3,0,0,11,0.2,152,3.3,476,481.2
J B Conant High School,Township HSD 211,Hoffman Estates,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,12-Sep,529.5,546.4,17.7,36.4,28.3,17.7,24.5,20.4,38.8,16.4,19.5,35.5,28,17.1,593,594,Illinois,42.0363212,-88.0619521,700 East Cougar Trail,60169,Cook County,Hoffman Estates,17031,"700 East Cougar Trail, Hoffman Estates, Illinois, 60169",804608,17031804608,2022,804608,Cook County,Illinois,151,17,54,47,33,2649,41,90,317,427,190,806,778,11.3,35.8,31.1,21.9,1.5,3.4,12,16.1,7.2,30.4,29.4,1587,120565,137835,3634,450,12.4,3184,87.6,1564,43,95,2.6,0,0,1206,33.2,0,0,90,2.5,229,6.3,546.4,529.5
Wm Fremd High School,Township HSD 211,Palatine,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,12-Sep,572.8,586.2,9.7,30,27.1,33.2,17.8,13.8,38.1,30.3,11.3,31.2,26.7,30.9,680,680,Illinois,42.0947146,-88.0647694,1000 South Quentin Road,60067,Cook County,Palatine,17031,"1000 South Quentin Road, Palatine, Illinois, 60067",804102,17031804102,2022,804102,Cook County,Illinois,247,44,105,87,11,4898,60,64,363,758,286,1864,1503,17.8,42.5,35.2,4.5,1.2,1.3,7.4,15.5,5.8,38.1,30.7,2435,170819,207669,6865,113,1.6,6752,98.4,5134,74.8,127,1.8,0,0,1292,18.8,0,0,0,0,199,2.9,586.2,572.8
Palatine High School,Township HSD 211,Palatine,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,12-Sep,485.4,477.3,31.4,38.2,21.5,8.9,45.9,23.7,23.1,7.3,34.5,35.4,21.8,8.3,658,660,Illinois,42.1326312,-88.0225277,1111 North Rohlwing Road,60074,Cook County,Palatine,17031,"1111 North Rohlwing Road, Palatine, Illinois, 60074",803605,17031803605,2022,803605,Cook County,Illinois,483,64,81,173,165,4749,390,111,936,853,378,1363,718,13.3,16.8,35.8,34.2,8.2,2.3,19.7,18,8,28.7,15.1,2507,100506,122633,6694,1312,19.6,5382,80.4,4131,61.7,502,7.5,0,0,707,10.6,0,0,15,0.2,27,0.4,477.3,485.4
Schaumburg High School,Township HSD 211,Schaumburg,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,12-Sep,513.5,529.6,20.6,40.1,25.9,13.4,24.8,24.4,39.6,11.1,24.7,39.4,24.7,11.2,541,545,Illinois,42.0273099,-88.1067061,1100 West Schaumburg Road,60194,Cook County,Schaumburg,17031,"1100 West Schaumburg Road, Schaumburg, Illinois, 60194",804710,17031804710,2022,804710,Cook County,Illinois,200,6,38,108,48,2918,16,59,689,759,380,716,299,3,19,54,24,0.5,2,23.6,26,13,24.5,10.2,1521,95703,110047,3836,352,9.2,3484,90.8,2667,69.5,43,1.1,0,0,651,17,0,0,0,0,123,3.2,529.6,513.5
Hoffman Estates High School,Township HSD 211,Hoffman Estates,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,12-Sep,498.3,500.1,24.6,42.3,22.9,10.2,38.1,22.6,29.6,9.8,33.8,40,18.8,7.5,471,472,Illinois,42.0529247,-88.1075151,1100 West Higgins Road,60169,Cook County,Hoffman Estates,17031,"1100 West Higgins Road, Hoffman Estates, Illinois, 60169",804706,17031804706,2022,804706,Cook County,Illinois,102,0,25,51,26,1624,52,30,357,290,144,520,231,0,24.5,50,25.5,3.2,1.8,22,17.9,8.9,32,14.2,725,116354,133297,2255,437,19.4,1818,80.6,1359,60.3,12,0.5,0,0,371,16.5,0,0,6,0.3,70,3.1,500.1,498.3
Elk Grove High School,Township HSD 214,Elk Grove Village,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,12-Sep,478.8,469,33.1,41.4,19,6.5,46.2,30,20.6,3.2,38.4,38.4,17.4,5.8,476,478,Illinois,42.0112193,-87.9976725,500 West Elk Grove Boulevard,60007,Cook County,Elk Grove Village,17031,"500 West Elk Grove Boulevard, Elk Grove Village, Illinois, 60007",770300,17031770300,2022,770300,Cook County,Illinois,524,5,220,197,102,4809,45,198,1425,988,449,1063,641,1,42,37.6,19.5,0.9,4.1,29.6,20.5,9.3,22.1,13.3,2717,88614,109371,7001,1203,17.2,5798,82.8,4987,71.2,359,5.1,0,0,340,4.9,0,0,0,0,112,1.6,469,478.8
John Hersey High School,Township HSD 214,Arlington Heights,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,12-Sep,573.4,559.6,8,28.1,33.7,30.2,14.6,24.1,45.7,15.6,10,33.5,29.3,27.2,488,489,Illinois,42.1038234,-87.9590565,1900 East Thomas Street,60004,Cook County,Arlington Heights,17031,"1900 East Thomas Street, Arlington Heights, Illinois, 60004",802608,17031802608,2022,802608,Cook County,Illinois,350,70,212,14,54,4656,69,33,1035,768,399,1575,777,20,60.6,4,15.4,1.5,0.7,22.2,16.5,8.6,33.8,16.7,2921,88346,117889,6009,528,8.8,5481,91.2,4742,78.9,205,3.4,0,0,497,8.3,0,0,0,0,37,0.6,559.6,573.4
Prospect High School,Township HSD 214,Mt Prospect,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,12-Sep,559.2,551.2,7.7,36,34,22.3,17.4,28.6,38.7,15.3,10.4,36.8,35.1,17.7,556,556,Illinois,42.0791362,-87.9497214,801 West Kensington Road,60056,Cook County,Mount Prospect,17031,"801 West Kensington Road, Mount Prospect, Illinois, 60056",802801,17031802801,2022,802801,Cook County,Illinois,299,66,87,55,91,3273,54,40,401,408,167,1183,1020,22.1,29.1,18.4,30.4,1.6,1.2,12.3,12.5,5.1,36.1,31.2,1859,131918,159486,4689,683,14.6,4006,85.4,3429,73.1,113,2.4,0,0,293,6.2,0,0,5,0.1,166,3.5,551.2,559.2
Wheeling High School,Township HSD 214,Wheeling,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,12-Sep,461.7,470.5,40.3,39.1,16.1,4.6,44.7,29.6,22.6,3.1,46.6,34.8,14.7,3.9,416,417,Illinois,42.1259362,-87.9386557,900 South Elmhurst Road,60090,Cook County,Wheeling,17031,"900 South Elmhurst Road, Wheeling, Illinois, 60090",802504,17031802504,2022,802504,Cook County,Illinois,474,16,209,216,33,4693,666,189,1130,797,337,1141,433,3.4,44.1,45.6,7,14.2,4,24.1,17,7.2,24.3,9.2,2120,92541,107441,6844,3000,43.8,3844,56.2,2426,35.4,23,0.3,0,0,986,14.4,0,0,289,4.2,120,1.8,470.5,461.7
