School Name,School Code,Tests Taken,Reading / Writing,Math,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %,District Code,African American %,Asian %,Hispanic %,White %,Native American %,"Native Hawaiian, Pacific Islander %","Multi-Race, Non-Hispanic %",District Name,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,Year
Wakefield - Wakefield Memorial High,3050505,177,573,549,414,15.2,837,52.1,47.6,2,17.6,16.1,3050000,3.5,3.8,9.7,79.7,0.2,0.1,3,Wakefield,"          $66,129,075.95",3296.9,"              $20,057.96","          $70,816,435.25",3428.1,"              $20,657.63",2023
Walpole - Walpole High,3070505,242,579,565,501,16,961,49.6,50.2,2.9,17.6,15.8,3070000,4.7,7.5,7.7,77.1,0.2,0,2.8,Walpole,"          $70,051,652.51",3663,"              $19,124.12","          $74,245,038.01",3759.2,"              $19,750.22",2023
Waltham - Waltham Sr High,3080505,195,550,538,1025,16.7,1868,46.4,53.6,23.7,13.7,51.6,3080000,8.9,3.6,53.4,31.4,0,0,2.6,Waltham,"         $139,237,560.00",5703.3,"              $24,413.51","         $147,261,160.80",5900,"              $24,959.52",2023
Ware - Ware Junior/Senior High School,3090505,35,516,531,228,16.6,476,47.1,52.9,0.8,21.6,55,3090000,1.9,0.2,11.3,80.5,0.2,0.4,5.5,Ware,"          $22,345,027.80",1109.3,"              $20,143.36","          $25,360,546.84",1328,"              $19,096.80",2023
Wareham - Wareham Senior High,3100505,32,578,543,468,12.1,594,48.5,51,0.2,32.5,61.8,3100000,11.1,0.2,9.1,63.8,1.2,0.2,14.5,Wareham,"          $45,749,934.85",1992.2,"              $22,964.53","          $54,245,631.77",2371.2,"              $22,876.87",2023
Watertown - Watertown High,3140505,118,561,574,420,14.6,774,46.4,53.1,15.4,16.3,45.6,3140000,4.8,7.4,25.6,55.3,0.3,0,6.7,Watertown,"          $66,951,931.00",2683,"              $24,954.13","          $77,689,247.79",2813.6,"              $27,612.04",2023
Wayland - Wayland High School,3150505,207,643,652,368,16,818,50,49.9,0.9,19.3,8.4,3150000,5.9,17.6,5.3,64.4,0,0.1,6.7,Wayland,"          $59,935,502.31",2757.6,"              $21,734.66","          $62,808,371.32",2801.4,"              $22,420.35",2023
Wellesley - Wellesley Sr High,3170505,330,645,649,652,15.4,1352,53.3,46.4,0.5,15.9,8.2,3170000,4.7,16.5,7.1,66.1,0,0,5.6,Wellesley,"         $109,122,594.90",4165.4,"              $26,197.39","         $116,839,000.20",4234.7,"              $27,590.86",2023
West Boylston - West Boylston Junior/Senior High,3220505,50,563,526,349,13.2,448,50.5,49.6,4,15,29.5,3220000,3.4,3.8,13.4,75.7,0,0.2,3.6,West Boylston,"          $17,087,579.45",865.5,"              $19,743.01","          $19,788,688.36",954,"              $20,742.86",2023
West Bridgewater - West Bridgewater Junior/Senior,3230505,63,568,546,414,16.6,625,50.9,49.1,2.4,11.2,24.6,3230000,10.6,1.1,7.4,75.7,0.2,0.2,5,West Bridgewater,"          $20,933,013.73",1405.4,"              $14,894.70","          $22,891,238.21",1449.4,"              $15,793.60",2023
West Springfield - West Springfield High,3320505,105,568,541,682,15.9,1216,46.3,52.8,10.9,16.8,50.5,3320000,5.3,7.8,20.7,61.8,0,0.1,4.3,West Springfield,"          $68,978,424.57",3905.8,"              $17,660.51","          $76,093,084.50",4111,"              $18,509.63",2023
Westborough - Westborough High,3210505,310,623,638,758,14.9,1218,51.2,48.4,6.4,9.4,14.9,3210000,3.5,32.8,9.2,51.7,0.3,0,2.6,Westborough,"          $75,495,273.10",3853.5,"              $19,591.35","          $80,076,039.69",3921.1,"              $20,421.83",2023
Westfield - Westfield High,3250505,88,557,538,511,15.8,998,52.9,47,7.3,21.4,42.4,3250000,2.2,3.2,20.2,70.1,0.2,0,4,Westfield,"          $87,431,372.00",4838.1,"              $18,071.43","          $96,874,212.01",5160.8,"              $18,771.16",2023
Westfield - Westfield Technical Academy,3250605,15,527,505,288,13.7,543,31.3,68.1,3.1,24.1,40.2,3250000,1.7,1.3,15.5,79.7,0,0,1.8,Westfield,"          $87,431,372.00",4838.1,"              $18,071.43","          $96,874,212.01",5160.8,"              $18,771.16",2023
Westford - Westford Academy,3260505,446,622,631,699,16.9,1458,51.1,48.6,0.7,13.9,7,3260000,2.3,33.3,3.2,60.4,0.5,0.1,0.2,Westford,"          $78,886,850.50",4739.1,"              $16,645.96","          $85,172,275.82",4832.1,"              $17,626.35",2023
Weston - Weston High,3300505,132,656,672,415,14.2,658,45.9,54,2.1,21,6.5,3300000,5.5,22.6,6.2,58.7,0,0,7,Weston,"          $59,656,523.57",2016.7,"              $29,581.26","          $63,500,271.71",2047.6,"              $31,012.05",2023
Westport - Westport Middle-High School,3310515,44,562,537,382,17.5,887,46.7,53.2,1.6,21.1,31.9,3310000,1.5,0.7,4.4,89.7,0.2,0,3.5,Westport,"          $27,523,722.00",1465.9,"              $18,775.99","          $30,762,169.89",1617.9,"              $19,013.64",2023
Westwood - Westwood High,3350505,278,597,597,510,13.5,876,47.8,51.8,0.5,15.8,8.3,3350000,2.4,13,7.1,74.5,0,0,3,Westwood,"          $67,607,983.00",2900.8,"              $23,306.67","          $70,581,846.76",2934.6,"              $24,051.61",2023
Weymouth - Weymouth High School,3360505,251,547,528,933,14.5,1779,52.7,47.1,6.2,22.6,39.7,3360000,9.3,5.9,14.7,65.5,0.3,0.1,4.1,Weymouth,"         $100,835,299.00",5526.6,"              $18,245.45","         $118,037,484.00",5962,"              $19,798.30",2023
Whitman-Hanson - Whitman Hanson Regional,7800505,161,558,537,400,16,1016,52.2,47.8,4.4,15.7,29.1,7800000,6.7,2.1,9.7,78.3,0.7,0.2,2.5,Whitman-Hanson,"          $60,420,621.00",3506.3,"              $17,232.02","          $66,412,582.95",3649.7,"              $18,196.72",2023
Whittier Regional Vocational Technical - Whittier Regional Vocational,8850605,47,539,515,1234,11,1290,42.3,56.7,2.3,15.1,36.7,8850000,3.6,1.9,28.6,61.2,0.1,0.1,4.6,Whittier Regional Vocational Technical,"          $30,180,303.00",1274.5,"              $23,680.11","          $30,249,605.00",1277.3,"              $23,682.46",2023
Wilmington - Wilmington High,3420505,146,580,576,395,14.1,628,49.4,50.3,0.5,14.7,15.3,3420000,1.6,7.3,7.6,79.1,0.2,0,4.1,Wilmington,"          $63,367,007.61",2799,"              $22,639.16","          $70,619,474.54",2896.7,"              $24,379.28",2023
Winchendon - Murdock High School,3430515,36,474,454,146,13.6,266,46.2,52.6,2.6,23.7,54.1,3430000,2.6,2.3,12.4,80.5,0,0.4,1.9,Winchendon,"          $22,565,441.84",1238.6,"              $18,218.51","          $25,238,357.44",1412,"              $17,874.19",2023
