District Name,School Name,SCHOOL LEA,N,Math Avg,Math % Met,English Avg,English % Met,Reading Avg,Reading % Met,Science Avg,Science % Met,All % Met,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),Math Scores,RW Scores
GOSNELL SCHOOL DISTRICT,GOSNELL HIGH SCHOOL,4708031,81,19.5,37.00%,17.9,49.40%,17.4,24.70%,18.8,21.00%,13.60%,Arkansas,35.9643325,-89.9665908,630 Arkansas 181,72315,Mississippi County,Blytheville,5093,"630 Arkansas 181, Blytheville, Arkansas, 72315",11400,5093011400,2019,11400,Mississippi County,Arkansas,166,48,85,33,0,1580,125,251,522,315,197,87,83,28.9,51.2,19.9,0,7.9,15.9,33,19.9,12.5,5.5,5.3,1032,48892,58262,2136,65,3,2071,97,1816,85,238,11.1,0,0,3,0.1,0,0,0,0,14,0.7,19.5,17.4
MANILA SCHOOL DISTRICT,MANILA HIGH SCHOOL,4712044,55,18.7,27.30%,17.5,45.50%,18,25.50%,18.1,10.90%,5.50%,Arkansas,35.8792135,-90.1569828,419 Olympia Avenue,72442,Mississippi County,Manila,5093,"419 Olympia Avenue, Manila, Arkansas, 72442",10802,5093010802,2019,10802,Mississippi County,Arkansas,233,40,116,77,0,2095,130,158,757,314,402,197,137,17.2,49.8,33,0,6.2,7.5,36.1,15,19.2,9.4,6.5,1165,54386,73970,3212,0,0,3212,100,3189,99.3,7,0.2,0,0,0,0,0,0,0,0,16,0.5,18.7,18
OSCEOLA SCHOOL DISTRICT,OSCEOLA HIGH SCHOOL,4713051,70,15.3,4.30%,13.5,11.40%,14.5,4.30%,15,1.40%,1.40%,Arkansas,35.20105,-91.8318334,,N/A,White County,N/A,5145,,71001,5145071001,2019,71001,White County,Arkansas,108,6,60,21,21,3058,67,235,1518,504,148,457,129,5.6,55.6,19.4,19.4,2.2,7.7,49.6,16.5,4.8,14.9,4.2,1497,49841,76612,3743,114,3,3629,97,3385,90.4,52,1.4,96,2.6,0,0,0,0,0,0,96,2.6,15.3,14.5
BRINKLEY SCHOOL DISTRICT,BRINKLEY HIGH SCHOOL,4801003,28,16.4,3.60%,16.5,32.10%,17.1,14.30%,17,3.60%,3.60%,Arkansas,34.877241,-91.1944922,100 Tigers Dr,72021,Monroe County,Brinkley,5095,"100 Tigers Dr, Brinkley, Arkansas, 72021",950100,5095950100,2019,950100,Monroe County,Arkansas,298,109,95,78,16,2173,136,351,1075,374,46,143,48,36.6,31.9,26.2,5.4,6.3,16.2,49.5,17.2,2.1,6.6,2.2,1465,30228,41436,3090,39,1.3,3051,98.7,1238,40.1,1735,56.1,0,0,11,0.4,0,0,0,0,67,2.2,16.4,17.1
CLARENDON SCHOOL DISTRICT,CLARENDON HIGH SCHOOL,4802010,42,16.2,11.90%,14.9,26.20%,15.9,14.30%,15.9,4.80%,2.40%,Arkansas,34.6952361,-91.3060175,320 North 7th Street,72029,Monroe County,Clarendon,5095,"320 North 7th Street, Clarendon, Arkansas, 72029",950200,5095950200,2019,950200,Monroe County,Arkansas,86,13,42,31,0,1504,114,174,573,260,109,200,74,15.1,48.8,36,0,7.6,11.6,38.1,17.3,7.2,13.3,4.9,969,38229,52905,2091,36,1.7,2055,98.3,1468,70.2,496,23.7,47,2.2,0,0,0,0,0,0,44,2.1,16.2,15.9
CADDO HILLS SCHOOL DISTRICT,CADDO HILLS HIGH SCHOOL,4901003,47,17.9,23.40%,17.4,42.60%,18.4,36.20%,18.3,21.30%,12.80%,Arkansas,34.4198507,-93.6312389,2268 Arkansas 8,71935,Montgomery County,Caddo Gap,5097,"2268 Arkansas 8, Caddo Gap, Arkansas, 71935",953200,5097953200,2019,953200,Montgomery County,Arkansas,209,32,86,91,0,2795,213,368,1036,616,222,231,109,15.3,41.1,43.5,0,7.6,13.2,37.1,22,7.9,8.3,3.9,1545,36278,48749,3738,337,9,3401,91,3176,85,8,0.2,17,0.5,0,0,0,0,0,0,200,5.4,17.9,18.4
MOUNT IDA SCHOOL DISTRICT,MOUNT IDA HIGH SCHOOL,4902007,37,18.8,27.00%,16.6,32.40%,17.7,16.20%,18.7,27.00%,13.50%,Arkansas,34.5565539,-93.6377032,338 Whittington Street,71957,Montgomery County,Mount Ida,5097,"338 Whittington Street, Mount Ida, Arkansas, 71957",953000,5097953000,2019,953000,Montgomery County,Arkansas,131,2,104,25,0,2418,95,239,776,844,94,235,135,1.5,79.4,19.1,0,3.9,9.9,32.1,34.9,3.9,9.7,5.6,1314,48571,61049,3058,33,1.1,3025,98.9,2952,96.5,20,0.7,35,1.1,0,0,0,0,0,0,18,0.6,18.8,17.7
PRESCOTT SCHOOL DISTRICT,PRESCOTT HIGH SCHOOL,5006024,59,16.7,8.50%,16.6,35.60%,18.1,22.00%,17.5,10.20%,6.80%,Arkansas,33.7913217,-93.3775516,736 Martin Street,71857,Nevada County,Prescott,5099,"736 Martin Street, Prescott, Arkansas, 71857",90200,5099090200,2019,90200,Nevada County,Arkansas,326,105,180,41,0,2922,55,111,1471,643,289,232,121,32.2,55.2,12.6,0,1.9,3.8,50.3,22,9.9,7.9,4.1,1645,43036,46612,4224,0,0,4224,100,2728,64.6,1379,32.6,0,0,0,0,0,0,0,0,117,2.8,16.7,18.1
NEVADA SCHOOL DISTRICT,NEVADA HIGH SCHOOL,5008014,22,16.4,9.10%,16.5,40.90%,15.7,4.50%,17.3,9.10%,0.00%,Arkansas,33.6185131,-93.2986106,,N/A,Nevada County,N/A,5099,,90100,5099090100,2019,90100,Nevada County,Arkansas,183,23,91,66,3,1750,173,115,846,275,150,120,71,12.6,49.7,36.1,1.6,9.9,6.6,48.3,15.7,8.6,6.9,4.1,850,50000,53262,2454,1,0,2453,100,1381,56.3,983,40.1,21,0.9,0,0,0,0,0,0,68,2.8,16.4,15.7
JASPER SCHOOL DISTRICT,JASPER HIGH SCHOOL,5102006,43,16.8,14.00%,17.2,53.50%,18.1,25.60%,18.1,14.00%,2.30%,Arkansas,36.0050667,-93.1899672,600 School Street,72641,Newton County,Jasper,5101,"600 School Street, Jasper, Arkansas, 72641",180100,5101180100,2019,180100,Newton County,Arkansas,353,44,200,109,0,2714,155,237,995,713,184,322,108,12.5,56.7,30.9,0,5.7,8.7,36.7,26.3,6.8,11.9,4,1437,39583,48497,4045,0,0,4045,100,3812,94.2,3,0.1,3,0.1,0,0,34,0.8,0,0,193,4.8,16.8,18.1
JASPER SCHOOL DISTRICT,KINGSTON HIGH SCHOOL,5102008,17,19.5,23.50%,21,76.50%,21,52.90%,21.4,47.10%,23.50%,Arkansas,36.0540657,-93.5163726,220 Madison 2620,72742,Madison County,Kingston,5087,"220 Madison 2620, Kingston, Arkansas, 72742",960400,5087960400,2019,960400,Madison County,Arkansas,191,30,110,51,0,2435,219,116,1341,395,113,114,137,15.7,57.6,26.7,0,9,4.8,55.1,16.2,4.6,4.7,5.6,1373,37679,47352,3346,45,1.3,3301,98.7,2987,89.3,0,0,16,0.5,1,0,25,0.7,0,0,272,8.1,19.5,21
JASPER SCHOOL DISTRICT,OARK HIGH SCHOOL,5102024,12,16.8,8.30%,15.2,25.00%,15.3,0.00%,16.5,8.30%,0.00%,Arkansas,35.6886138,-93.5770339,338 Arkansas 215,72952,Johnson County,Oark,5071,"338 Arkansas 215, Oark, Arkansas, 72952",951700,5071951700,2019,951700,Johnson County,Arkansas,309,45,60,151,53,3486,120,329,1420,588,202,675,152,14.6,19.4,48.9,17.2,3.4,9.4,40.7,16.9,5.8,19.4,4.4,1821,42489,57652,4925,63,1.3,4862,98.7,4542,92.2,19,0.4,47,1,135,2.7,0,0,0,0,119,2.4,16.8,15.3
DEER/MT. JUDEA SCHOOL DISTRICT,DEER K-12 SCHOOL,5106003,18,16.4,5.60%,16.8,44.40%,17.8,22.20%,18.1,5.60%,0.00%,Arkansas,35.8987234,-93.0375914,,N/A,Newton County,N/A,5101,,180200,5101180200,2019,180200,Newton County,Arkansas,247,0,53,180,14,2908,163,234,1115,736,198,287,175,0,21.5,72.9,5.7,5.6,8,38.3,25.3,6.8,9.9,6,1559,39528,51149,3708,72,1.9,3636,98.1,3401,91.7,0,0,132,3.6,8,0.2,0,0,0,0,95,2.6,16.4,17.8
DEER/MT. JUDEA SCHOOL DISTRICT,MT. JUDEA K-12 SCHOOL,5106004,9,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,Arkansas,35.8987234,-93.0375914,,N/A,Newton County,N/A,5101,,180200,5101180200,2019,180200,Newton County,Arkansas,247,0,53,180,14,2908,163,234,1115,736,198,287,175,0,21.5,72.9,5.7,5.6,8,38.3,25.3,6.8,9.9,6,1559,39528,51149,3708,72,1.9,3636,98.1,3401,91.7,0,0,132,3.6,8,0.2,0,0,0,0,95,2.6,,
BEARDEN SCHOOL DISTRICT,BEARDEN HIGH SCHOOL,5201002,40,16.9,10.00%,15.5,27.50%,16.6,10.00%,16.7,7.50%,5.00%,Arkansas,33.7309841,-92.6212832,635 North Plum Street,71720,Ouachita County,Bearden,5103,"635 North Plum Street, Bearden, Arkansas, 71720",950102,5103950102,2019,950102,Ouachita County,Arkansas,133,17,10,106,0,2264,136,412,901,448,135,205,27,12.8,7.5,79.7,0,6,18.2,39.8,19.8,6,9.1,1.2,1324,32162,46453,2890,102,3.5,2788,96.5,1704,59,1084,37.5,0,0,0,0,0,0,0,0,0,0,16.9,16.6
CAMDEN FAIRVIEW SCHOOL DISTRICT,CAMDEN FAIRVIEW HIGH SCHOOL,5204023,166,16.2,10.80%,15.1,24.70%,16.4,13.30%,16.4,9.00%,3.60%,Arkansas,33.5513511,-92.8530052,1750 Cash Road Southwest,71701,Ouachita County,Camden,5103,"1750 Cash Road Southwest, Camden, Arkansas, 71701",950600,5103950600,2019,950600,Ouachita County,Arkansas,125,55,53,17,0,2907,156,426,1002,783,167,275,98,44,42.4,13.6,0,5.4,14.7,34.5,26.9,5.7,9.5,3.4,1555,33346,44637,4249,77,1.8,4172,98.2,1919,45.2,2194,51.6,0,0,0,0,0,0,0,0,59,1.4,16.2,16.4
HARMONY GROVE SCHOOL DISTRICT (OUACHITA),SPARKMAN HIGH SCHOOL,5205012,10,17.4,20.00%,19.1,60.00%,17.6,20.00%,18.3,10.00%,10.00%,Arkansas,33.9163193,-92.8510475,325 East Main Street,71763,Dallas County,Sparkman,5039,"325 East Main Street, Sparkman, Arkansas, 71763",970200,5039970200,2019,970200,Dallas County,Arkansas,49,2,24,18,5,1565,48,114,698,297,145,204,59,4.1,49,36.7,10.2,3.1,7.3,44.6,19,9.3,13,3.8,841,44375,56857,1827,0,0,1827,100,1376,75.3,409,22.4,0,0,0,0,28,1.5,0,0,14,0.8,17.4,17.6
HARMONY GROVE SCHOOL DISTRICT (OUACHITA),HARMONY GROVE HIGH SCHOOL,5205029,48,17.6,22.90%,16.2,35.40%,17,18.80%,17.7,14.60%,6.30%,Arkansas,33.6514941,-92.7799058,401 Ouachita Road 88,71701,Ouachita County,Camden,5103,"401 Ouachita Road 88, Camden, Arkansas, 71701",950102,5103950102,2019,950102,Ouachita County,Arkansas,133,17,10,106,0,2264,136,412,901,448,135,205,27,12.8,7.5,79.7,0,6,18.2,39.8,19.8,6,9.1,1.2,1324,32162,46453,2890,102,3.5,2788,96.5,1704,59,1084,37.5,0,0,0,0,0,0,0,0,0,0,17.6,17
EAST END SCHOOL DISTRICT,BIGELOW HIGH SCHOOL,5301002,45,17.5,13.30%,16.6,42.20%,18.6,33.30%,18,17.80%,2.20%,Arkansas,34.9981436,-92.6326964,101 Panther Drive,72016,Perry County,Bigelow,5105,"101 Panther Drive, Bigelow, Arkansas, 72016",952700,5105952700,2019,952700,Perry County,Arkansas,303,74,87,124,18,3789,111,248,1558,844,245,542,241,24.4,28.7,40.9,5.9,2.9,6.5,41.1,22.3,6.5,14.3,6.4,1837,44142,62442,5272,138,2.6,5134,97.4,4884,92.6,225,4.3,1,0,6,0.1,0,0,0,0,18,0.3,17.5,18.6
PERRYVILLE SCHOOL DISTRICT,PERRYVILLE HIGH SCHOOL,5303011,59,17.1,13.60%,16.9,35.60%,18.1,22.00%,17.4,15.30%,10.20%,Arkansas,34.9583939,-92.9775558,,N/A,Perry County,N/A,5105,,952900,5105952900,2019,952900,Perry County,Arkansas,119,13,9,96,1,1346,34,53,544,342,118,174,81,10.9,7.6,80.7,0.8,2.5,3.9,40.4,25.4,8.8,12.9,6,732,43182,58472,1857,38,2,1819,98,1627,87.6,25,1.3,13,0.7,0,0,0,0,0,0,154,8.3,17.1,18.1
BARTON-LEXA SCHOOL DISTRICT,BARTON HIGH SCHOOL,5401003,54,16.8,7.40%,15.7,27.80%,16.1,5.60%,16.5,1.90%,0.00%,Arkansas,34.5523289,-90.7673009,9546 Arkansas 85,72390,Phillips County,N/A,5107,"9546 Arkansas 85, N/A, Arkansas, 72390",480202,5107480202,2019,480202,Phillips County,Arkansas,149,10,53,41,45,1643,43,310,503,407,129,218,33,6.7,35.6,27.5,30.2,2.6,18.9,30.6,24.8,7.9,13.3,2,897,46215,58927,2316,26,1.1,2290,98.9,1195,51.6,1095,47.3,0,0,0,0,0,0,0,0,0,0,16.8,16.1
HELENA/ WEST HELENA SCHOOL DISTRICT,CENTRAL HIGH SCHOOL,5403019,98,15,4.10%,14.3,21.40%,14.7,5.10%,15.1,2.00%,0.00%,Arkansas,34.5440852,-90.6273814,103 School Road,72390,Phillips County,Helena-West Helena,5107,"103 School Road, Helena-West Helena, Arkansas, 72390",480300,5107480300,2019,480300,Phillips County,Arkansas,406,134,176,96,0,3042,162,272,1100,737,372,315,84,33,43.3,23.6,0,5.3,8.9,36.2,24.2,12.2,10.4,2.8,2057,24422,35792,5395,5,0.1,5390,99.9,991,18.4,4362,80.9,0,0,0,0,0,0,0,0,37,0.7,15,14.7
MARVELL-ELAINE SCHOOL DISTRICT,MARVELL-ELAINE HIGH SCHOOL,5404032,26,15.5,7.70%,14.5,26.90%,14.4,3.80%,14.2,0.00%,0.00%,Arkansas,34.5492072,-90.9438468,,N/A,Phillips County,N/A,5107,,480202,5107480202,2019,480202,Phillips County,Arkansas,149,10,53,41,45,1643,43,310,503,407,129,218,33,6.7,35.6,27.5,30.2,2.6,18.9,30.6,24.8,7.9,13.3,2,897,46215,58927,2316,26,1.1,2290,98.9,1195,51.6,1095,47.3,0,0,0,0,0,0,0,0,0,0,15.5,14.4
KIPP DELTA PUBLIC SCHOOLS,KIPP:DELTA COLLEGIATE HIGH SCHOOL,5440703,31,18.5,25.80%,17.2,32.30%,18.4,19.40%,17.9,9.70%,9.70%,Arkansas,35.20105,-91.8318334,,N/A,White County,N/A,5145,,71001,5145071001,2019,71001,White County,Arkansas,108,6,60,21,21,3058,67,235,1518,504,148,457,129,5.6,55.6,19.4,19.4,2.2,7.7,49.6,16.5,4.8,14.9,4.2,1497,49841,76612,3743,114,3,3629,97,3385,90.4,52,1.4,96,2.6,0,0,0,0,0,0,96,2.6,18.5,18.4
KIPP DELTA PUBLIC SCHOOLS,KIPP BLYTHEVILLE COLLEGIATE HIGH SCHOOL,5440706,38,17.1,10.50%,14.4,21.10%,15.2,7.90%,16.6,5.30%,2.60%,Arkansas,35.9284963,-89.9080319,,72315,Mississippi County,Blytheville,5093,,10100,5093010100,2019,10100,Mississippi County,Arkansas,51,0,35,5,11,851,46,130,384,171,38,51,31,0,68.6,9.8,21.6,5.4,15.3,45.1,20.1,4.5,6,3.6,544,28750,29942,1354,44,3.2,1310,96.8,193,14.3,1083,80,0,0,0,0,0,0,5,0.4,29,2.1,17.1,15.2
CENTERPOINT SCHOOL DISTRICT,CENTERPOINT HIGH SCHOOL,5502010,67,18,16.40%,17.5,47.80%,18.6,23.90%,19.5,22.40%,10.40%,Arkansas,34.2874409,-93.5117152,755 Arkansas 8,71921,Pike County,Amity,5109,"755 Arkansas 8, Amity, Arkansas, 71921",953300,5109953300,2019,953300,Pike County,Arkansas,245,24,60,161,0,2697,395,127,921,675,124,272,183,9.8,24.5,65.7,0,14.6,4.7,34.1,25,4.6,10.1,6.8,1488,33775,59094,3795,551,14.5,3244,85.5,3037,80,66,1.7,26,0.7,1,0,0,0,0,0,114,3,18,18.6
KIRBY SCHOOL DISTRICT,KIRBY HIGH SCHOOL,5503011,19,16.5,0.00%,15.3,26.30%,17.3,21.10%,17.7,21.10%,0.00%,Arkansas,34.2482513,-93.6399655,2614 Arkansas 27,71950,Pike County,Kirby,5109,"2614 Arkansas 27, Kirby, Arkansas, 71950",953300,5109953300,2019,953300,Pike County,Arkansas,245,24,60,161,0,2697,395,127,921,675,124,272,183,9.8,24.5,65.7,0,14.6,4.7,34.1,25,4.6,10.1,6.8,1488,33775,59094,3795,551,14.5,3244,85.5,3037,80,66,1.7,26,0.7,1,0,0,0,0,0,114,3,16.5,17.3
SOUTH PIKE COUNTY SCHOOL DISTRICT,MURFREESBORO HIGH SCHOOL,5504015,38,17.7,13.20%,17,39.50%,18.1,26.30%,19.1,23.70%,2.60%,Arkansas,34.0582807,-93.6875104,605 3rd Avenue,71958,Pike County,Murfreesboro,5109,"605 3rd Avenue, Murfreesboro, Arkansas, 71958",953500,5109953500,2019,953500,Pike County,Arkansas,463,40,173,201,49,3246,165,256,1116,776,312,456,165,8.6,37.4,43.4,10.6,5.1,7.9,34.4,23.9,9.6,14,5.1,1901,44051,51172,4781,107,2.2,4674,97.8,4116,86.1,342,7.2,14,0.3,8,0.2,0,0,3,0.1,191,4,17.7,18.1
HARRISBURG SCHOOL DISTRICT,HARRISBURG COLLEGE & CAREER PREPARATORY SCHOOL,5602703,85,17.4,14.10%,16.9,38.80%,17.8,21.20%,17.9,14.10%,8.20%,Arkansas,35.5203142,-90.6393702,,N/A,Poinsett County,N/A,5111,,490200,5111490200,2019,490200,Poinsett County,Arkansas,131,33,39,59,0,1034,137,117,452,151,47,67,63,25.2,29.8,45,0,13.2,11.3,43.7,14.6,4.5,6.5,6.1,621,40750,49695,1433,55,3.8,1378,96.2,1281,89.4,0,0,0,0,0,0,0,0,0,0,97,6.8,17.4,17.8
MARKED TREE SCHOOL DISTRICT,MARKED TREE HIGH SCHOOL,5604017,46,16.4,6.50%,15.2,17.40%,15.5,13.00%,15.1,4.30%,2.20%,Arkansas,35.5276217,-90.4209489,406 Saint Francis Street,72365,Poinsett County,Marked Tree,5111,"406 Saint Francis Street, Marked Tree, Arkansas, 72365",490700,5111490700,2019,490700,Poinsett County,Arkansas,134,38,62,21,13,1584,125,239,607,305,59,180,69,28.4,46.3,15.7,9.7,7.9,15.1,38.3,19.3,3.7,11.4,4.4,958,25526,38866,2178,51,2.3,2127,97.7,1600,73.5,260,11.9,0,0,9,0.4,0,0,6,0.3,252,11.6,16.4,15.5
TRUMANN SCHOOL DISTRICT,TRUMANN HIGH SCHOOL,5605023,91,17,13.20%,15.9,29.70%,16.4,12.10%,16.9,6.60%,3.30%,Arkansas,35.6725246,-90.5323769,1620 West Main Street,72472,Poinsett County,Trumann,5111,"1620 West Main Street, Trumann, Arkansas, 72472",490400,5111490400,2019,490400,Poinsett County,Arkansas,199,16,46,137,0,2937,365,142,1222,676,61,307,164,8,23.1,68.8,0,12.4,4.8,41.6,23,2.1,10.5,5.6,1756,49516,57158,4249,40,0.9,4209,99.1,3957,93.1,69,1.6,0,0,0,0,0,0,0,0,183,4.3,17,16.4
EAST POINSETT CO. SCHOOL DIST.,EAST POINSETT CO. HIGH SCHOOL,5608037,51,17.7,11.80%,17,37.30%,17.8,23.50%,17.6,7.80%,0.00%,Arkansas,35.6083508,-90.3404851,616 McClellan Avenue,72354,Poinsett County,Lepanto,5111,"616 McClellan Avenue, Lepanto, Arkansas, 72354",490100,5111490100,2019,490100,Poinsett County,Arkansas,343,86,104,143,10,2920,338,311,1347,495,136,211,82,25.1,30.3,41.7,2.9,11.6,10.7,46.1,17,4.7,7.2,2.8,1595,38322,59038,4064,130,3.2,3934,96.8,3438,84.6,192,4.7,3,0.1,2,0,0,0,0,0,299,7.4,17.7,17.8
MENA SCHOOL DISTRICT,MENA HIGH SCHOOL,5703012,93,19,26.90%,18.3,46.20%,19,33.30%,18.8,23.70%,16.10%,Arkansas,34.5800952,-94.2180163,1200 Dallas Avenue,71953,Polk County,Mena,5113,"1200 Dallas Avenue, Mena, Arkansas, 71953",950400,5113950400,2019,950400,Polk County,Arkansas,382,166,102,114,0,2039,82,134,899,417,172,159,176,43.5,26.7,29.8,0,4,6.6,44.1,20.5,8.4,7.8,8.6,1132,43836,57081,2771,108,3.9,2663,96.1,2429,87.7,20,0.7,82,3,48,1.7,0,0,0,0,84,3,19,19
OUACHITA RIVER SCHOOL DISTRICT,ACORN HIGH SCHOOL,5706002,37,18.5,21.60%,18.2,45.90%,19.4,32.40%,19.5,24.30%,10.80%,Arkansas,34.637519,-94.2075185,143 Polk County Road 96,71953,Polk County,Mena,5113,"143 Polk County Road 96, Mena, Arkansas, 71953",950202,5113950202,2019,950202,Polk County,Arkansas,256,0,209,18,29,2261,67,153,707,816,218,257,43,0,81.6,7,11.3,3,6.8,31.3,36.1,9.6,11.4,1.9,1398,36759,60150,3202,44,1.4,3158,98.6,3099,96.8,33,1,0,0,0,0,0,0,26,0.8,0,0,18.5,19.4
OUACHITA RIVER SCHOOL DISTRICT,ODEN SCHOOLS,5706009,15,19.6,33.30%,19.7,60.00%,20.1,40.00%,19.4,20.00%,13.30%,Arkansas,34.5803987,-93.8655303,,N/A,Montgomery County,N/A,5097,,953100,5097953100,2019,953100,Montgomery County,Arkansas,225,92,59,74,0,1524,53,173,464,341,189,179,125,40.9,26.2,32.9,0,3.5,11.4,30.4,22.4,12.4,11.7,8.2,847,36280,48442,2168,16,0.7,2152,99.3,2025,93.4,0,0,46,2.1,34,1.6,0,0,0,0,47,2.2,19.6,20.1
COSSATOT RIVER SCHOOL DISTRICT,COSSATOT RIVER HIGH SCHOOL,5707023,61,17.5,19.70%,16.3,34.40%,17.3,13.10%,17.4,16.40%,4.90%,Arkansas,34.3832364,-94.3869121,6330 U.S. 71,71937,Polk County,Cove,5113,"6330 U.S. 71, Cove, Arkansas, 71937",950500,5113950500,2019,950500,Polk County,Arkansas,48,13,6,29,0,1623,101,171,619,420,121,126,65,27.1,12.5,60.4,0,6.2,10.5,38.1,25.9,7.5,7.8,4,888,44552,70637,2121,49,2.3,2072,97.7,1709,80.6,0,0,91,4.3,0,0,21,1,73,3.4,178,8.4,17.5,17.3
COSSATOT RIVER SCHOOL DISTRICT,UMPIRE K-12 SCHOOL,5707024,15,17.2,13.30%,19.1,60.00%,19.7,33.30%,18.5,6.70%,6.70%,Arkansas,34.2775266,-94.0526464,142 School Street,71971,Howard County,Umpire,5061,"142 School Street, Umpire, Arkansas, 71971",950100,5061950100,2019,950100,Howard County,Arkansas,296,50,63,164,19,2751,99,328,1270,444,241,272,97,16.9,21.3,55.4,6.4,3.6,11.9,46.2,16.1,8.8,9.9,3.5,1687,37567,58937,4085,365,8.9,3720,91.1,3462,84.7,192,4.7,0,0,0,0,0,0,0,0,66,1.6,17.2,19.7
ATKINS SCHOOL DISTRICT,ATKINS HIGH SCHOOL,5801002,67,19.6,41.80%,19.7,53.70%,19.1,28.40%,19.8,25.40%,17.90%,Arkansas,35.2453482,-92.941787,403 Avenue 3 Northwest,72823,Pope County,Atkins,5115,"403 Avenue 3 Northwest, Atkins, Arkansas, 72823",951100,5115951100,2019,951100,Pope County,Arkansas,273,78,69,92,34,2744,83,241,1132,626,46,399,217,28.6,25.3,33.7,12.5,3,8.8,41.3,22.8,1.7,14.5,7.9,1475,46825,60758,3946,212,5.4,3734,94.6,3573,90.5,83,2.1,2,0.1,0,0,0,0,0,0,76,1.9,19.6,19.1
DOVER SCHOOL DISTRICT,DOVER HIGH SCHOOL,5802006,108,18.2,20.40%,19.5,57.40%,20.3,48.10%,19.5,25.90%,14.80%,Arkansas,35.3971901,-93.1164735,101 Pirate Loop,72837,Pope County,Dover,5115,"101 Pirate Loop, Dover, Arkansas, 72837",950902,5115950902,2019,950902,Pope County,Arkansas,232,17,135,73,7,3143,151,403,1251,608,291,369,70,7.3,58.2,31.5,3,4.8,12.8,39.8,19.3,9.3,11.7,2.2,1692,38782,57296,4205,49,1.2,4156,98.8,4111,97.8,1,0,0,0,1,0,0,0,0,0,43,1,18.2,20.3
HECTOR SCHOOL DISTRICT,HECTOR HIGH SCHOOL,5803010,40,18.2,25.00%,20.4,67.50%,20.5,37.50%,20,32.50%,17.50%,Arkansas,35.4696088,-92.9737878,11601 Arkansas 27,72843,Pope County,Hector,5115,"11601 Arkansas 27, Hector, Arkansas, 72843",950700,5115950700,2019,950700,Pope County,Arkansas,187,16,56,109,6,2844,334,446,1280,355,108,224,97,8.6,29.9,58.3,3.2,11.7,15.7,45,12.5,3.8,7.9,3.4,1483,36388,73289,3862,21,0.5,3841,99.5,3704,95.9,46,1.2,15,0.4,0,0,0,0,0,0,76,2,18.2,20.5
POTTSVILLE SCHOOL DISTRICT,POTTSVILLE HIGH SCHOOL,5804014,117,18.3,21.40%,20.2,65.80%,20.3,41.00%,20.2,34.20%,13.70%,Arkansas,35.2389165,-93.0287288,500 Apache Drive,72858,Pope County,Pottsville,5115,"500 Apache Drive, Pottsville, Arkansas, 72858",951202,5115951202,2019,951202,Pope County,Arkansas,472,7,264,128,73,3227,61,271,1244,586,311,573,181,1.5,55.9,27.1,15.5,1.9,8.4,38.5,18.2,9.6,17.8,5.6,2057,62813,110925,5120,304,5.9,4816,94.1,4408,86.1,277,5.4,0,0,0,0,0,0,0,0,131,2.6,18.3,20.3
RUSSELLVILLE SCHOOL DISTRICT,RUSSELLVILLE HIGH SCHOOL,5805024,414,18.6,26.60%,18,50.50%,19.3,37.00%,19.3,26.30%,15.50%,Arkansas,35.2578473,-93.1179535,2203 South Knoxville Avenue,72802,Pope County,Russellville,5115,"2203 South Knoxville Avenue, Russellville, Arkansas, 72802",951601,5115951601,2019,951601,Pope County,Arkansas,959,5,312,552,90,4119,566,422,1496,811,257,455,112,0.5,32.5,57.6,9.4,13.7,10.2,36.3,19.7,6.2,11,2.7,2521,34248,53108,7098,2733,38.5,4365,61.5,3875,54.6,272,3.8,15,0.2,20,0.3,0,0,0,0,183,2.6,18.6,19.3
