school_name,Grade,District Name, Average % ACT Composite Score ,perc_test_taking_grades_9_12_students,number_of_students,perc_frl,perc_white,perc_hispanic,perc_african_american,perc_other_race,perc_minority,Region, Number of Students in Grades 9-12 , % Students in grade 9-12 that took the ACT2,ACT_reading,ACT_english,ACT_math,ACT_science,Average ACT Composite Score,number_AP_exam_taking_students,number_AP_exams_taken,% of Exams that scored 3 or Above,is_open_enrollment_charter,School LEA,DLEA,year
Fountain Lake Charter High School,9-12,Fountain Lake School District,18.69,50.0,454.0,42.0,85.0,8.0,1.0,6.0,15.0,3, 453 ,50%,19.7,17.73,17.97,18.74,18.69, 73 , 83 ,18%,0,2602703,2602000,2019.0
Future School of Fort Smith,9-12,Future School Of Fort Smith,16.38,61.0,226.0,73.0,44.0,24.0,15.0,17.0,56.0,1, 226 ,61%,17.08,15.47,15.98,16.8,16.38, N/A , N/A ,,1,6640703,6640700,2019.0
Genoa Central High School,9-12,Genoa Central School District,20.37,52.0,360.0,39.0,98.0,1.0,0.0,2.0,2.0,4, 360 ,52%,21.42,19.8,19.68,20.0,20.37, 45 , 75 ,43%,0,4602006,4602000,2019.0
Gentry High School Conversion Charter,9-12,Gentry School District,19.9,43.0,426.0,55.0,65.0,16.0,1.0,18.0,35.0,1, 425 ,43%,20.52,19.63,18.62,20.3,19.9, 58 , 69 ,42%,0,403703,403000,2019.0
Glen Rose High School,9-12,Glen Rose School District,19.7,42.0,329.0,49.0,91.0,3.0,2.0,3.0,9.0,3, 329 ,42%,20.13,19.66,18.7,19.77,19.7, 30 , 42 ,43%,0,3002009,3002000,2019.0
Gosnell High School,7-12,Gosnell School District,19.16,36.0,585.0,72.0,68.0,8.0,21.0,3.0,32.0,2, 359 ,36%,18.98,18.71,18.69,19.65,19.16, 31 , 32 ,16%,0,4708031,4708000,2019.0
Graduate Arkansas Charter High,9-12,Graduate Arkansas  Charter,13.5,13.0,119.0,82.0,3.0,6.0,90.0,1.0,97.0,3, 119 ,13%,12.25,11.75,15.5,14.0,13.5, N/A , N/A ,,1,6052703,6052700,2019.0
Gravette High School,9-12,Gravette School District,20.03,43.0,556.0,43.0,86.0,8.0,1.0,6.0,14.0,1, 556 ,43%,20.03,19.27,19.56,20.74,20.03, 68 , 68 ,41%,0,404022,404000,2019.0
Green Forest High School,9-12,Green Forest School District,18.53,43.0,391.0,82.0,42.0,47.0,0.0,11.0,58.0,1, 390 ,43%,19.29,17.11,18.36,18.62,18.53, 68 , 73 ,40%,0,803012,803000,2019.0
Greenbrier High School,10-12,Greenbrier School District,22.52,72.0,820.0,31.0,92.0,4.0,2.0,2.0,8.0,3, 819 ,72%,22.64,22.52,21.85,22.42,22.52, 435 , 806 ,42%,0,2303017,2303000,2019.0
Greene County Tech High School,10-12,Greene County Tech School District,19.81,66.0,847.0,41.0,93.0,3.0,3.0,2.0,7.0,2, 846 ,66%,20.78,19.56,18.44,19.88,19.81, 301 , 280 ,30%,0,2807008,2807000,2019.0
Greenland High School,9-12,Greenland School District,20.24,45.0,254.0,59.0,85.0,9.0,0.0,6.0,15.0,1, 254 ,45%,21.31,20.0,18.11,20.63,20.24, 39 , 59 ,20%,0,7204028,7204000,2019.0
Greenwood High School,10-12,Greenwood School District,22.68,77.0,855.0,28.0,88.0,5.0,1.0,5.0,12.0,1, 853 ,77%,22.96,22.75,21.81,22.67,22.68, 158 , 212 ,72%,0,6602043,6602000,2019.0
Gurdon High School,9-12,Gurdon School District,17.9,44.0,192.0,74.0,48.0,23.0,26.0,3.0,52.0,4, 192 ,44%,19.31,17.33,16.6,17.98,17.9, 34 , 17 ,12%,0,1003018,1003000,2019.0
Guy-Perkins High School,7-12,Guy-Perkins School District,19.54,48.0,169.0,65.0,83.0,3.0,12.0,2.0,17.0,3, 108 ,48%,21.14,19.14,18.18,19.04,19.54, 14 , 15 ,33%,0,2304022,2304000,2019.0
Haas Hall Academy,7-12,Haas Hall Academy,28.3,65.0,451.0,5.0,72.0,8.0,2.0,18.0,28.0,1, 285 ,65%,29.57,30.08,26.02,26.94,28.3, 209 , 467 ,68%,1,7240703,7240700,2019.0
Haas Hall Academy at the Lane,7-12,Haas Hall Academy,26.75,44.0,329.0,10.0,66.0,16.0,4.0,15.0,34.0,1, 170 ,44%,28.19,27.25,24.06,26.5,26.75, 107 , 169 ,53%,1,7240709,7240700,2019.0
Haas Hall Academy Bentonville,7-12,Haas Hall Bentonville,30.27,49.0,356.0,4.0,64.0,11.0,2.0,24.0,36.0,1, 200 ,49%,31.7,31.62,28.51,28.46,30.27, 159 , 377 ,69%,1,443703,443700,2019.0
Haas Hall Academy Jones Center,7-12,Haas Hall Academy,21.71,43.0,221.0,15.0,61.0,24.0,3.0,13.0,39.0,1, 137 ,43%,21.14,23.29,20.0,21.43,21.71, 66 , 110 ,55%,1,7240706,7240700,2019.0
Hackett High School,7-12,Hackett School District,17.35,47.0,362.0,64.0,86.0,4.0,1.0,9.0,14.0,1, 246 ,47%,17.8,16.24,17.2,17.47,17.35, 28 , 27 ,22%,0,6603048,6603000,2019.0
Hall High School,9-12,Little Rock School District,14.42,31.0,919.0,85.0,6.0,39.0,53.0,2.0,94.0,3, 919 ,31%,14.34,13.19,14.86,14.67,14.42, 135 , 180 ,15%,0,6001002,6001000,2019.0
Hamburg High School,9-12,Hamburg School District,17.9,56.0,528.0,59.0,60.0,17.0,22.0,2.0,40.0,5, 528 ,56%,17.99,16.82,17.73,18.46,17.9, 112 , 131 ,27%,0,203018,203000,2019.0
Hampton High School,7-12,Hampton School District,16.68,54.0,254.0,72.0,73.0,5.0,22.0,1.0,27.0,4, 160 ,54%,16.42,15.58,17.0,17.24,16.68, 20 , 24 ,8%,0,701002,701000,2019.0
Har-Ber High School,10-12,Springdale School District,20.11,52.0,2271.0,52.0,45.0,40.0,3.0,13.0,55.0,1," 2,270 ",52%,20.65,19.73,19.2,20.28,20.11, 768 , 931 ,61%,0,7207062,7207000,2019.0
Harmony Grove High School,7-12,Harmony Grove School District (Ouachita),19.04,66.0,393.0,48.0,73.0,4.0,20.0,3.0,27.0,4, 243 ,66%,19.7,19.11,18.28,18.43,19.04, 15 , N/A ,,0,5205029,5205000,2019.0
Harmony Grove High School,10-12,Harmony Grove School District (Saline),19.71,64.0,284.0,26.0,94.0,3.0,2.0,1.0,6.0,3, 284 ,64%,19.89,19.33,19.13,19.88,19.71, 42 , 61 ,3%,0,6304030,6304000,2019.0
Harrisburg College & Career Preparatory School,9-12,Harrisburg School District,17.01,45.0,351.0,70.0,95.0,3.0,2.0,0.0,5.0,2, 350 ,45%,17.18,16.95,16.49,16.91,17.01, 20 , 10 ,10%,0,5602703,5602000,2019.0
Harrison High School Conversion Charter,9-12,Harrison School District,20.88,48.0,822.0,41.0,94.0,2.0,0.0,4.0,6.0,1, 822 ,48%,21.84,20.72,19.49,20.79,20.88, 70 , 77 ,55%,0,503703,503000,2019.0
