District Name,School Name,SCHOOL LEA,N,Math Avg,Math % Met,English Avg,English % Met,Reading Avg,Reading % Met,Science Avg,Science % Met,All % Met
CHARLESTON SCHOOL DISTRICT,CHARLESTON HIGH SCHOOL,2402007,74,19.4,33.8%,20.6,67.6%,20.8,43.2%,20.6,33.8%,14.9%
COUNTY LINE SCHOOL DISTRICT,COUNTY LINE HIGH SCHOOL,2403012,30,19.4,33.3%,20.4,60.0%,20.8,40.0%,20.4,36.7%,23.3%
OZARK SCHOOL DISTRICT,OZARK HIGH SCHOOL,2404017,125,19.2,35.2%,19.0,52.8%,19.1,32.0%,19.1,24.8%,19.2%
MAMMOTH SPRING SCHOOL DISTRICT,MAMMOTH SPRING HIGH SCHOOL,2501002,24,17.9,29.2%,17.0,33.3%,18.6,33.3%,18.8,29.2%,25.0%
SALEM SCHOOL DISTRICT,SALEM HIGH SCHOOL,2502006,61,19.4,36.1%,19.9,59.0%,19.3,34.4%,19.0,26.2%,19.7%
VIOLA SCHOOL DISTRICT,VIOLA HIGH SCHOOL,2503010,28,16.1,7.1%,16.4,32.1%,17.8,10.7%,18.0,7.1%,0.0%
CUTTER-MORNING STAR SCHOOL DISTRICT,CUTTER-MORNING STAR HIGH SCH.,2601002,24,18.3,16.7%,17.4,50.0%,19.9,37.5%,19.2,16.7%,4.2%
FOUNTAIN LAKE SCHOOL DISTRICT,FOUNTAIN LAKE CHARTER HIGH SCHOOL,2602703,99,19.1,29.3%,18.9,52.5%,19.5,31.3%,19.0,21.2%,14.1%
HOT SPRINGS SCHOOL DISTRICT,HOT SPRINGS WORLD CLASS HIGH SCHOOL,2603703,202,16.5,11.4%,16.3,34.2%,17.3,17.3%,17.1,12.9%,6.4%
JESSIEVILLE SCHOOL DISTRICT,JESSIEVILLE HIGH SCHOOL,2604030,56,17.9,19.6%,17.2,46.4%,17.4,23.2%,18.8,23.2%,10.7%
