,RCDTS,Type,School Name,District,City,County,District Type,District Size,School Type,SAT Reading Average Score,SAT Math Average Score,SAT Math Total Students Level 1 %,SAT Math Total Students Level 2 %,SAT Math Total Students Level 3 %,SAT Math Total Students Level 4 %
4455,531020110260001,School,El Paso-Gridley High School,El Paso-Gridley CUSD 11,El Paso,Woodford,UNIT,MEDIUM,HIGH SCHOOL,521.6,497.1,32.3,38.4,26.3,3.0
4460,531020210260001,School,Lowpoint-Washburn Jr Sr High S,Lowpoint-Washburn CUSD 21,Washburn,Woodford,UNIT,SMALL,HIGH SCHOOL,420.7,421.4,64.3,35.7,0.0,0.0
4463,531020600260001,School,Roanoke-Benson High School,Roanoke Benson CUSD 60,Roanoke,Woodford,UNIT,MEDIUM,HIGH SCHOOL,510.3,496.8,34.2,28.9,31.6,5.3
4470,531021220170001,School,Metamora High School,County of Woodford School,Metamora,Woodford,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,522.1,526.6,24.3,28.0,38.3,9.5
4472,531021400260001,School,Eureka High School,Eureka CUD 140,Eureka,Woodford,UNIT,MEDIUM,HIGH SCHOOL,539.3,537.4,15.2,33.3,45.5,6.1
4481,540920020260004,School,Westville High School,Westville CUSD 2,Westville,Vermilion,UNIT,MEDIUM,HIGH SCHOOL,445.4,418.9,68.9,24.4,6.7,0.0
4485,540920040260004,School,Georgetown-Ridge Farm High Sch,Georgetown-Ridge Farm CUD 4,Georgetown,Vermilion,UNIT,MEDIUM,HIGH SCHOOL,443.5,451.0,49.0,39.2,11.8,0.0
4493,540920110260005,School,Hoopeston Area High School,Hoopeston Area CUSD 11,Hoopeston,Vermilion,UNIT,MEDIUM,HIGH SCHOOL,458.4,453.9,54.2,26.5,19.3,0.0
4500,540920760260001,School,Oakwood High School,Oakwood CUSD 76,Fithian,Vermilion,UNIT,MEDIUM,HIGH SCHOOL,461.1,464.8,44.4,38.1,17.5,0.0
4504,540921180240022,School,Danville High School,Danville CCSD 118,Danville,Vermilion,UNIT,LARGE,HIGH SCHOOL,434.9,415.7,71.0,24.2,4.4,0.4
4515,540922250170001,School,Armstrong High School,Armstrong Twp HSD 225,Armstrong,Vermilion,HIGH SCHOOL,SMALL,HIGH SCHOOL,474.3,447.1,53.6,39.3,7.1,0.0
4517,540925120260001,School,Salt Fork High School,Salt Fork Community Unit Distr,Catlin,Vermilion,UNIT,MEDIUM,HIGH SCHOOL,461.5,441.5,53.2,40.4,6.4,0.0
4522,540928000800001,School,Bismarck Henning Rossville Alv,Bismarck Henning Rossville Alv,Bismarck,Vermilion,HIGH SCHOOL,,HIGH SCHOOL,480.6,476.8,34.5,51.2,13.1,1.2
4619,56099200U260001,School,Beecher High School,Beecher CUSD 200U,Beecher,Will,UNIT,MEDIUM,HIGH SCHOOL,506.1,466.4,43.0,39.0,16.0,2.0
4623,56099201U260001,School,Crete-Monee High School,Crete Monee CUSD 201U,Crete,Will,UNIT,LARGE,HIGH SCHOOL,448.7,426.2,65.5,25.9,7.9,0.6
4632,560992020220001,School,Plainfield High School,Plainfield SD 202,Plainfield,Will,UNIT,LARGE,HIGH SCHOOL,492.4,485.5,38.6,35.7,20.1,5.7
4633,560992020220002,School,Plainfield South High School,Plainfield SD 202,Plainfield,Will,UNIT,LARGE,HIGH SCHOOL,481.4,473.2,41.7,35.9,19.7,2.7
4634,560992020220003,School,Plainfield North High School,Plainfield SD 202,Plainfield,Will,UNIT,LARGE,HIGH SCHOOL,522.6,523.5,24.5,33.3,32.5,9.7
4635,560992020220004,School,Plainfield East High School,Plainfield SD 202,Plainfield,Will,UNIT,LARGE,HIGH SCHOOL,516.7,512.3,29.3,33.6,28.6,8.5
4664,560992040170001,School,Joliet Central High School,Joliet Twp HSD 204,Joliet,Will,HIGH SCHOOL,LARGE,HIGH SCHOOL,450.7,437.6,60.9,28.4,10.0,0.7
4665,560992040170003,School,Joliet West High School,Joliet Twp HSD 204,Joliet,Will,HIGH SCHOOL,LARGE,HIGH SCHOOL,476.6,465.0,45.4,35.2,17.6,1.8
4667,560992050170001,School,Lockport Township High Sch Eas,Lockport Twp HSD 205,Lockport,Will,HIGH SCHOOL,LARGE,HIGH SCHOOL,511.0,502.9,30.2,34.8,28.5,6.4
4669,56099207U260001,School,Peotone High School,Peotone CUSD 207U,Peotone,Will,UNIT,MEDIUM,HIGH SCHOOL,496.4,477.3,41.1,34.7,22.6,1.6
4675,56099209U260001,School,Wilmington High School,Wilmington CUSD 209U,Wilmington,Will,UNIT,MEDIUM,HIGH SCHOOL,481.9,469.3,40.0,37.9,20.0,2.1
4680,560992100160001,School,Lincoln-Way Central High Schoo,Lincoln Way CHSD 210,New Lenox,Will,HIGH SCHOOL,LARGE,HIGH SCHOOL,539.4,533.0,20.6,33.8,34.4,11.1
4681,560992100160002,School,Lincoln-Way East High School,Lincoln Way CHSD 210,Frankfort,Will,HIGH SCHOOL,LARGE,HIGH SCHOOL,547.3,529.5,23.7,29.3,36.1,10.9
4682,560992100160004,School,Lincoln Way West,Lincoln Way CHSD 210,New Lenox,Will,HIGH SCHOOL,LARGE,HIGH SCHOOL,526.8,520.1,24.7,35.4,31.8,8.1
4684,56099255U260001,School,Reed-Custer High School,Reed Custer CUSD 255U,Braidwood,Will,UNIT,MEDIUM,HIGH SCHOOL,465.6,453.7,52.3,33.0,11.9,2.8
4688,56099365U260007,School,Bolingbrook High School,Valley View CUSD 365U,Bolingbrook,Will,UNIT,LARGE,HIGH SCHOOL,493.5,482.2,37.0,37.7,21.4,3.9
4689,56099365U260008,School,Romeoville High School,Valley View CUSD 365U,Romeoville,Will,UNIT,LARGE,HIGH SCHOOL,486.7,467.3,47.1,31.7,17.9,3.3
4709,601054280303014,School,Illinois Youth Ctr - St Charle,IDJJ Sch Dist 428,Saint Charles,Dept Of Corrections,UNIT,,HIGH SCHOOL,,,,,,
4710,601054280303019,School,Illinois Youth Center-Warrenvi,IDJJ Sch Dist 428,Naperville,Dept Of Corrections,UNIT,,HIGH SCHOOL,,,,,,
4711,601054280303028,School,School District 428 IYC-HRB,IDJJ Sch Dist 428,Harrisburg,Dept Of Corrections,UNIT,,HIGH SCHOOL,,,,,,
4714,651089010800001,School,University High School,ISU  Laboratory Schools,Normal,State Of Illinois,UNIT,,HIGH SCHOOL,580.9,580.9,6.8,32.0,36.7,24.5
4717,651089020800001,School,University of Illinois High Sc,University of Ill Lab School,Urbana,State Of Illinois,HIGH SCHOOL,,HIGH SCHOOL,,,,,,
4719,651089030800001,School,Illinois Mathematics and Scien,Illinois Mathematics & Science,Aurora,State Of Illinois,HIGH SCHOOL,,HIGH SCHOOL,,,,,,
