,RCDTS,Type,School Name,District,City,County,District Type,District Size,School Type,SAT Reading Average Score,SAT Math Average Score,SAT Math Total Students Level 1 %,SAT Math Total Students Level 2 %,SAT Math Total Students Level 3 %,SAT Math Total Students Level 4 %
1041,080083140260001,School,West Carroll High School,West Carroll CUSD 314,Savanna,Carroll,UNIT,MEDIUM,HIGH SCHOOL,451.0,439.6,61.5,26.9,11.5,0.0
1045,080083990260002,School,Chadwick-Milledgeville Jr/Sr H,Chadwick-Milledgeville CUSD 39,Milledgeville,Carroll,UNIT,MEDIUM,HIGH SCHOOL,489.1,468.0,34.3,57.1,8.6,0.0
1048,080431190220003,School,East Dubuque High School,East Dubuque USD 119,East Dubuque,Jo Daviess,UNIT,MEDIUM,HIGH SCHOOL,500.8,490.4,32.0,42.0,24.0,2.0
1052,080431200220002,School,Galena High School,Galena USD 120,Galena,Jo Daviess,UNIT,MEDIUM,HIGH SCHOOL,503.0,504.0,26.3,42.1,28.1,3.5
1056,080432050260001,School,Warren Jr/Sr High School,Warren CUSD 205,Warren,Jo Daviess,UNIT,SMALL,HIGH SCHOOL,471.7,485.0,33.3,44.4,22.2,0.0
1059,080432060260003,School,Stockton Sr High School,Stockton CUSD 206,Stockton,Jo Daviess,UNIT,MEDIUM,HIGH SCHOOL,485.9,491.7,37.0,41.3,15.2,6.5
1063,080432100260002,School,River Ridge High School,River Ridge CUSD 210,Hanover,Jo Daviess,UNIT,MEDIUM,HIGH SCHOOL,497.0,515.9,29.7,29.7,35.1,5.4
1067,080432110260002,School,Scales Mound High School,Scales Mound CUSD 211,Scales Mound,Jo Daviess,UNIT,SMALL,HIGH SCHOOL,490.0,513.8,28.6,33.3,28.6,9.5
1071,080891450220001,School,Freeport High School,Freeport SD 145,Freeport,Stephenson,UNIT,LARGE,HIGH SCHOOL,457.0,427.9,66.0,22.6,9.9,1.4
1080,080892000260001,School,Pearl City High School,Pearl City CUSD 200,Pearl City,Stephenson,UNIT,SMALL,HIGH SCHOOL,476.7,475.8,45.5,24.2,27.3,3.0
1084,080892010260001,School,Dakota Jr Sr High School,Dakota CUSD 201,Dakota,Stephenson,UNIT,MEDIUM,HIGH SCHOOL,499.1,489.6,40.0,32.9,22.9,4.3
1087,080892020260001,School,Lena-Winslow High School,Lena Winslow CUSD 202,Lena,Stephenson,UNIT,MEDIUM,HIGH SCHOOL,483.0,489.2,30.2,46.0,23.8,0.0
1091,080892030260001,School,Orangeville High School,Orangeville CUSD 203,Orangeville,Stephenson,UNIT,SMALL,HIGH SCHOOL,526.7,499.2,33.3,41.7,20.8,4.2
1095,090100010260001,School,Fisher Jr/Sr High School,Fisher CUSD 1,Fisher,Champaign,UNIT,MEDIUM,HIGH SCHOOL,511.6,514.9,32.4,24.3,35.1,8.1
1098,090100030260001,School,Mahomet-Seymour High School,Mahomet-Seymour CUSD 3,Mahomet,Champaign,UNIT,LARGE,HIGH SCHOOL,542.0,560.7,17.9,28.5,31.3,22.4
1103,090100040260001,School,Centennial High School,Champaign CUSD 4,Champaign,Champaign,UNIT,LARGE,HIGH SCHOOL,480.7,477.3,47.1,26.1,21.3,5.5
1104,090100040260002,School,Central High School,Champaign CUSD 4,Champaign,Champaign,UNIT,LARGE,HIGH SCHOOL,503.3,493.8,42.2,24.8,20.7,12.2
1122,090100070260007,School,Unity High School,Tolono CUSD 7,Tolono,Champaign,UNIT,MEDIUM,HIGH SCHOOL,528.8,514.3,27.5,30.0,36.7,5.8
1127,090100080260001,School,Heritage High School,Heritage CUSD 8,Broadlands,Champaign,UNIT,SMALL,HIGH SCHOOL,486.8,457.5,57.1,21.4,21.4,0.0
1130,090101160220001,School,Urbana High School,Urbana SD 116,Urbana,Champaign,UNIT,LARGE,HIGH SCHOOL,484.5,458.4,56.1,21.2,17.5,5.2
1155,090101930170001,School,Rantoul Twp High School,Rantoul Township HSD 193,Rantoul,Champaign,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,431.6,416.0,73.1,20.5,6.4,0.0
1161,090103050160001,School,St Joseph-Ogden High School,St Joseph Ogden CHSD 305,Saint Joseph,Champaign,HIGH SCHOOL,SMALL,HIGH SCHOOL,528.4,540.8,21.2,26.9,38.5,13.5
1163,090270050260001,School,GCMS High School,Gibson City-Melvin-Sibley CUSD,Gibson City,Ford,UNIT,MEDIUM,HIGH SCHOOL,508.4,504.5,23.2,44.6,30.4,1.8
1167,090270100260001,School,Paxton-Buckley-Loda High Schoo,Paxton-Buckley-Loda CUD 10,Paxton,Ford,UNIT,MEDIUM,HIGH SCHOOL,491.2,507.4,33.3,32.3,26.3,8.1
1171,11012002C260001,School,Marshall High School,Marshall CUSD 2C,Marshall,Clark,UNIT,MEDIUM,HIGH SCHOOL,501.9,483.8,34.8,37.7,27.5,0.0
1176,11012003C260001,School,Martinsville Jr-Sr High School,Martinsville CUSD 3C,Martinsville,Clark,UNIT,SMALL,HIGH SCHOOL,462.6,466.3,36.8,47.4,15.8,0.0
1179,11012004C260001,School,Casey-Westfield Jr/Sr HS,Casey-Westfield CUSD 4C,Casey,Clark,UNIT,MEDIUM,HIGH SCHOOL,476.7,472.0,36.4,45.5,16.4,1.8
1182,110150010260001,School,Charleston High School,Charleston CUSD 1,Charleston,Coles,UNIT,LARGE,HIGH SCHOOL,478.1,460.3,51.7,28.5,17.4,2.4
1189,110150020260001,School,Mattoon High School,Mattoon CUSD 2,Mattoon,Coles,UNIT,LARGE,HIGH SCHOOL,467.2,444.7,57.9,27.9,14.2,0.0
1195,110150050260002,School,Oakland High School,Oakland CUSD 5,Oakland,Coles,UNIT,SMALL,HIGH SCHOOL,487.2,462.8,50.0,33.3,11.1,5.6
1198,110180030260001,School,Neoga Jr/Sr High School,Neoga CUSD 3,Neoga,Cumberland,UNIT,MEDIUM,HIGH SCHOOL,503.5,486.3,45.1,25.5,25.5,3.9
1201,110180770260001,School,Cumberland High School,Cumberland CUSD 77,Toledo,Cumberland,UNIT,MEDIUM,HIGH SCHOOL,480.6,473.5,34.9,46.0,15.9,3.2
1205,110213010260001,School,Tuscola High School,Tuscola CUSD 301,Tuscola,Douglas,UNIT,MEDIUM,HIGH SCHOOL,479.7,468.6,45.3,31.3,20.3,3.1
1209,110213020260001,School,Villa Grove High School,Villa Grove CUSD 302,Villa Grove,Douglas,UNIT,MEDIUM,HIGH SCHOOL,475.6,462.9,44.4,40.0,13.3,2.2
