School Name,District Name,Reading/Writing Score,Math Score,Tests Taken,# Students SAT ELA Participation
Everett Dirksen Elementary Sch,Schaumburg CCSD 54,,,,
Thomas Dooley Elem School,Schaumburg CCSD 54,,,,
Fairview Elem School,Schaumburg CCSD 54,,,,
Anne Fox Elem School,Schaumburg CCSD 54,,,,
Hanover Highlands Elem School,Schaumburg CCSD 54,,,,
Nathan Hale Elem School,Schaumburg CCSD 54,,,,
Lakeview Elem School,Schaumburg CCSD 54,,,,
MacArthur International Spanish Academy,Schaumburg CCSD 54,,,,
John Muir Literacy Academy,Schaumburg CCSD 54,,,,
Adolph Link Elem School,Schaumburg CCSD 54,,,,
Albert Einstein Elem School,Schaumburg CCSD 54,,,,
Hoover Math and Science Academy,Schaumburg CCSD 54,,,,
Adlai Stevenson Elem School,Schaumburg CCSD 54,,,,
Frederick Nerge Elem School,Schaumburg CCSD 54,,,,
Enders-Salk Elem School,Schaumburg CCSD 54,,,,
Elizabeth Blackwell Elem School,Schaumburg CCSD 54,,,,
Lincoln Prairie School,Schaumburg CCSD 54,,,,
The District 54 Early Learning Center,Schaumburg CCSD 54,,,,
,Mount Prospect SD 57,,,,
Lincoln Middle School,Mount Prospect SD 57,,,,
Fairview Elem School,Mount Prospect SD 57,,,,
Lions Park Elem School,Mount Prospect SD 57,,,,
Westbrook Early Learning Cntr,Mount Prospect SD 57,,,,
,Comm Cons SD 59,,,,
Grove Jr High School,Comm Cons SD 59,,,,
Holmes Jr High School,Comm Cons SD 59,,,,
Friendship Jr High School,Comm Cons SD 59,,,,
Brentwood Elem School,Comm Cons SD 59,,,,
Adm Richard E Byrd Elem School,Comm Cons SD 59,,,,
Clearmont Elem School,Comm Cons SD 59,,,,
Devonshire School,Comm Cons SD 59,,,,
Forest View Elem School,Comm Cons SD 59,,,,
Robert Frost Elem School,Comm Cons SD 59,,,,
John Jay Elem School,Comm Cons SD 59,,,,
Juliette Low Elem School,Comm Cons SD 59,,,,
Rupley Elem School,Comm Cons SD 59,,,,
Salt Creek Elem School,Comm Cons SD 59,,,,
Ridge Family Center for Learning,Comm Cons SD 59,,,,
The Early Learning Center,Comm Cons SD 59,,,,
,CCSD 62,,,,
Algonquin Middle School,CCSD 62,,,,
Chippewa Middle School,CCSD 62,,,,
Iroquois Community School,CCSD 62,,,,
Central Elem School,CCSD 62,,,,
Cumberland Elem School,CCSD 62,,,,
Forest Elem School,CCSD 62,,,,
North Elementary School,CCSD 62,,,,
Orchard Place Elem School,CCSD 62,,,,
Plainfield Elem School,CCSD 62,,,,
South Elem School,CCSD 62,,,,
Terrace Elem School,CCSD 62,,,,
,East Maine SD 63,,,,
Gemini Middle School,East Maine SD 63,,,,
V H Nelson Elem School,East Maine SD 63,,,,
Mark Twain Elem School,East Maine SD 63,,,,
Washington Elem School,East Maine SD 63,,,,
Melzer School,East Maine SD 63,,,,
Apollo Elem School,East Maine SD 63,,,,
Early Learning Center,East Maine SD 63,,,,
,Park Ridge CCSD 64,,,,
Emerson Middle School,Park Ridge CCSD 64,,,,
Lincoln Middle School,Park Ridge CCSD 64,,,,
George B Carpenter Elem School,Park Ridge CCSD 64,,,,
Eugene Field Elem School,Park Ridge CCSD 64,,,,
Franklin Elementary School,Park Ridge CCSD 64,,,,
Theodore Roosevelt Elem School,Park Ridge CCSD 64,,,,
George Washington Elem School,Park Ridge CCSD 64,,,,
Jefferson School,Park Ridge CCSD 64,,,,
,Evanston CCSD 65,,,,
Chute Middle School,Evanston CCSD 65,,,,
Haven Middle School,Evanston CCSD 65,,,,
Nichols Middle School,Evanston CCSD 65,,,,
Dawes Elementary School,Evanston CCSD 65,,,,
Dewey Elem School,Evanston CCSD 65,,,,
Lincoln Elem School,Evanston CCSD 65,,,,
Lincolnwood Elem School,Evanston CCSD 65,,,,
Oakton Elem School,Evanston CCSD 65,,,,
Orrington Elem School,Evanston CCSD 65,,,,
Walker Elem School,Evanston CCSD 65,,,,
Washington Elem School,Evanston CCSD 65,,,,
Willard Elem School,Evanston CCSD 65,,,,
Dr ML King Jr Literary & Fine Arts Sch,Evanston CCSD 65,,,,
Kingsley Elementary School,Evanston CCSD 65,,,,
Dr Bessie Rhodes Sch Global Studies,Evanston CCSD 65,,,,
Joseph E Hill Education Center,Evanston CCSD 65,,,,
,Golf ESD 67,,,,
Golf Middle School,Golf ESD 67,,,,
Hynes Elem School,Golf ESD 67,,,,
,Skokie SD 68,,,,
Old Orchard Jr High School,Skokie SD 68,,,,
Devonshire Elem School,Skokie SD 68,,,,
Jane Stenson School,Skokie SD 68,,,,
Highland Elementary School,Skokie SD 68,,,,
,Skokie SD 69,,,,
Lincoln Jr High School,Skokie SD 69,,,,
Thomas Edison Elem School,Skokie SD 69,,,,
Madison Elem School,Skokie SD 69,,,,
,Morton Grove SD 70,,,,
Park View Elem School,Morton Grove SD 70,,,,
,Niles ESD 71,,,,
Clarence E Culver School,Niles ESD 71,,,,
,Fairview SD 72,,,,
Fairview South Elementary School,Fairview SD 72,,,,
,East Prairie SD 73,,,,
East Prairie Elem School,East Prairie SD 73,,,,
,Skokie SD 73-5,,,,
Oliver McCracken Middle School,Skokie SD 73-5,,,,
John Middleton Elem School,Skokie SD 73-5,,,,
Elizabeth Meyer School,Skokie SD 73-5,,,,
,Lincolnwood SD 74,,,,
Lincoln Hall Middle School,Lincolnwood SD 74,,,,
Rutledge Hall Elem School,Lincolnwood SD 74,,,,
Todd Hall Elem School,Lincolnwood SD 74,,,,
,Evanston Twp HSD 202,542.2,522.4,824,827
Evanston Twp High School,Evanston Twp HSD 202,542.2,522.4,824,827
,New Trier Twp HSD 203,612.4,603.8,926,926
New Trier Township H S Winnetka,New Trier Twp HSD 203,612.4,603.8,926,926
New Trier Township H S Northfield,New Trier Twp HSD 203,,,,
,Maine Township HSD 207,509.6,496.8,1466,1468
Maine East High School,Maine Township HSD 207,483.1,465.7,451,452
Maine South High School,Maine Township HSD 207,549.7,542.1,578,578
Maine West High School,Maine Township HSD 207,484.1,469.3,437,438
,Township HSD 211,522.3,528.9,2898,2902
J B Conant High School,Township HSD 211,534.7,552.2,612,613
Wm Fremd High School,Township HSD 211,572.1,583.2,625,626
Palatine High School,Township HSD 211,478.3,470.6,602,603
Schaumburg High School,Township HSD 211,518.3,532.3,572,573
Hoffman Estates High School,Township HSD 211,501.5,497.7,487,487
,Township HSD 214,517.8,510.3,3004,3008
Elk Grove High School,Township HSD 214,479.3,461.9,481,481
John Hersey High School,Township HSD 214,577.9,564.2,509,509
Prospect High School,Township HSD 214,557.9,551.1,574,575
Wheeling High School,Township HSD 214,457.7,458.7,428,429
Rolling Meadows High School,Township HSD 214,504.8,488.8,508,510
Buffalo Grove High School,Township HSD 214,512.6,521.3,504,504
,Niles Twp HSD 219,517.2,508.8,1075,1075
Niles North High School,Niles Twp HSD 219,522.9,510.4,453,453
Niles West High School,Niles Twp HSD 219,513,507.6,622,622
