tract_number,tract_county,tract_state,"18-24, less than high school graduate (percentage)","18-24, high school graduate (includes equivalency) (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate (includes equivalency) (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Population 18 to 24 years,"18-24, less than high school graduate","18-24, high school graduate (includes equivalency)","18-24, some college or associate's degree","18-24, bachelor's degree or higher",Population 25 years and over,"25 and over, less than 9th grade","25 and over, 9th to 12th grade, no diploma","25 and over, high school graduate (includes equivalency)","25 and over, some college, no degree","25 and over, associate's degree","25 and over, bachelor's degree","25 and over, graduate or professional degree"
212.01,Benton County,Arkansas,5.7%,9.9%,70.2%,14.2%,2.4%,4.6%,23.6%,20.3%,7.9%,26.5%,14.8%,1253,72,124,879,178,2762,65,126,652,561,217,733,408
212.02,Benton County,Arkansas,29.5%,38.8%,20.2%,11.5%,3.5%,11.3%,46.6%,18.5%,2.7%,13.3%,4.2%,183,54,71,37,21,2279,79,257,1061,421,61,304,96
213.04,Benton County,Arkansas,3.9%,32.3%,39.3%,24.4%,0.9%,2.5%,21.3%,16.2%,7.5%,30.4%,21.2%,1266,50,409,498,309,7710,73,192,1640,1247,581,2346,1631
213.05,Benton County,Arkansas,10.5%,47.8%,28.1%,13.6%,2.8%,5.6%,29.6%,14.9%,15.3%,22.5%,9.3%,487,51,233,137,66,4904,138,277,1451,731,749,1102,456
213.06,Benton County,Arkansas,4.1%,31.4%,51.9%,12.6%,1.8%,0.5%,7.6%,12.0%,5.2%,51.1%,21.8%,318,13,100,165,40,3567,63,17,271,428,185,1824,779
213.08,Benton County,Arkansas,13.7%,22.7%,50.9%,12.8%,0.3%,0.9%,13.1%,14.9%,6.9%,39.5%,24.5%,344,47,78,175,44,4302,12,37,562,639,298,1699,1055
213.12,Benton County,Arkansas,0.0%,58.8%,36.2%,4.9%,3.4%,2.2%,48.0%,21.0%,3.9%,15.7%,5.9%,345,0,203,125,17,3107,105,69,1491,652,120,487,183
213.13,Benton County,Arkansas,4.1%,40.0%,51.7%,4.1%,0.9%,4.2%,37.3%,18.9%,6.4%,25.3%,7.0%,315,13,126,163,13,1988,18,83,742,375,128,503,139
213.14,Benton County,Arkansas,13.7%,12.1%,59.9%,14.3%,1.3%,6.1%,17.1%,24.7%,10.8%,25.4%,14.6%,307,42,37,184,44,2136,28,131,365,527,230,543,312
213.15,Benton County,Arkansas,3.8%,38.6%,17.0%,40.6%,2.1%,3.5%,30.5%,24.6%,4.8%,24.9%,9.7%,630,24,243,107,256,3812,79,135,1162,936,182,950,368
213.16,Benton County,Arkansas,51.6%,0.0%,28.9%,19.5%,1.3%,0.4%,25.7%,17.2%,5.5%,30.4%,19.6%,159,82,0,46,31,4922,64,18,1263,846,269,1496,966
213.17,Benton County,Arkansas,2.5%,3.2%,70.5%,23.8%,1.1%,4.0%,22.8%,12.9%,3.2%,34.2%,21.8%,315,8,10,222,75,2285,26,91,520,295,73,781,499
214.04,Benton County,Arkansas,13.8%,28.0%,41.1%,17.1%,4.9%,12.8%,41.3%,13.6%,5.7%,14.7%,7.0%,246,34,69,101,42,2905,142,373,1199,396,165,426,204
214.05,Benton County,Arkansas,0.0%,47.4%,52.6%,0.0%,5.4%,3.6%,34.5%,19.5%,5.8%,21.1%,10.1%,57,0,27,30,0,1748,94,63,603,340,102,369,177
214.06,Benton County,Arkansas,9.2%,54.8%,34.1%,2.0%,17.8%,6.4%,27.8%,16.6%,4.1%,21.8%,5.6%,599,55,328,204,12,3291,587,210,914,545,134,718,183
214.07,Benton County,Arkansas,28.2%,36.1%,32.0%,3.7%,4.5%,3.7%,25.8%,24.8%,7.4%,28.6%,5.2%,241,68,87,77,9,3575,162,131,923,887,264,1023,185
214.08,Benton County,Arkansas,18.6%,24.5%,24.0%,32.9%,9.5%,11.9%,35.2%,16.5%,2.8%,17.3%,6.8%,808,150,198,194,266,4303,409,511,1515,709,121,745,293
214.09,Benton County,Arkansas,21.7%,0.0%,78.3%,0.0%,1.6%,5.5%,31.2%,14.3%,8.3%,20.9%,18.1%,115,25,0,90,0,2010,33,110,628,288,167,420,364
7901,Boone County,Arkansas,6.3%,61.8%,31.9%,0.0%,3.7%,5.4%,40.2%,28.1%,6.2%,8.0%,8.5%,492,31,304,157,0,4279,157,231,1721,1202,264,342,362
7902,Boone County,Arkansas,11.8%,41.9%,44.5%,1.9%,2.2%,8.1%,33.3%,28.3%,13.6%,10.9%,3.6%,485,57,203,216,9,4223,93,342,1407,1195,575,460,151
7903,Boone County,Arkansas,12.0%,48.8%,34.1%,5.1%,3.0%,6.3%,32.2%,30.3%,16.2%,6.7%,5.2%,475,57,232,162,24,3580,107,227,1152,1085,581,241,187
7904,Boone County,Arkansas,28.7%,38.9%,7.3%,25.1%,2.9%,4.2%,38.9%,24.6%,8.8%,13.0%,7.5%,247,71,96,18,62,4685,138,196,1822,1153,414,609,353
7905.01,Boone County,Arkansas,34.0%,19.3%,39.1%,7.7%,1.8%,4.9%,35.1%,26.1%,11.8%,14.8%,5.5%,379,129,73,148,29,3226,59,159,1133,842,380,476,177
7905.02,Boone County,Arkansas,13.5%,41.9%,40.6%,3.9%,4.2%,10.3%,38.1%,27.4%,8.9%,5.2%,5.9%,384,52,161,156,15,2627,111,271,1000,719,233,137,156
7906,Boone County,Arkansas,20.7%,22.3%,57.0%,0.0%,2.4%,7.0%,31.3%,30.4%,11.6%,15.2%,2.1%,242,50,54,138,0,3946,96,277,1234,1199,458,601,81
9501,Bradley County,Arkansas,3.7%,38.8%,24.3%,33.2%,2.3%,7.3%,53.3%,17.3%,5.5%,7.1%,7.2%,214,8,83,52,71,1938,45,141,1033,336,106,138,139
9502,Bradley County,Arkansas,21.3%,70.1%,8.7%,0.0%,2.9%,7.7%,44.8%,16.5%,5.0%,18.9%,4.2%,127,27,89,11,0,1298,37,100,582,214,65,245,55
9503,Bradley County,Arkansas,62.1%,4.1%,17.2%,16.6%,1.8%,12.2%,31.2%,27.5%,12.6%,9.5%,5.1%,145,90,6,25,24,1226,22,150,382,337,155,117,63
9504,Bradley County,Arkansas,37.5%,50.2%,12.4%,0.0%,18.8%,6.2%,41.8%,20.7%,0.0%,9.8%,2.6%,267,100,134,33,0,1181,222,73,494,245,0,116,31
9505,Bradley County,Arkansas,51.9%,29.8%,9.6%,8.7%,4.3%,2.9%,49.6%,16.8%,11.7%,8.3%,6.4%,104,54,31,10,9,1289,56,37,639,217,151,107,82
4801,Calhoun County,Arkansas,0.0%,27.9%,70.3%,1.8%,2.1%,14.8%,39.6%,17.7%,5.7%,12.9%,7.2%,165,0,46,116,3,1705,36,253,675,301,97,220,123
4802,Calhoun County,Arkansas,5.0%,69.3%,18.8%,6.9%,2.2%,7.4%,45.6%,16.8%,11.8%,9.2%,6.9%,303,15,210,57,21,1681,37,125,767,283,199,154,116
9501,Carroll County,Arkansas,11.4%,39.4%,46.2%,3.0%,0.8%,4.3%,25.8%,31.6%,8.8%,19.1%,9.6%,132,15,52,61,4,2349,19,100,607,743,207,448,225
9502.01,Carroll County,Arkansas,6.3%,49.7%,43.9%,0.0%,0.0%,2.1%,28.5%,25.2%,10.4%,26.6%,7.2%,189,12,94,83,0,3049,0,63,868,768,318,812,220
9502.02,Carroll County,Arkansas,12.5%,46.7%,40.8%,0.0%,4.0%,4.4%,29.1%,18.8%,17.2%,16.6%,10.0%,184,23,86,75,0,2179,88,95,633,410,375,361,217
9503.01,Carroll County,Arkansas,6.8%,71.7%,12.0%,9.4%,18.7%,11.3%,35.9%,11.0%,6.8%,11.5%,4.9%,191,13,137,23,18,2470,463,278,887,271,167,284,120
9503.02,Carroll County,Arkansas,34.8%,33.9%,13.9%,17.3%,12.1%,6.0%,37.3%,18.3%,7.8%,5.9%,12.5%,330,115,112,46,57,2796,338,169,1044,513,217,166,349
9504,Carroll County,Arkansas,17.1%,34.2%,42.5%,6.2%,8.2%,9.6%,43.4%,19.2%,6.1%,11.7%,1.8%,146,25,50,62,9,2933,240,283,1274,563,178,343,52
9505.01,Carroll County,Arkansas,52.8%,9.8%,37.3%,0.0%,3.2%,6.8%,45.9%,18.9%,8.2%,13.1%,3.9%,193,102,19,72,0,1554,49,106,713,293,128,204,61
9505.02,Carroll County,Arkansas,41.7%,39.6%,6.6%,12.1%,20.3%,11.7%,34.9%,13.0%,5.7%,10.3%,4.1%,528,220,209,35,64,3013,611,353,1052,392,171,310,124
801,Chicot County,Arkansas,12.9%,69.1%,14.7%,3.2%,5.4%,11.2%,41.1%,21.1%,2.6%,13.6%,5.0%,278,36,192,41,9,2239,122,251,920,472,58,304,112
802,Chicot County,Arkansas,5.3%,63.8%,30.9%,0.0%,5.8%,11.7%,41.8%,22.5%,2.0%,14.9%,1.2%,152,8,97,47,0,1372,79,161,573,309,28,205,17
803,Chicot County,Arkansas,8.9%,55.6%,32.3%,3.2%,7.6%,8.9%,36.8%,20.5%,7.0%,10.8%,8.3%,248,22,138,80,8,1871,143,167,688,384,131,203,155
804,Chicot County,Arkansas,58.2%,41.8%,0.0%,0.0%,4.2%,20.1%,40.7%,14.6%,6.6%,8.8%,4.9%,122,71,51,0,0,1495,63,301,608,218,99,132,74
9536.01,Clark County,Arkansas,0.2%,17.7%,76.7%,5.5%,1.0%,2.1%,28.8%,27.7%,5.6%,21.3%,13.4%,1869,3,331,1433,102,2291,23,49,660,635,128,488,308
9536.02,Clark County,Arkansas,1.2%,14.4%,77.0%,7.3%,4.5%,5.4%,24.3%,18.9%,7.1%,19.4%,20.5%,1795,22,259,1383,131,1668,75,90,405,315,118,323,342
9537,Clark County,Arkansas,10.2%,48.6%,35.4%,5.7%,3.4%,11.9%,37.6%,18.4%,8.5%,17.7%,2.6%,333,34,162,118,19,2736,92,325,1028,504,232,485,70
9538,Clark County,Arkansas,0.0%,36.6%,56.6%,6.8%,4.4%,4.4%,32.3%,30.4%,5.0%,12.3%,11.3%,380,0,139,215,26,2205,96,97,712,670,110,271,249
9539.01,Clark County,Arkansas,0.0%,83.7%,12.6%,3.7%,0.2%,9.6%,30.4%,34.2%,5.2%,15.1%,5.3%,190,0,159,24,7,1486,3,143,452,508,77,224,79
9539.02,Clark County,Arkansas,7.7%,59.1%,30.9%,2.3%,5.5%,7.0%,39.7%,26.7%,5.2%,12.3%,3.6%,220,17,130,68,5,1991,110,139,791,532,103,244,72
9501,Clay County,Arkansas,33.6%,43.4%,23.0%,0.0%,3.1%,6.7%,45.0%,18.3%,7.3%,11.2%,8.3%,122,41,53,28,0,1410,44,95,635,258,103,158,117
9502,Clay County,Arkansas,12.4%,67.8%,17.4%,2.5%,5.5%,10.9%,42.4%,16.2%,12.0%,8.3%,4.6%,121,15,82,21,3,1553,86,169,659,251,187,129,72
9503,Clay County,Arkansas,44.1%,44.1%,9.5%,2.2%,6.4%,10.2%,47.2%,11.1%,16.2%,5.1%,3.8%,179,79,79,17,4,1319,84,135,622,147,214,67,50
9504,Clay County,Arkansas,7.1%,48.2%,33.5%,11.2%,4.4%,7.2%,47.6%,15.4%,5.6%,11.8%,8.0%,197,14,95,66,22,2215,97,159,1054,342,123,262,178
9505,Clay County,Arkansas,5.2%,21.5%,52.6%,20.7%,7.5%,16.0%,40.8%,19.9%,2.6%,5.9%,7.3%,135,7,29,71,28,1309,98,209,534,261,34,77,96
9506,Clay County,Arkansas,9.4%,46.6%,41.7%,2.3%,2.7%,5.2%,43.4%,26.0%,6.5%,10.9%,5.2%,266,25,124,111,6,2462,66,129,1069,639,161,269,129
4801,Cleburne County,Arkansas,26.1%,28.0%,46.0%,0.0%,4.7%,10.2%,40.8%,18.4%,6.9%,12.8%,6.1%,211,55,59,97,0,2831,133,289,1156,522,194,363,174
