tract_number,tract_county,tract_state,"18-24, less than high school graduate (percentage)","18-24, high school graduate (includes equivalency) (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate (includes equivalency) (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Population 18 to 24 years,"18-24, less than high school graduate","18-24, high school graduate (includes equivalency)","18-24, some college or associate's degree","18-24, bachelor's degree or higher",Population 25 years and over,"25 and over, less than 9th grade","25 and over, 9th to 12th grade, no diploma","25 and over, high school graduate (includes equivalency)","25 and over, some college, no degree","25 and over, associate's degree","25 and over, bachelor's degree","25 and over, graduate or professional degree"
9502,Scott County,Arkansas,16.6%,50.1%,17.3%,15.9%,7.9%,11.1%,43.2%,20.3%,8.2%,8.6%,0.7%,415,69,208,72,66,2568,202,284,1110,522,211,221,18
9503,Scott County,Arkansas,25.3%,68.7%,6.0%,0.0%,3.1%,11.3%,35.1%,21.8%,9.5%,14.2%,5.1%,83,21,57,5,0,1497,46,169,525,327,142,212,76
9701,Searcy County,Arkansas,11.4%,27.6%,60.0%,1.0%,7.0%,8.2%,33.4%,29.2%,6.7%,12.7%,2.9%,105,12,29,63,1,1605,112,132,536,468,107,204,46
9702,Searcy County,Arkansas,2.1%,78.0%,18.3%,1.7%,13.4%,10.4%,38.9%,20.3%,6.1%,7.4%,3.5%,241,5,188,44,4,2620,351,272,1019,533,159,195,91
9703,Searcy County,Arkansas,13.2%,45.3%,20.8%,20.8%,5.8%,12.6%,35.6%,16.5%,13.1%,10.9%,5.5%,159,21,72,33,33,1517,88,191,540,250,198,166,84
1,Sebastian County,Arkansas,17.7%,64.5%,17.9%,0.0%,15.0%,14.1%,39.6%,17.7%,6.3%,5.4%,1.9%,453,80,292,81,0,4095,613,579,1623,725,257,222,76
2,Sebastian County,Arkansas,0.0%,70.7%,18.5%,10.9%,15.7%,17.8%,42.0%,14.4%,5.1%,4.6%,0.5%,818,0,578,151,89,3444,539,612,1445,497,174,160,17
3,Sebastian County,Arkansas,8.4%,42.9%,39.6%,9.1%,18.4%,9.5%,31.5%,21.7%,1.5%,11.5%,5.9%,154,13,66,61,14,1615,297,154,509,350,25,185,95
4,Sebastian County,Arkansas,15.2%,44.3%,40.5%,0.0%,18.2%,32.9%,24.8%,12.2%,5.6%,5.4%,0.8%,264,40,117,107,0,2099,383,691,521,257,118,113,16
5.01,Sebastian County,Arkansas,0.0%,80.6%,19.4%,0.0%,26.6%,15.9%,28.0%,20.2%,3.1%,4.7%,1.5%,360,0,290,70,0,3108,827,494,871,627,95,146,48
5.02,Sebastian County,Arkansas,13.9%,81.7%,0.0%,4.4%,11.4%,15.0%,29.5%,23.1%,7.8%,7.6%,5.6%,180,25,147,0,8,1652,189,247,487,381,129,126,93
6,Sebastian County,Arkansas,0.0%,64.6%,25.4%,10.1%,1.4%,1.7%,23.8%,24.2%,9.3%,22.8%,16.7%,536,0,346,136,54,3481,50,60,827,844,325,794,581
7,Sebastian County,Arkansas,6.2%,33.9%,52.1%,7.8%,8.1%,10.6%,32.9%,31.9%,3.0%,7.7%,5.7%,1233,77,418,642,96,2854,231,302,939,910,87,221,164
8,Sebastian County,Arkansas,14.4%,30.8%,50.7%,4.1%,2.5%,14.8%,29.6%,29.1%,5.0%,10.5%,8.7%,617,89,190,313,25,2599,64,384,769,756,129,272,225
10.01,Sebastian County,Arkansas,21.4%,61.4%,17.1%,0.0%,6.7%,6.3%,36.4%,30.4%,2.3%,13.6%,4.2%,280,60,172,48,0,2992,199,188,1090,910,70,408,127
10.02,Sebastian County,Arkansas,14.2%,28.9%,46.4%,10.4%,2.1%,4.2%,17.3%,17.7%,9.3%,30.4%,19.1%,211,30,61,98,22,1802,38,75,311,319,167,548,344
11.01,Sebastian County,Arkansas,1.3%,25.9%,60.3%,12.6%,9.5%,7.3%,28.0%,18.0%,11.8%,16.1%,9.4%,390,5,101,235,49,2927,277,215,819,526,344,471,275
11.02,Sebastian County,Arkansas,24.5%,44.9%,25.5%,5.1%,3.5%,3.1%,24.4%,31.2%,9.6%,17.7%,10.5%,432,106,194,110,22,2249,78,69,549,702,216,398,237
12.01,Sebastian County,Arkansas,7.4%,43.7%,42.7%,6.2%,2.2%,7.6%,25.2%,27.9%,4.7%,20.3%,12.2%,323,24,141,138,20,2443,54,185,616,681,115,495,297
12.02,Sebastian County,Arkansas,0.9%,54.6%,30.0%,14.5%,7.9%,10.7%,39.9%,23.6%,6.1%,8.5%,3.2%,227,2,124,68,33,1976,156,212,788,467,121,168,64
13.01,Sebastian County,Arkansas,2.6%,54.8%,42.6%,0.0%,0.0%,6.3%,23.1%,22.7%,7.9%,16.8%,23.1%,115,3,63,49,0,1815,0,115,420,412,143,305,420
13.05,Sebastian County,Arkansas,4.3%,49.6%,41.0%,5.1%,0.6%,3.6%,23.9%,17.8%,13.3%,22.9%,18.0%,395,17,196,162,20,3351,20,119,800,595,446,767,604
13.06,Sebastian County,Arkansas,3.5%,14.7%,78.5%,3.2%,2.1%,2.1%,15.0%,15.1%,9.3%,37.9%,18.4%,312,11,46,245,10,3402,72,73,512,514,315,1291,625
13.07,Sebastian County,Arkansas,0.0%,13.2%,34.3%,52.5%,1.5%,2.1%,25.6%,20.1%,6.8%,24.2%,19.5%,242,0,32,83,127,2533,39,54,649,510,173,614,494
13.08,Sebastian County,Arkansas,26.7%,33.0%,37.9%,2.4%,5.6%,7.3%,42.5%,17.5%,2.7%,18.7%,5.8%,546,146,180,207,13,2660,148,193,1131,465,72,498,153
13.09,Sebastian County,Arkansas,0.0%,100.0%,0.0%,0.0%,13.0%,2.5%,42.8%,22.6%,4.4%,8.9%,6.0%,56,0,56,0,0,1258,163,31,538,284,55,112,75
13.10,Sebastian County,Arkansas,28.3%,56.5%,15.2%,0.0%,0.8%,5.0%,29.8%,31.3%,7.8%,12.1%,13.3%,138,39,78,21,0,3615,30,181,1077,1130,281,436,480
13.11,Sebastian County,Arkansas,16.1%,11.1%,53.8%,19.0%,1.2%,3.0%,18.4%,17.3%,12.8%,24.4%,23.0%,316,51,35,170,60,2809,33,83,517,486,359,685,646
13.12,Sebastian County,Arkansas,20.8%,56.3%,2.8%,20.1%,4.5%,6.2%,24.3%,23.4%,12.6%,22.3%,6.8%,288,60,162,8,58,2969,134,183,720,695,375,661,201
101.01,Sebastian County,Arkansas,12.0%,41.7%,39.8%,6.4%,8.4%,5.2%,36.6%,28.1%,6.5%,10.3%,5.0%,357,43,149,142,23,3979,333,205,1455,1120,257,410,199
101.02,Sebastian County,Arkansas,11.2%,39.0%,38.8%,11.0%,1.0%,4.6%,32.8%,20.1%,11.3%,15.0%,15.2%,410,46,160,159,45,3750,36,174,1231,752,424,563,570
102.01,Sebastian County,Arkansas,11.8%,45.8%,39.2%,3.2%,1.1%,9.5%,30.0%,24.4%,10.2%,16.6%,8.2%,500,59,229,196,16,3566,40,337,1070,870,365,591,293
102.02,Sebastian County,Arkansas,20.7%,28.7%,43.0%,7.6%,1.7%,6.9%,29.4%,34.7%,4.9%,14.5%,7.9%,251,52,72,108,19,2726,47,189,802,946,133,395,214
103.01,Sebastian County,Arkansas,5.2%,26.3%,43.2%,25.4%,3.9%,11.0%,32.1%,25.9%,7.8%,10.9%,8.3%,213,11,56,92,54,4473,176,493,1438,1158,348,488,372
103.03,Sebastian County,Arkansas,11.1%,37.9%,51.0%,0.0%,7.0%,9.3%,36.8%,23.8%,6.4%,5.1%,11.5%,298,33,113,152,0,1737,122,162,639,414,112,88,200
103.04,Sebastian County,Arkansas,2.3%,60.0%,24.9%,12.8%,2.9%,11.9%,40.1%,29.5%,5.9%,6.7%,3.1%,390,9,234,97,50,2454,70,293,983,723,146,164,75
801,Sevier County,Arkansas,25.9%,49.0%,25.2%,0.0%,5.8%,5.9%,45.9%,21.4%,12.8%,5.6%,2.6%,290,75,142,73,0,2181,126,128,1002,466,280,122,57
802,Sevier County,Arkansas,1.2%,30.1%,61.7%,7.1%,14.1%,9.3%,30.2%,26.7%,5.8%,8.3%,5.7%,326,4,98,201,23,2539,358,236,766,677,146,212,144
803,Sevier County,Arkansas,15.4%,31.6%,48.2%,4.8%,27.3%,19.1%,25.6%,14.1%,3.3%,6.6%,3.9%,706,109,223,340,34,3309,904,633,848,467,109,218,130
804,Sevier County,Arkansas,11.6%,32.9%,33.1%,22.4%,3.1%,12.9%,34.2%,30.4%,8.9%,8.2%,2.4%,353,41,116,117,79,1569,49,202,536,477,139,128,38
4701,Sharp County,Arkansas,0.0%,65.0%,22.5%,12.5%,3.7%,8.5%,50.0%,24.8%,4.8%,5.9%,2.3%,80,0,52,18,10,1571,58,134,785,390,76,92,36
4702.01,Sharp County,Arkansas,5.1%,70.5%,24.4%,0.0%,1.1%,11.5%,39.6%,26.4%,7.6%,9.7%,4.1%,312,16,220,76,0,1771,20,203,701,468,134,172,73
4702.02,Sharp County,Arkansas,17.3%,81.2%,1.5%,0.0%,2.0%,9.6%,36.3%,29.3%,8.6%,10.1%,4.1%,133,23,108,2,0,2346,46,225,851,687,202,238,97
4703,Sharp County,Arkansas,7.4%,41.3%,39.6%,11.7%,2.8%,10.2%,36.7%,30.9%,7.9%,7.6%,3.9%,230,17,95,91,27,3004,85,307,1101,928,237,228,118
4704.01,Sharp County,Arkansas,8.7%,58.1%,31.5%,1.7%,5.6%,9.9%,44.5%,20.1%,9.2%,6.4%,4.4%,241,21,140,76,4,2133,119,211,949,428,197,136,93
4704.02,Sharp County,Arkansas,14.0%,50.0%,36.0%,0.0%,8.8%,15.1%,40.8%,17.8%,5.2%,10.6%,1.8%,214,30,107,77,0,1926,169,290,785,343,101,204,34
9501,Stone County,Arkansas,17.7%,53.9%,18.1%,10.3%,5.2%,14.2%,34.8%,22.2%,10.4%,9.0%,4.2%,310,55,167,56,32,3289,170,467,1144,731,342,297,138
9502.01,Stone County,Arkansas,19.8%,53.1%,27.2%,0.0%,6.1%,8.9%,42.0%,21.1%,12.4%,6.5%,3.0%,81,16,43,22,0,1014,62,90,426,214,126,66,30
9502.03,Stone County,Arkansas,11.3%,36.2%,49.5%,3.0%,3.8%,4.3%,34.6%,20.1%,12.3%,18.0%,6.9%,301,34,109,149,9,1724,65,74,596,347,212,311,119
9502.04,Stone County,Arkansas,29.6%,58.5%,6.3%,5.6%,0.6%,10.7%,40.1%,20.6%,13.8%,7.3%,7.0%,142,42,83,9,8,3113,18,333,1247,641,429,228,217
9501,Union County,Arkansas,7.0%,84.5%,8.5%,0.0%,1.4%,8.2%,47.6%,27.7%,4.1%,7.2%,3.8%,71,5,60,6,0,2174,31,179,1035,602,89,156,82
9502,Union County,Arkansas,30.6%,44.2%,11.6%,13.6%,2.9%,7.2%,46.1%,18.4%,9.3%,12.6%,3.4%,147,45,65,17,20,2635,77,190,1216,485,246,332,89
9503,Union County,Arkansas,0.0%,6.3%,58.1%,35.6%,1.1%,8.9%,38.7%,23.8%,3.4%,14.1%,10.0%,222,0,14,129,79,1869,21,167,723,445,63,263,187
9504.01,Union County,Arkansas,2.0%,13.3%,61.4%,23.2%,15.4%,25.2%,18.2%,17.8%,5.9%,13.5%,4.0%,293,6,39,180,68,1159,179,292,211,206,68,157,46
9504.02,Union County,Arkansas,2.2%,51.3%,46.5%,0.0%,0.4%,8.2%,35.7%,19.3%,8.1%,21.2%,7.0%,228,5,117,106,0,2554,11,210,911,494,207,542,179
9505.01,Union County,Arkansas,0.0%,27.6%,53.3%,19.1%,0.4%,7.7%,26.2%,33.8%,12.2%,13.7%,6.0%,330,0,91,176,63,2050,8,157,538,692,251,280,124
9505.02,Union County,Arkansas,11.0%,49.5%,19.0%,20.5%,0.3%,3.5%,47.3%,19.8%,3.9%,20.0%,5.2%,210,23,104,40,43,1779,5,62,841,353,70,356,92
9506,Union County,Arkansas,12.2%,61.3%,23.3%,3.2%,4.2%,9.9%,38.7%,9.4%,17.1%,15.0%,5.7%,493,60,302,115,16,2191,92,218,849,206,374,328,124
9507,Union County,Arkansas,16.0%,51.5%,32.5%,0.0%,0.5%,7.3%,41.4%,27.9%,7.2%,5.4%,10.2%,231,37,119,75,0,3139,17,228,1301,875,227,170,321
9508,Union County,Arkansas,32.6%,22.5%,40.4%,4.5%,1.9%,10.0%,26.1%,23.4%,5.4%,19.0%,14.2%,178,58,40,72,8,2244,42,224,586,525,121,427,319
9509,Union County,Arkansas,25.0%,62.1%,12.9%,0.0%,2.4%,18.5%,45.7%,21.6%,4.8%,6.4%,0.7%,116,29,72,15,0,1554,37,287,710,335,75,99,11
9510,Union County,Arkansas,37.8%,10.6%,51.7%,0.0%,7.2%,7.6%,55.5%,12.0%,8.2%,5.9%,3.7%,445,168,47,230,0,2858,205,217,1585,343,234,168,106
4601,Van Buren County,Arkansas,11.5%,53.8%,13.2%,21.4%,10.6%,15.1%,42.0%,17.6%,4.1%,7.0%,3.6%,234,27,126,31,50,2647,281,400,1113,465,109,184,95
4602,Van Buren County,Arkansas,20.1%,37.7%,8.5%,33.7%,5.5%,6.6%,49.8%,21.7%,4.1%,9.2%,3.1%,199,40,75,17,67,2231,123,147,1110,485,91,205,70
4603.01,Van Buren County,Arkansas,0.0%,38.0%,62.0%,0.0%,0.9%,5.9%,34.9%,24.4%,11.0%,16.9%,5.9%,71,0,27,44,0,1514,14,90,529,369,166,256,90
4603.03,Van Buren County,Arkansas,0.0%,78.2%,21.8%,0.0%,1.0%,5.2%,32.8%,25.8%,7.5%,20.7%,7.1%,55,0,43,12,0,1297,13,67,425,334,97,269,92
4603.04,Van Buren County,Arkansas,9.1%,89.6%,1.2%,0.0%,4.7%,7.8%,34.6%,20.4%,11.2%,11.5%,9.7%,164,15,147,2,0,1420,67,111,492,290,159,163,138
4604,Van Buren County,Arkansas,14.4%,32.0%,51.1%,2.5%,2.8%,8.0%,56.6%,16.7%,4.5%,6.0%,5.3%,278,40,89,142,7,2779,78,222,1574,465,126,168,146
101.01,Washington County,Arkansas,14.5%,47.2%,27.5%,10.8%,8.0%,8.0%,42.4%,22.7%,3.6%,9.8%,5.3%,269,39,127,74,29,3044,245,244,1292,692,111,298,162
101.07,Washington County,Arkansas,5.4%,34.1%,34.1%,26.3%,0.4%,2.3%,16.2%,21.3%,6.6%,26.5%,26.6%,536,29,183,183,141,4517,16,106,734,964,299,1196,1202
101.08,Washington County,Arkansas,18.3%,46.7%,33.3%,1.7%,0.7%,0.1%,10.9%,11.4%,2.6%,36.9%,37.4%,300,55,140,100,5,3796,28,4,414,434,99,1399,1418
101.09,Washington County,Arkansas,15.2%,50.4%,34.4%,0.0%,2.9%,6.1%,32.5%,12.1%,6.6%,24.9%,14.9%,125,19,63,43,0,2306,67,141,749,279,153,574,343
101.10,Washington County,Arkansas,9.1%,52.8%,23.8%,14.4%,4.5%,2.0%,16.0%,15.9%,7.0%,28.6%,25.9%,606,55,320,144,87,3042,138,62,488,483,213,869,789
101.11,Washington County,Arkansas,4.7%,0.0%,85.4%,10.0%,0.6%,1.2%,5.1%,9.3%,9.6%,38.2%,36.0%,471,22,0,402,47,1344,8,16,68,125,129,514,484
101.12,Washington County,Arkansas,11.5%,26.4%,35.8%,26.4%,2.5%,2.6%,37.0%,18.1%,7.1%,16.5%,16.2%,148,17,39,53,39,1804,45,47,668,326,128,298,292
101.13,Washington County,Arkansas,32.1%,14.3%,10.2%,43.4%,1.0%,2.0%,22.9%,13.2%,6.3%,31.7%,22.9%,196,63,28,20,85,5178,50,103,1186,682,327,1642,1188
101.14,Washington County,Arkansas,0.0%,41.6%,7.9%,50.5%,0.0%,2.0%,22.3%,19.9%,3.1%,30.7%,22.0%,481,0,200,38,243,2099,0,42,468,417,65,645,462
101.15,Washington County,Arkansas,0.0%,53.8%,10.3%,35.9%,0.0%,1.7%,20.3%,8.5%,22.3%,27.3%,19.9%,117,0,63,12,42,3061,0,52,621,259,682,837,610
102.01,Washington County,Arkansas,9.1%,44.8%,22.7%,23.4%,14.4%,27.3%,24.2%,10.5%,7.4%,15.5%,0.7%,661,60,296,150,155,1991,286,543,482,210,148,308,14
102.02,Washington County,Arkansas,12.2%,84.6%,3.2%,0.0%,26.8%,17.0%,31.3%,15.0%,4.0%,4.5%,1.5%,344,42,291,11,0,1845,494,313,577,277,73,83,28
103.03,Washington County,Arkansas,39.3%,30.8%,28.2%,1.6%,21.7%,13.6%,24.0%,11.6%,9.1%,11.5%,8.5%,616,242,190,174,10,4060,879,554,973,471,371,465,347
103.04,Washington County,Arkansas,27.6%,48.1%,24.3%,0.0%,11.2%,8.3%,27.5%,20.9%,8.0%,12.7%,11.3%,703,194,338,171,0,2628,295,219,723,549,209,335,298
103.05,Washington County,Arkansas,13.0%,30.4%,52.4%,4.2%,19.7%,8.3%,25.2%,18.1%,8.2%,16.9%,3.6%,790,103,240,414,33,3405,671,281,858,615,280,576,124
103.06,Washington County,Arkansas,16.8%,78.1%,5.1%,0.0%,27.9%,17.6%,27.7%,11.6%,4.7%,8.9%,1.6%,292,49,228,15,0,2749,766,485,761,319,130,245,43
103.07,Washington County,Arkansas,33.5%,52.9%,7.0%,6.5%,22.7%,10.4%,50.7%,12.0%,0.1%,1.9%,2.3%,796,267,421,56,52,2943,667,305,1492,352,3,55,69
104.01,Washington County,Arkansas,49.9%,19.6%,21.8%,8.8%,11.2%,12.6%,33.0%,20.2%,5.5%,10.8%,6.7%,491,245,96,107,43,3855,433,485,1271,778,211,418,259
104.02,Washington County,Arkansas,12.9%,39.7%,45.4%,2.1%,18.8%,10.2%,28.3%,23.3%,3.1%,13.6%,2.7%,776,100,308,352,16,3223,606,328,913,751,99,438,88
104.04,Washington County,Arkansas,36.1%,47.1%,10.6%,6.3%,24.0%,14.9%,35.2%,14.8%,5.3%,5.3%,0.6%,208,75,98,22,13,1331,319,198,469,197,70,70,8
104.05,Washington County,Arkansas,35.8%,41.8%,5.4%,17.1%,11.7%,5.4%,35.4%,17.8%,4.0%,13.2%,12.5%,299,107,125,16,51,4240,497,231,1500,754,170,559,529
105.01,Washington County,Arkansas,2.1%,27.4%,11.7%,58.7%,6.0%,4.1%,26.0%,18.4%,4.9%,22.1%,18.4%,707,15,194,83,415,5440,328,225,1414,999,268,1203,1003
105.08,Washington County,Arkansas,10.9%,51.2%,28.8%,9.0%,5.9%,2.9%,24.0%,15.5%,6.4%,29.5%,15.7%,531,58,272,153,48,4714,280,139,1132,731,302,1391,739
105.10,Washington County,Arkansas,9.9%,62.6%,27.5%,0.0%,14.1%,4.5%,35.9%,17.0%,6.2%,15.8%,6.5%,385,38,241,106,0,3261,459,146,1170,555,203,515,213
105.11,Washington County,Arkansas,1.6%,61.8%,19.6%,17.0%,1.9%,2.4%,19.4%,14.0%,9.6%,23.6%,29.1%,683,11,422,134,116,3843,74,91,747,538,369,907,1117
105.12,Washington County,Arkansas,6.2%,38.6%,53.3%,1.9%,18.0%,7.0%,20.8%,23.4%,4.8%,13.1%,13.0%,723,45,279,385,14,2837,512,199,589,663,135,371,368
105.13,Washington County,Arkansas,23.0%,54.8%,13.8%,8.5%,7.0%,4.7%,51.0%,15.7%,3.6%,14.6%,3.4%,305,70,167,42,26,2083,145,98,1063,326,76,305,70
105.14,Washington County,Arkansas,20.1%,36.5%,29.2%,14.2%,4.3%,2.4%,25.9%,35.5%,10.3%,15.6%,6.0%,274,55,100,80,39,2493,107,59,645,886,258,388,150
105.15,Washington County,Arkansas,8.3%,36.2%,42.8%,12.7%,5.4%,5.4%,32.5%,16.0%,7.7%,17.6%,15.4%,362,30,131,155,46,5030,270,271,1637,804,388,886,774
105.16,Washington County,Arkansas,2.9%,12.0%,48.4%,36.6%,0.0%,0.9%,14.3%,18.0%,5.4%,38.7%,22.7%,925,27,111,448,339,2985,0,27,427,537,162,1155,677
105.17,Washington County,Arkansas,0.0%,32.8%,55.7%,11.5%,3.3%,1.4%,15.7%,11.8%,4.0%,33.8%,30.0%,174,0,57,97,20,4003,134,57,627,472,159,1353,1201
105.18,Washington County,Arkansas,5.9%,22.4%,39.7%,32.1%,4.6%,1.7%,14.3%,15.6%,9.1%,30.4%,24.3%,393,23,88,156,126,2816,129,48,402,440,257,857,683
105.19,Washington County,Arkansas,22.2%,27.7%,50.1%,0.0%,3.0%,1.4%,24.0%,23.6%,6.1%,22.4%,19.5%,365,81,101,183,0,2839,85,40,680,669,174,636,555
105.20,Washington County,Arkansas,5.8%,19.6%,63.6%,11.0%,1.5%,2.0%,19.1%,14.9%,10.8%,30.6%,21.0%,1049,61,206,667,115,2149,33,44,410,320,232,658,452
105.21,Washington County,Arkansas,5.2%,28.8%,50.9%,15.2%,9.6%,2.9%,19.9%,17.9%,4.9%,16.5%,28.4%,1161,60,334,591,176,1782,171,51,354,319,87,294,506
106.01,Washington County,Arkansas,0.0%,34.0%,46.2%,19.8%,10.3%,0.0%,19.7%,14.6%,2.5%,28.0%,24.9%,1251,0,425,578,248,1259,130,0,248,184,31,353,313
106.02,Washington County,Arkansas,0.0%,24.0%,51.8%,24.1%,6.8%,2.1%,36.6%,21.6%,4.0%,19.5%,9.4%,704,0,169,365,170,2677,182,57,980,579,107,521,251
107.03,Washington County,Arkansas,6.8%,30.8%,36.1%,26.3%,1.7%,3.2%,30.7%,25.1%,6.6%,15.4%,17.2%,704,48,217,254,185,1845,32,59,567,463,122,284,318
107.04,Washington County,Arkansas,1.2%,9.6%,75.6%,13.5%,1.3%,7.7%,33.8%,8.0%,8.3%,25.0%,15.8%,2332,29,225,1763,315,1764,23,136,597,141,147,441,279
107.05,Washington County,Arkansas,17.2%,35.1%,39.1%,8.6%,0.6%,3.4%,25.0%,20.3%,6.8%,30.4%,13.4%,151,26,53,59,13,2792,18,95,698,568,189,849,375
107.06,Washington County,Arkansas,0.0%,23.8%,69.1%,7.2%,0.9%,1.7%,12.5%,11.5%,7.6%,35.9%,29.7%,740,0,176,511,53,1180,11,20,148,136,90,424,351
110.02,Washington County,Arkansas,52.4%,20.2%,27.0%,0.4%,2.5%,7.3%,47.2%,17.1%,11.3%,10.1%,4.6%,511,268,103,138,2,3793,94,278,1791,647,427,383,173
110.03,Washington County,Arkansas,5.6%,68.5%,25.9%,0.0%,2.6%,6.9%,45.3%,18.1%,6.1%,9.8%,11.3%,355,20,243,92,0,3366,87,232,1524,608,204,329,382
110.04,Washington County,Arkansas,21.7%,50.5%,23.4%,4.3%,0.3%,11.2%,33.6%,14.3%,9.4%,22.2%,9.0%,184,40,93,43,8,3067,10,344,1029,439,288,681,276
110.05,Washington County,Arkansas,3.1%,62.4%,24.4%,10.1%,2.1%,3.3%,32.3%,19.3%,17.4%,20.4%,5.2%,287,9,179,70,29,2702,58,90,872,522,469,550,141
110.06,Washington County,Arkansas,19.0%,45.9%,28.0%,7.1%,1.1%,3.0%,29.9%,22.5%,7.4%,22.4%,13.7%,353,67,162,99,25,4243,45,128,1268,954,315,950,583
111.03,Washington County,Arkansas,10.4%,19.2%,68.9%,1.5%,5.3%,8.2%,42.2%,18.0%,7.7%,12.9%,5.6%,412,43,79,284,6,3381,179,278,1427,609,261,436,191
111.04,Washington County,Arkansas,7.7%,21.6%,56.1%,14.6%,0.0%,17.3%,25.9%,24.7%,4.7%,14.3%,13.1%,1485,114,321,833,217,1755,0,303,455,433,83,251,230
111.05,Washington County,Arkansas,3.4%,15.1%,72.7%,8.8%,6.4%,7.0%,36.3%,27.3%,4.2%,13.7%,5.2%,2147,73,325,1561,188,2172,138,153,788,592,91,298,112
111.06,Washington County,Arkansas,12.5%,28.0%,57.3%,2.2%,5.2%,4.1%,37.7%,19.7%,13.6%,14.7%,5.0%,361,45,101,207,8,2504,130,102,944,494,341,369,124
111.07,Washington County,Arkansas,0.0%,57.9%,35.2%,6.9%,0.6%,2.7%,37.9%,15.7%,3.5%,21.9%,17.6%,349,0,202,123,24,3396,22,91,1288,534,120,744,597
112,Washington County,Arkansas,12.5%,51.9%,25.0%,10.6%,19.1%,10.2%,31.2%,30.1%,4.0%,4.9%,0.4%,104,13,54,26,11,1778,340,181,554,535,72,88,8
113.01,Washington County,Arkansas,0.2%,7.4%,90.5%,1.9%,0.0%,2.2%,24.7%,19.3%,0.0%,40.8%,13.0%,6472,16,481,5855,120,368,0,8,91,71,0,150,48
113.02,Washington County,Arkansas,4.8%,13.1%,76.5%,5.6%,1.5%,6.0%,26.6%,21.1%,8.9%,27.8%,8.1%,1384,67,181,1059,77,1638,25,98,435,345,146,456,133
701,White County,Arkansas,17.7%,58.6%,22.2%,1.6%,2.5%,6.9%,52.1%,20.9%,9.1%,6.2%,2.3%,379,67,222,84,6,2238,55,154,1167,468,203,139,52
702,White County,Arkansas,14.1%,41.6%,38.0%,6.3%,4.6%,8.2%,47.7%,15.5%,11.1%,6.6%,6.4%,255,36,106,97,16,3607,166,297,1719,558,399,237,231
703,White County,Arkansas,16.6%,33.7%,34.9%,14.8%,6.8%,11.4%,51.3%,11.5%,7.0%,10.1%,2.0%,169,28,57,59,25,3419,231,390,1753,392,238,347,68
704.01,White County,Arkansas,5.9%,64.7%,14.1%,15.4%,0.9%,6.9%,43.7%,5.6%,16.8%,11.5%,14.7%,612,36,396,86,94,3620,32,248,1582,201,608,416,533
704.02,White County,Arkansas,17.1%,53.0%,21.8%,8.1%,1.6%,10.7%,42.7%,16.5%,11.6%,6.9%,10.1%,602,103,319,131,49,2375,37,254,1013,392,275,165,239
705.01,White County,Arkansas,0.0%,76.3%,12.9%,10.8%,3.4%,21.2%,43.8%,16.3%,6.2%,8.2%,0.7%,93,0,71,12,10,2668,92,565,1169,436,166,220,20
705.02,White County,Arkansas,9.3%,77.5%,9.3%,3.9%,3.3%,15.9%,41.1%,18.1%,5.0%,12.6%,4.0%,129,12,100,12,5,1901,62,302,781,344,96,240,76
706,White County,Arkansas,24.4%,45.2%,25.6%,4.8%,3.3%,13.6%,50.6%,12.7%,7.5%,7.2%,5.1%,270,66,122,69,13,2413,80,327,1222,307,180,174,123
707,White County,Arkansas,28.9%,29.6%,34.8%,6.7%,4.0%,6.5%,26.6%,29.6%,8.4%,10.0%,14.9%,253,73,75,88,17,2902,115,189,772,858,245,291,432
708.01,White County,Arkansas,0.4%,10.5%,84.0%,5.1%,4.0%,2.8%,24.9%,19.6%,8.5%,19.8%,20.2%,2939,13,308,2469,149,494,20,14,123,97,42,98,100
708.02,White County,Arkansas,7.6%,11.1%,61.2%,20.0%,9.8%,5.4%,42.6%,19.0%,4.1%,7.3%,11.8%,539,41,60,330,108,1360,133,73,580,258,56,99,161
709.01,White County,Arkansas,9.4%,55.5%,32.0%,3.1%,4.6%,6.1%,26.4%,15.8%,5.3%,18.2%,23.6%,319,30,177,102,10,2980,138,183,788,470,158,541,702
709.02,White County,Arkansas,11.3%,20.6%,63.8%,4.3%,0.2%,2.8%,22.2%,21.5%,6.0%,23.9%,23.3%,141,16,29,90,6,3334,8,95,741,717,200,797,776
710.01,White County,Arkansas,16.7%,51.9%,14.8%,16.7%,3.0%,5.6%,44.1%,15.3%,7.4%,18.3%,6.2%,54,9,28,8,9,2464,74,139,1087,377,183,451,153
710.02,White County,Arkansas,0.0%,51.3%,48.7%,0.0%,3.0%,11.7%,41.6%,15.6%,11.5%,10.9%,5.7%,156,0,80,76,0,3024,92,353,1257,472,347,331,172
711.01,White County,Arkansas,33.9%,59.8%,4.5%,1.8%,6.8%,16.4%,44.7%,16.9%,9.5%,3.8%,1.9%,224,76,134,10,4,2697,184,443,1205,456,255,102,52
711.02,White County,Arkansas,19.5%,42.0%,30.2%,8.3%,4.5%,13.6%,44.2%,21.0%,8.8%,7.1%,0.9%,410,80,172,124,34,1996,89,271,882,419,176,141,18
