School Name,District Name,County,Latitude,Longitude,Tract,Normalized Tract,Unique ID,Grades,Math: % Met Readiness Benchmark,English: % Met Readiness Benchmark,Reading: % Met Readiness Benchmark,Science: % Met Readiness Benchmark,% Met Readiness Benchmark in all Four Subjects,School Enrollment,School % FRL,School % White,School % Hispanic,School % Black,School % Other Races,School Overall % Minority,Region,Number of Students in Grade 11,Number of Students in grade 11 that took the ACT,% Students in grade 11 that took the ACT in 2015-16,Average ACT Math Score,Average ACT English Score,Average ACT Reading Score,Average ACT Science Score,Is Open Enrollment Charter,County,School LEA,DLEA,Hispanic or Latino (of any race) (percentage),Not Hispanic or Latino (percentage),White alone (percentage),Black or African American alone (percentage),American Indian and Alaska Native alone (percentage),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (percentage),Some Other Race alone (percentage),Two or More Races alone (percentage),Total population,Hispanic or Latino (of any race),Not Hispanic or Latino,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races alone,"18-24, less than high school graduate (percentage)","18-24, high school graduate (includes equivalency) (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate (includes equivalency) (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Population 18 to 24 years,"18-24, less than high school graduate","18-24, high school graduate (includes equivalency)","18-24, some college or associate's degree","18-24, bachelor's degree or higher",Population 25 years and over,"25 and over, less than 9th grade","25 and over, 9th to 12th grade, no diploma","25 and over, high school graduate (includes equivalency)","25 and over, some college, no degree","25 and over, associate's degree","25 and over, bachelor's degree","25 and over, graduate or professional degree",total_households,Median income (dollars),Mean income (dollars)
Oark High School,Jasper,NEWTON,36.008226,-93.1872677,180100,1801.00,180100NEWTON,7-12,RV,8%,25%,8%,RV,70,79%,94%,4%,1%,0%,6%,1,17,12,71%,15.2,13.3,17,16,0,NEWTON,5102024,5102000,0.01,0.99,0.937,0.003,0.001,0.002,0.002,0.005,0.041,3687,38,3649,3453,11,4,6,7,17,151,0.205,0.353,0.411,0.03,0.027,0.122,0.3,0.289,0.086,0.099,0.075,331,68,117,136,10,2547,70,312,763,737,220,253,192,1497,52917,62197
Oden Schools,Ouachita River,POLK,33.15800728,-93.04492261,950100,9501.00,950100POLK,P-12,23%,39%,31%,23%,15%,148,73%,82%,6%,0%,11%,18%,4,15,13,87%,17.9,17.5,17.7,17.7,0,POLK,5706009,5706000,0.07,0.93,0.872,0,0.019,0,0,0,0.039,3653,254,3399,3187,0,71,0,0,0,141,0.248,0.524,0.229,0,0.05,0.112,0.362,0.245,0.056,0.114,0.06,105,26,55,24,0,3066,154,344,1111,752,172,349,184,1765,49004,71973
Omaha High School,Omaha,BOONE,36.4484634,-93.1959457,790100,7901.00,790100BOONE,7-12,16%,40%,20%,12%,4%,186,66%,92%,3%,0%,4%,8%,1,31,25,81%,16.8,16.9,17.4,18.2,0,BOONE,504023,504000,0.016,0.984,0.945,0.003,0.004,0,0,0,0.032,6432,101,6331,6079,20,28,0,0,0,204,0.063,0.618,0.319,0,0.037,0.054,0.402,0.281,0.062,0.08,0.085,492,31,304,157,0,4279,157,231,1721,1202,264,342,362,2457,60838,74481
Osceola High School,Osceola,MISSISSIPPI,35.7069431,-90.0134057,11100,111.00,11100MISSISSIPPI,9-12,RV,7%,RV,RV,RV,261,87%,6%,3%,87%,4%,94%,2,69,61,88%,14.9,12.6,15.2,15.1,0,MISSISSIPPI,4713051,4713000,0.067,0.933,0.487,0.374,0,0.012,0,0,0.06,3477,232,3245,1695,1302,0,40,0,0,208,0.099,0.749,0.153,0,0.056,0.079,0.406,0.279,0.06,0.09,0.031,557,55,417,85,0,2127,119,167,863,593,128,191,66,1244,58093,74642
Ouachita High School,Ouachita River,HOT SPRING,34.2393626,-92.963071,20600,206.00,20600HOT,7-12,24%,36%,27%,24%,15%,272,49%,93%,3%,0%,5%,7%,3,45,33,73%,17.5,16.1,17.5,18.8,0,HOT SPRING,3005030,3005000,0.029,0.971,0.944,0,0.001,0.002,0,0,0.025,3720,107,3613,3510,0,2,9,0,0,92,0.158,0.383,0.46,0,0.009,0.048,0.368,0.227,0.075,0.173,0.101,298,47,114,137,0,2834,25,135,1043,642,212,490,287,1458,57500,77205
Ozark Jr/Sr High School,Ozark Mountain,FRANKLIN,35.4869588,-93.8272262,950202,9502.02,950202FRANKLIN,8-12,9%,45%,33%,20%,6%,675,45%,90%,4%,1%,5%,10%,1,134,106,79%,17,17.3,17.9,17.9,0,FRANKLIN,2404017,2404000,0.034,0.966,0.924,0.003,0.017,0,0,0,0.023,3564,120,3444,3292,10,60,0,0,0,82,0.16,0.452,0.192,0.196,0.054,0.085,0.431,0.239,0.114,0.03,0.048,250,40,113,48,49,2600,140,220,1120,621,296,78,125,1449,48176,51247
Ozark Mountain High School,Ozark Mountain,SEARCY,36.0989774,-92.9554781,180100,1801.00,180100SEARCY,7-12,15%,41%,26%,19%,15%,236,73%,94%,3%,0%,3%,6%,1,40,27,68%,17,17.2,19.1,18.9,0,SEARCY,6505021,6505000,Error With ID: 180100SEARCY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pangburn High School,Pangburn,WHITE,35.4305767,-91.8356187,70200,702.00,70200WHITE,7-12,7%,42%,32%,24%,5%,348,58%,95%,3%,0%,2%,5%,2,67,62,93%,16.4,17,18.6,18.8,0,WHITE,7309039,7309000,0.033,0.967,0.898,0,0,0.021,0,0,0.048,5641,185,5456,5065,0,1,121,0,0,269,0.141,0.416,0.38,0.063,0.046,0.082,0.477,0.155,0.111,0.066,0.064,255,36,106,97,16,3607,166,297,1719,558,399,237,231,2045,55709,65181
Paragould High School,Paragould,GREENE,36.0582487,-90.5070714,480402,4804.02,480402GREENE,9-12,23%,48%,37%,28%,19%,864,59%,76%,9%,7%,8%,24%,2,215,178,83%,17.9,18.8,18.7,19,0,GREENE,2808043,2808000,0.069,0.931,0.784,0.069,0,0,0.062,0,0.016,3062,210,2852,2401,212,0,0,190,0,49,0.037,0.578,0.189,0.197,0.017,0.214,0.517,0.117,0.025,0.041,0.068,244,9,141,46,48,1967,34,421,1017,230,50,81,134,1190,54303,55439
Paris High School,Paris,LOGAN,35.2980308,-93.7059402,950300,9503.00,950300LOGAN,9-12,6%,30%,21%,16%,4%,302,70%,84%,5%,1%,9%,16%,1,94,71,76%,15.7,14.9,16.7,17.1,0,LOGAN,4203012,4203000,0.023,0.977,0.924,0.01,0.001,0.03,0,0,0.013,3635,85,3550,3357,35,2,109,0,0,47,0.314,0.377,0.309,0,0.025,0.054,0.494,0.168,0.069,0.127,0.062,175,55,66,54,0,2756,68,150,1362,464,191,351,170,1623,48618,62344
Parkers Chapel High School,Parkers Chapel,UNION,33.1690169,-92.7215989,950501,9505.01,950501UNION,7-12,18%,44%,24%,19%,11%,359,31%,82%,4%,11%,4%,18%,4,68,62,91%,17.3,17,17.9,17.8,0,UNION,7007040,7007000,0.068,0.932,0.863,0.048,0.003,0,0,0,0.018,3273,221,3052,2826,158,9,0,0,0,59,0,0.276,0.533,0.191,0.004,0.077,0.262,0.338,0.122,0.137,0.06,330,0,91,176,63,2050,8,157,538,692,251,280,124,1290,67750,112210
Parkview Magnet High School,Little Rock,PULASKI,34.7314138,-92.3702359,2403,24.03,2403PULASKI,9-12,7%,31%,21%,10%,5%,"1,063",70%,12%,11%,76%,2%,88%,3,233,207,89%,15.5,15.3,17.3,16.7,0,PULASKI,6001005,6001000,0.081,0.919,0.222,0.663,0,0.012,0,0,0.023,3554,287,3267,788,2357,0,41,0,0,81,0.044,0.609,0.091,0.256,0.006,0.082,0.354,0.242,0.108,0.137,0.071,386,17,235,35,99,2503,15,205,887,605,270,343,178,1667,37893,47826
Pea Ridge High School,Pea Ridge,BENTON,36.4566192,-94.135008,20103,201.03,20103BENTON,10-12,27%,46%,35%,30%,22%,580,26%,87%,7%,2%,4%,13%,1,201,165,82%,18.9,18.2,19,19.4,0,BENTON,407027,407000,0.112,0.888,0.668,0.063,0.001,0.013,0,0,0.143,4777,534,4243,3191,302,5,62,0,0,683,0.127,0.505,0.368,0,0.045,0.065,0.372,0.247,0.105,0.117,0.049,315,40,159,116,0,3250,147,210,1208,804,341,381,159,1737,78750,94727
Perryville High School,Perryville,PERRY,35.0054175,-92.8010876,952800,9528.00,952800PERRY,7-12,11%,50%,29%,16%,10%,416,58%,94%,3%,0%,3%,6%,1,71,62,87%,16.8,17.8,19.4,18.7,0,PERRY,5303011,5303000,0.073,0.927,0.852,0.009,0.003,0.011,0,0,0.051,3230,236,2994,2751,30,11,36,0,0,166,0.146,0.618,0.208,0.028,0.028,0.055,0.43,0.302,0.05,0.097,0.037,212,31,131,44,6,2200,62,122,945,665,110,214,82,1213,55750,66175
Piggott High School,Piggott,CLAY,36.3814856,-90.1849826,950600,9506.00,950600CLAY,7-12,2%,22%,16%,4%,2%,343,58%,95%,3%,1%,2%,5%,2,49,45,92%,15.2,14.6,16.2,16.5,0,CLAY,1104018,1104000,0.02,0.98,0.94,0.003,0.006,0,0,0,0.03,3748,75,3673,3524,13,22,0,0,0,114,0.094,0.466,0.417,0.023,0.027,0.052,0.434,0.26,0.065,0.109,0.052,266,25,124,111,6,2462,66,129,1069,639,161,269,129,1500,48889,62763
Pine Bluff High School,Pine Bluff,JEFFERSON,34.2192758,-92.0095733,1200,12.00,1200JEFFERSON,10-12,3%,19%,9%,6%,2%,780,78%,2%,1%,95%,2%,98%,3,270,163,60%,14.6,13.9,15.1,16.5,0,JEFFERSON,3505042,3505000,0.003,0.997,0.129,0.848,0,0,0,0,0.02,1569,5,1564,202,1330,0,0,0,0,32,0,0.598,0.339,0.063,0.207,0.066,0.388,0.113,0.047,0.123,0.057,112,0,67,38,7,1156,239,76,448,131,54,142,66,813,22113,68298
Pocahontas High School,Pocahontas,RANDOLPH,36.2803717,-90.9817087,960301,9603.01,960301RANDOLPH,10-12,18%,44%,26%,21%,14%,384,53%,79%,3%,1%,17%,21%,2,137,124,91%,17.1,17.1,17.4,18,0,RANDOLPH,6103010,6103000,0.024,0.976,0.873,0.012,0.003,0.008,0.027,0,0.054,4375,103,4272,3819,52,14,35,116,0,236,0.076,0.426,0.455,0.043,0.055,0.059,0.395,0.218,0.074,0.097,0.103,277,21,118,126,12,3039,168,178,1199,661,224,295,314,1617,44821,63997
Polk County Virtual Academy,Mena,POLK,34.5842244,-94.2363689,950201,9502.01,950201POLK,K-12,N<10,N<10,N<10,N<10,N<10,15,27%,80%,0%,0%,20%,20%,4,4,N<10,N<10,N<10,N<10,N<10,N<10,0,POLK,5703703,5703000,0.043,0.957,0.932,0,0,0,0,0,0.026,1992,85,1907,1856,0,0,0,0,0,51,0.563,0.438,0,0,0.001,0.038,0.337,0.359,0.083,0.115,0.068,112,63,49,0,0,1369,1,52,461,491,114,157,93,839,66973,68192
Pottsville High School,Pottsville,POPE,35.2389165,-93.0287288,951202,9512.02,951202POPE,10-12,13%,40%,33%,27%,7%,395,35%,89%,7%,2%,2%,11%,1,111,93,84%,17.6,17.3,19.2,19,0,POPE,5804014,5804000,0.12,0.88,0.824,0.037,0,0.002,0,0.003,0.015,5325,638,4687,4386,196,0,11,0,14,80,0.078,0.619,0.194,0.109,0.037,0.049,0.414,0.138,0.095,0.175,0.092,386,30,239,75,42,3317,123,162,1373,459,314,581,305,1991,74875,117184
Poyen High School,Poyen,GRANT,34.3247954,-92.6445624,470300,4703.00,470300GRANT,7-12,10%,50%,18%,8%,RV,253,45%,94%,3%,0%,3%,6%,3,41,40,98%,16.6,16.5,17.5,17.9,0,GRANT,2703010,2703000,0.037,0.963,0.907,0.031,0.001,0.001,0,0.001,0.022,3979,146,3833,3610,125,3,2,0,4,89,0.126,0.61,0.201,0.063,0.026,0.061,0.454,0.194,0.081,0.143,0.041,318,40,194,64,20,2814,74,172,1278,545,229,402,114,1389,65815,81094
Prairie Grove High School,Prairie Grove,WASHINGTON,35.9815764,-94.3244138,10514,105.14,10514WASHINGTON,9-12,16%,41%,33%,20%,10%,595,29%,82%,10%,2%,6%,18%,1,147,121,82%,17.1,16.6,19.3,18.5,0,WASHINGTON,7206703,7206000,0.052,0.948,0.639,0.003,0.002,0.006,0,0,0.299,3916,203,3713,2503,10,6,22,0,0,1172,0.201,0.365,0.292,0.142,0.043,0.024,0.259,0.355,0.103,0.156,0.06,274,55,100,80,39,2493,107,59,645,886,258,388,150,1362,63021,88853
Prescott High School,Prescott,NEVADA,33.7913217,-93.3775516,90200,902.00,90200NEVADA,9-12,1%,35%,14%,8%,RV,303,68%,50%,8%,41%,1%,50%,4,91,86,95%,15.3,15,17.1,17.3,0,NEVADA,5006024,5006000,0.079,0.921,0.617,0.287,0,0,0.002,0,0.015,4334,344,3990,2676,1243,0,0,7,0,64,0.021,0.748,0.231,0,0.028,0.063,0.452,0.185,0.121,0.125,0.026,516,11,386,119,0,2698,75,170,1219,500,326,337,71,1705,40126,48045
Quitman High School,Quitman,CLEBURNE,35.3794514,-92.222091,480502,4805.02,480502CLEBURNE,9-12,14%,45%,39%,20%,11%,275,40%,95%,1%,1%,2%,5%,2,71,56,79%,17.6,17.4,19.4,19.1,0,CLEBURNE,1203011,1203000,0.026,0.974,0.89,0,0.003,0.002,0,0.031,0.049,3524,90,3434,3137,0,9,6,0,108,174,0.21,0.381,0.405,0.004,0.032,0.066,0.398,0.201,0.093,0.139,0.071,252,53,96,102,1,2636,85,174,1050,529,244,367,187,1483,50101,71484
Rector High School,Rector,CLAY,36.2631972,-90.2981985,950500,9505.00,950500CLAY,7-12,12%,56%,29%,24%,9%,252,66%,95%,3%,0%,2%,5%,2,36,34,94%,16.9,18.5,18.9,18,0,CLAY,1106023,1106000,0.003,0.997,0.939,0,0,0,0,0,0.058,1744,5,1739,1638,0,0,0,0,0,101,0.052,0.215,0.526,0.207,0.075,0.16,0.408,0.199,0.026,0.059,0.073,135,7,29,71,28,1309,98,209,534,261,34,77,96,862,45104,51721
Rison High School,Cleveland County,CLEVELAND,33.9552496,-92.1876937,970100,9701.00,970100CLEVELAND,7-12,18%,39%,28%,23%,12%,345,51%,72%,3%,21%,4%,28%,5,62,57,92%,17.4,15.9,17.6,18.3,0,CLEVELAND,1305010,1305000,0.001,0.999,0.845,0.108,0,0,0,0,0.045,4188,5,4183,3539,454,0,0,0,0,190,0.041,0.519,0.441,0,0.011,0.094,0.386,0.256,0.086,0.12,0.048,370,15,192,163,0,2923,31,274,1128,749,251,351,139,1528,47386,61229
River Valley Virtual Academy,Van Buren,CRAWFORD,35.4761483,-94.3580803,20208,202.08,20208CRAWFORD,K-12,8%,39%,31%,8%,8%,105,68%,86%,4%,2%,9%,14%,1,23,13,57%,15.2,16.2,17.3,17.8,0,CRAWFORD,1705703,1705000,0.069,0.931,0.746,0.029,0.003,0.01,0,0.029,0.113,3673,255,3418,2740,107,12,35,0,108,416,0.201,0.349,0.416,0.033,0.051,0.071,0.314,0.278,0.103,0.154,0.03,209,42,73,87,7,2580,131,183,810,717,265,397,77,1436,58040,63903
Riverside High School,Riverside,CRAIGHEAD,35.20105,-91.8318334,71001,710.01,71001CRAIGHEAD,7-12,19%,51%,46%,32%,19%,353,46%,89%,6%,3%,2%,11%,2,42,37,88%,17.1,18.1,19.2,19.8,0,CRAIGHEAD,1613021,1613000,Error With ID: 71001CRAIGHEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverview High School,Riverview,WHITE,35.20105,-91.8318334,71001,710.01,71001WHITE,9-12,3%,20%,15%,8%,2%,316,59%,66%,15%,9%,10%,34%,2,73,66,90%,15.2,14.6,16.4,16.4,0,WHITE,7307032,7307000,0.03,0.97,0.897,0.024,0.005,0,0,0,0.044,3098,93,3005,2779,75,14,0,0,0,137,0.167,0.519,0.148,0.167,0.03,0.056,0.441,0.153,0.074,0.183,0.062,54,9,28,8,9,2464,74,139,1087,377,183,451,153,1352,58339,83939
Rogers Heritage High School,Rogers,BENTON,36.3237956,-94.1230579,20206,202.06,20206BENTON,9-12,12%,34%,18%,15%,7%,"2,125",49%,39%,52%,2%,7%,61%,1,553,509,92%,16.6,15.9,17.2,17.6,0,BENTON,405052,405000,0.537,0.463,0.27,0.005,0,0.018,0.042,0.028,0.1,8407,4517,3890,2269,42,0,150,351,234,844,0.109,0.466,0.33,0.095,0.197,0.135,0.329,0.104,0.05,0.156,0.028,624,68,291,206,59,4684,924,634,1542,486,234,732,132,2360,79390,81726
Rogers High School,Rogers,BENTON,36.299969,-94.1467358,20405,204.05,20405BENTON,9-12,20%,47%,32%,26%,15%,"2,379",41%,42%,49%,2%,8%,58%,1,620,532,86%,17.7,17.7,19,18.9,0,BENTON,405048,405000,0.14,0.86,0.664,0.002,0.005,0.137,0,0,0.053,5406,756,4650,3588,11,26,740,0,0,285,0.018,0.059,0.568,0.355,0.005,0.022,0.185,0.144,0.086,0.326,0.232,609,11,36,346,216,3712,20,82,688,533,319,1209,861,2330,100429,121044
Rogers New Technology High School,Rogers,BENTON,36.3016266,-94.1192513,20206,202.06,20206BENTON,9-12,16%,54%,41%,35%,12%,672,42%,40%,54%,2%,5%,60%,1,164,159,97%,17.7,18.5,20.5,20.3,0,BENTON,405703,405000,0.537,0.463,0.27,0.005,0,0.018,0.042,0.028,0.1,8407,4517,3890,2269,42,0,150,351,234,844,0.109,0.466,0.33,0.095,0.197,0.135,0.329,0.104,0.05,0.156,0.028,624,68,291,206,59,4684,924,634,1542,486,234,732,132,2360,79390,81726
Rose Bud High School,Rose Bud,WHITE,35.3341122,-92.0725523,70300,703.00,70300WHITE,7-12,RV,18%,16%,2%,RV,340,42%,92%,6%,1%,1%,8%,2,51,44,86%,15.9,13.8,16.2,17,0,WHITE,7310043,7310000,0.031,0.969,0.941,0,0,0,0,0.001,0.027,5012,157,4855,4714,0,1,0,0,6,134,0.166,0.337,0.349,0.148,0.068,0.114,0.513,0.115,0.07,0.101,0.02,169,28,57,59,25,3419,231,390,1753,392,238,347,68,1818,60278,64093
Rural Special High School,Mountain Home,STONE,36.3400904,-92.385217,950200,9502.00,950200STONE,7-12,8%,54%,46%,39%,8%,85,67%,89%,11%,0%,0%,11%,2,14,13,93%,17.4,18.5,21.2,19.5,0,STONE,6901012,6901000,Error With ID: 950200STONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russellville High School,Russellville,POPE,35.2578473,-93.1179535,951601,9516.01,951601POPE,10-12,25%,56%,42%,31%,19%,"1,284",56%,58%,27%,6%,9%,42%,1,438,351,80%,18.2,19.1,20.2,20,0,POPE,5805024,5805000,0.308,0.692,0.621,0.005,0,0.019,0.005,0,0.043,6304,1943,4361,3912,30,0,119,29,0,271,0.12,0.185,0.595,0.1,0.045,0.075,0.449,0.161,0.07,0.132,0.068,810,97,150,482,81,3938,176,297,1768,634,275,519,269,2587,46016,62549
Salem High School,Salem,FULTON,36.3593264,-91.8166092,550201,5502.01,550201FULTON,7-12,14%,61%,45%,33%,10%,416,61%,93%,3%,1%,3%,7%,2,63,51,81%,18.4,19.1,21,19.6,0,FULTON,2502006,2502000,0.007,0.993,0.906,0.008,0,0.001,0,0,0.078,3126,23,3103,2832,24,0,4,0,0,243,0.191,0.421,0.388,0,0.066,0.032,0.381,0.28,0.077,0.107,0.056,183,35,77,71,0,2479,164,80,945,695,190,265,140,1284,37214,50613
Scranton High School,Scranton,LOGAN,35.3612575,-93.5413721,950100,9501.00,950100LOGAN,7-12,21%,38%,33%,33%,17%,207,47%,91%,2%,0%,7%,9%,1,27,24,89%,18,18.1,19.9,19.9,0,LOGAN,4204019,4204000,0.044,0.956,0.911,0,0.003,0.013,0,0.003,0.027,4125,180,3945,3757,0,12,54,0,11,111,0.234,0.134,0.593,0.039,0.04,0.074,0.379,0.222,0.08,0.128,0.078,231,54,31,137,9,3053,121,225,1158,678,243,390,238,1589,64727,70977
Searcy High School,Searcy,WHITE,35.2519371,-91.7592664,70401,704.01,70401WHITE,9-12,32%,67%,45%,38%,21%,"1,208",43%,67%,12%,11%,10%,33%,2,311,262,84%,19.5,21,20.7,20.5,0,WHITE,7311052,7311000,0.037,0.963,0.922,0.016,0,0,0,0,0.026,5479,200,5279,5052,87,0,0,0,0,140,0.059,0.647,0.141,0.154,0.009,0.069,0.437,0.056,0.168,0.115,0.147,612,36,396,86,94,3620,32,248,1582,201,608,416,533,2052,71004,80078
Sheridan High School,Sheridan,GRANT,34.3112523,-92.4076598,470401,4704.01,470401GRANT,9-12,14%,37%,29%,16%,8%,"1,265",35%,86%,7%,2%,4%,14%,3,329,295,90%,17.3,16.1,18.4,18.4,0,GRANT,2705021,2705000,0.024,0.976,0.894,0.023,0,0.003,0.009,0.02,0.028,3834,91,3743,3426,87,0,13,34,76,107,0.272,0.309,0.42,0,0.024,0.05,0.37,0.246,0.038,0.192,0.08,162,44,50,68,0,2742,66,136,1015,674,105,527,219,1533,61655,78054
Shirley High School,Shirley,VAN BUREN,35.6561652,-92.319229,460301,4603.01,460301VAN,7-12,RV,25%,8%,RV,RV,134,81%,94%,1%,4%,1%,6%,1,16,12,75%,14.9,13.6,14,12.8,0,VAN BUREN,7104015,7104000,0.098,0.902,0.873,0.011,0.001,0.003,0,0,0.014,1742,170,1572,1521,20,2,5,0,0,24,0,0.38,0.62,0,0.009,0.059,0.349,0.244,0.11,0.169,0.059,71,0,27,44,0,1514,14,90,529,369,166,256,90,984,47950,73039
Siloam Springs High School Conversion Charter,Siloam Springs,BENTON,36.1909275,-94.5138466,21101,211.01,21101BENTON,9-12,22%,42%,33%,25%,15%,"1,449",49%,49%,36%,1%,13%,51%,1,373,301,81%,18.1,17.3,18.6,19.2,0,BENTON,406703,406000,0.288,0.712,0.468,0,0.057,0.045,0.011,0,0.132,5381,1548,3833,2517,0,309,242,57,0,708,0.173,0.464,0.319,0.044,0.104,0.075,0.306,0.191,0.067,0.199,0.058,502,87,233,160,22,3515,367,262,1076,670,237,698,205,1837,69807,83024
Sloan-Hendrix High School,Sloan-Hendrix,LAWRENCE,36.2014797,-91.1869122,470200,4702.00,470200LAWRENCE,7-12,15%,54%,33%,26%,5%,353,67%,96%,2%,1%,2%,4%,2,54,39,72%,17.7,18.5,20.5,20.1,0,LAWRENCE,3806019,3806000,0.017,0.983,0.935,0.002,0,0.001,0,0,0.045,4357,74,4283,4072,8,0,6,0,0,197,0.063,0.652,0.247,0.038,0.027,0.101,0.424,0.225,0.102,0.09,0.032,365,23,238,90,14,2801,76,282,1188,629,285,252,89,1559,48778,68718
South Side High School,South Side,VAN BUREN,35.4286139,-92.3885454,460400,4604.00,460400VAN,7-12,14%,27%,27%,11%,11%,247,47%,92%,3%,1%,4%,8%,1,40,37,93%,16.4,15.6,18.8,16.8,0,VAN BUREN,7105019,7105000,0.001,0.999,0.882,0.012,0.028,0,0,0,0.077,3594,4,3590,3169,43,102,0,0,0,276,0.144,0.32,0.511,0.025,0.028,0.08,0.566,0.167,0.045,0.06,0.053,278,40,89,142,7,2779,78,222,1574,465,126,168,146,1599,54013,63932
Southside Charter High School,Southside,INDEPENDENCE,35.7004824,-91.62609,490702,4907.02,490702INDEPENDENCE,10-12,19%,44%,25%,20%,6%,444,50%,88%,9%,1%,2%,12%,2,168,129,77%,18.4,18,18.2,19.1,0,INDEPENDENCE,3209703,3209000,0.066,0.934,0.825,0,0,0,0.06,0,0.049,3563,234,3329,2941,0,0,0,214,0,174,0.164,0.288,0.548,0,0.035,0.099,0.393,0.235,0.078,0.134,0.025,511,84,147,280,0,2065,73,205,811,486,162,276,52,1194,48347,78638
Southside High School,Fort Smith,SEBASTIAN,35.3487722,-94.3875396,1102,11.02,1102SEBASTIAN,9-12,29%,59%,40%,30%,19%,"1,970",47%,55%,21%,6%,18%,45%,1,471,429,91%,18.8,19.7,19.8,19.8,0,SEBASTIAN,6601025,6601000,0.139,0.861,0.549,0.178,0.006,0.025,0,0,0.102,3493,485,3008,1918,622,21,89,0,0,358,0.245,0.449,0.255,0.051,0.035,0.031,0.244,0.312,0.096,0.177,0.105,432,106,194,110,22,2249,78,69,549,702,216,398,237,1457,62339,79714
Spring Hill High School,Spring Hill,HEMPSTEAD,33.5848428,-93.6512498,480400,4804.00,480400HEMPSTEAD,7-12,6%,36%,19%,11%,4%,286,55%,87%,7%,0%,6%,13%,4,54,53,98%,16.4,16.8,17.4,16.8,0,HEMPSTEAD,2906026,2906000,0.188,0.812,0.716,0.035,0.006,0.016,0,0.005,0.033,3562,671,2891,2550,125,22,57,0,19,118,0.229,0.329,0.313,0.129,0.115,0.07,0.299,0.272,0.09,0.108,0.046,240,55,79,75,31,2410,277,169,721,656,216,261,110,1352,61111,68291
Springdale High School,Springdale,WASHINGTON,36.1850807,-94.1421577,10402,104.02,10402WASHINGTON,10-12,17%,37%,25%,18%,12%,"2,195",85%,15%,58%,3%,24%,85%,1,800,320,40%,17.3,16.3,17.2,17.8,0,WASHINGTON,7207049,7207000,0.401,0.599,0.382,0,0.012,0,0.09,0.029,0.086,5652,2266,3386,2159,0,67,0,511,164,485,0.129,0.397,0.454,0.021,0.188,0.102,0.283,0.233,0.031,0.136,0.027,776,100,308,352,16,3223,606,328,913,751,99,438,88,1681,63537,72875
St. Paul High School,Huntsville,MADISON,34.7295497,-86.5853155,3100,31.00,3100MADISON,7-12,18%,36%,27%,18%,9%,107,75%,84%,6%,1%,9%,16%,1,12,11,92%,16.9,16.3,17.5,18.7,0,MADISON,4401012,4401000,Error With ID: 3100MADISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Star City High School,Star City,LINCOLN,33.942278,-91.8400634,960500,9605.00,960500LINCOLN,9-12,10%,22%,21%,15%,5%,416,74%,67%,10%,17%,5%,33%,5,99,95,96%,16,14.5,17.1,17.2,0,LINCOLN,4003016,4003000,0.041,0.959,0.729,0.194,0.005,0,0,0,0.032,2219,90,2129,1617,431,10,0,0,0,71,0.103,0.418,0.17,0.309,0.063,0.067,0.425,0.245,0.055,0.109,0.035,165,17,69,28,51,1498,95,101,637,367,82,164,52,793,53818,67771
Strong-Huttig Schools,Strong-Huttig,UNION,33.1019992,-92.341887,950100,9501.00,950100UNION,K-12,RV,10%,3%,3%,RV,309,94%,18%,1%,79%,2%,82%,4,31,30,97%,14.2,12.3,13.3,14,0,UNION,7009050,7009000,0.019,0.981,0.474,0.494,0,0.001,0,0.002,0.009,2853,54,2799,1353,1408,0,4,0,7,27,0.07,0.845,0.085,0,0.014,0.082,0.476,0.277,0.041,0.072,0.038,71,5,60,6,0,2174,31,179,1035,602,89,156,82,1398,36110,65928
Stuttgart High School,Stuttgart,ARKANSAS,34.4787942,-91.5575788,480500,4805.00,480500ARKANSAS,9-12,11%,28%,19%,15%,10%,501,40%,46%,10%,41%,3%,54%,5,106,100,94%,16.7,15.2,17.1,17.1,0,ARKANSAS,104025,104000,0.004,0.996,0.648,0.344,0,0,0,0,0.004,3623,16,3607,2346,1247,0,0,0,0,14,0.211,0.369,0.333,0.087,0.036,0.069,0.414,0.186,0.126,0.124,0.045,426,90,157,142,37,2494,91,172,1033,463,314,310,111,1399,71691,70233
