Unnamed: 0,School Name,Grades,District Name,Math: % Met Readiness Benchmark,English: % Met Readiness Benchmark,Reading: % Met Readiness Benchmark,Science: % Met Readiness Benchmark,% Met Readiness Benchmark in all Four Subjects,School Enrollment,School % FRL,School % White,School % Hispanic,School % Black,School % Other Races,School Overall % Minority,Region,Number of Students in Grade 11, Number of Students in grade 11 that took the ACT, % Students in grade 11 that took the ACT in 2015-16,Average ACT Math Score,Average ACT English Score,Average ACT Reading Score,Average ACT Science Score,Is Open Enrollment Charter,County,School LEA,DLEA,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),Math Scores,RW Scores
179,Maumelle Charter High School,12-Aug,Academics Plus Public Charter Schools,0.383,0.753,0.568,0.42,0.247,506,0.1818,0.7352,0.0474,0.1304,0.09,0.26,3,87,81,0.931034483,19.9,21.7,22,21.4,1,PULASKI,6040703,6040700,Arkansas,34.862572,-92.4044777,600 Edgewood Drive,72113,Pulaski County,Maumelle,5119,"600 Edgewood Drive, Maumelle, Arkansas, 72113",4306,5119004306,2023,4306,Pulaski County,Arkansas,354,15,89,83,167,4310,40,80,569,908,717,1131,865,4.2,25.1,23.4,47.2,0.9,1.9,13.2,21.1,16.6,26.2,20.1,2688,73812,108771,6508,221,3.4,6287,96.6,4038,62,1794,27.6,30,0.5,131,2,0,0,8,0.1,286,4.4,19.9,22
180,Maumelle High School,12-Sep,Pulaski County Special School District,0.1,0.368,0.226,0.168,0.084,844,0.4147,0.3424,0.0735,0.5083,0.08,0.66,3,208,190,0.913461538,16.2,16,17.7,18,0,PULASKI,6003151,6003000,Arkansas,34.8627538,-92.384935,100 Victory Lane,72113,Pulaski County,Maumelle,5119,"100 Victory Lane, Maumelle, Arkansas, 72113",4309,5119004309,2023,4309,Pulaski County,Arkansas,224,22,196,6,0,2367,33,70,266,420,75,746,757,9.8,87.5,2.7,0,1.4,3,11.2,17.7,3.2,31.5,32,1531,88429,91045,3389,74,2.2,3315,97.8,2533,74.7,647,19.1,0,0,114,3.4,0,0,0,0,21,0.6,16.2,17.7
181,Mayflower High School,12-Sep,Mayflower School District,0.041,0.311,0.216,0.122,0.041,345,0.5594,0.7565,0.0377,0.1072,0.1,0.24,3,95,74,0.778947368,15.7,15,17.4,16.9,0,FAULKNER,2305026,2305000,Arkansas,34.9572533,-92.4444232,10 Leslie King N,72106,Faulkner County,Mayflower,5045,"10 Leslie King N, Mayflower, Arkansas, 72106",31102,5045031102,2023,31102,Faulkner County,Arkansas,359,28,126,135,70,3629,416,102,1279,751,148,637,296,7.8,35.1,37.6,19.5,11.5,2.8,35.2,20.7,4.1,17.6,8.2,1783,61932,77761,5108,14,0.3,5094,99.7,3989,78.1,948,18.6,10,0.2,24,0.5,0,0,0,0,123,2.4,15.7,17.4
182,Maynard High School,12-Jul,Maynard School District,0.036,0.321,0.179,0.143,0.036,251,0.6972,0.9323,0.0518,0,0.02,0.07,2,33,28,0.848484848,15.9,14.7,16.7,17.7,0,RANDOLPH,6102006,6102000,Arkansas,36.4179869,-90.899011,74 Campus Drive,72444,Randolph County,Maynard,5121,"74 Campus Drive, Maynard, Arkansas, 72444",960100,5121960100,2023,960100,Randolph County,Arkansas,279,57,117,57,48,3027,197,295,1151,652,378,274,80,20.4,41.9,20.4,17.2,6.5,9.7,38,21.5,12.5,9.1,2.6,1622,46635,58912,4300,212,4.9,4088,95.1,3928,91.3,2,0,13,0.3,1,0,6,0.1,20,0.5,118,2.7,15.9,16.7
184,McGehee High School,12-Sep,McGehee School District,0.045,0.239,0.149,0.09,0.03,324,0.6883,0.4198,0.0772,0.466,0.04,0.58,5,84,67,0.797619048,16.1,14.6,16.1,16.2,0,DESHA,2105028,2105000,Arkansas,33.6455327,-91.3840798,1902 East Ash Street,71654,Desha County,McGehee,5041,"1902 East Ash Street, McGehee, Arkansas, 71654",950500,5041950500,2023,950500,Desha County,Arkansas,67,0,29,21,17,1070,33,106,411,176,69,156,119,0,43.3,31.3,25.4,3.1,9.9,38.4,16.4,6.4,14.6,11.1,620,44679,69033,1574,25,1.6,1549,98.4,930,59.1,531,33.7,0,0,0,0,0,0,4,0.3,84,5.3,16.1,16.1
185,Melbourne High School,12-Jul,Melbourne School District,0.391,0.781,0.594,0.5,0.281,370,0.5108,0.9649,0.0162,0.0027,0.02,0.04,2,70,64,0.914285714,19.8,22,22.2,22.3,0,IZARD,3302006,3302000,Arkansas,36.0700762,-91.8343653,310 Bearkat Drive,72556,Izard County,Melbourne,5065,"310 Bearkat Drive, Melbourne, Arkansas, 72556",960200,5065960200,2023,960200,Izard County,Arkansas,420,66,179,161,14,3218,171,225,1002,734,377,547,162,15.7,42.6,38.3,3.3,5.3,7,31.1,22.8,11.7,17,5,1702,41316,64838,4877,32,0.7,4845,99.3,4555,93.4,10,0.2,78,1.6,51,1,0,0,0,0,151,3.1,19.8,22.2
186,Mena High School,12-Sep,Mena School District,0.205,0.384,0.295,0.188,0.134,493,0.5619,0.8499,0.069,0.0081,0.07,0.15,4,126,112,0.888888889,18.2,16.8,18.1,18.8,0,POLK,5703012,5703000,Arkansas,34.5800952,-94.2180163,1200 Dallas Avenue,71953,Polk County,Mena,5113,"1200 Dallas Avenue, Mena, Arkansas, 71953",950400,5113950400,2023,950400,Polk County,Arkansas,430,187,93,150,0,2069,61,92,892,412,61,346,205,43.5,21.6,34.9,0,2.9,4.4,43.1,19.9,2.9,16.7,9.9,1121,45764,65795,3075,81,2.6,2994,97.4,2773,90.2,10,0.3,82,2.7,0,0,0,0,0,0,129,4.2,18.2,18.1
187,Midland High School,12-Jul,Midland School District,0.029,0.229,0.2,0.171,0.029,240,0.5958,0.9417,0.0333,0.0125,0.01,0.06,2,39,35,0.897435897,15.6,14.2,16.6,17.2,0,INDEPENDENCE,3211035,3211000,Arkansas,35.5472344,-91.6249662,741 Main Street,72568,Independence County,Pleasant Plains,5063,"741 Main Street, Pleasant Plains, Arkansas, 72568",490800,5063490800,2023,490800,Independence County,Arkansas,383,5,37,323,18,3392,22,158,1582,838,354,268,170,1.3,9.7,84.3,4.7,0.6,4.7,46.6,24.7,10.4,7.9,5,1865,60440,75064,5133,91,1.8,5042,98.2,4770,92.9,7,0.1,0,0,0,0,0,0,0,0,265,5.2,15.6,16.6
188,Mills University Studies High School,12-Sep,Pulaski County Special School District,0.05,0.242,0.2,0.125,0.05,671,0.5827,0.1371,0.2161,0.5976,0.05,0.86,3,141,120,0.85106383,15.2,14.5,16.2,16.9,0,PULASKI,6003125,6003000,Arkansas,34.6738395,-92.2573013,708 East Dixon Road,72206,Pulaski County,Little Rock,5119,"708 East Dixon Road, Little Rock, Arkansas, 72206",4001,5119004001,2023,4001,Pulaski County,Arkansas,417,96,81,240,0,1626,99,99,635,315,174,244,60,23,19.4,57.6,0,6.1,6.1,39.1,19.4,10.7,15,3.7,799,69403,68259,2959,0,0,2959,100,507,17.1,2441,82.5,2,0.1,0,0,0,0,0,0,9,0.3,15.2,16.2
189,Mineral Springs High School,12-Jul,Mineral Springs School District,RV,0.129,0.065,0.032,RV,195,0.8718,0.1333,0.1179,0.7282,0.02,0.87,4,36,31,0.861111111,14.6,13.6,15,15.5,0,HOWARD,3104006,3104000,Arkansas,33.8782324,-93.9179431,130 West Browning Street,71851,Howard County,Mineral Springs,5061,"130 West Browning Street, Mineral Springs, Arkansas, 71851",950200,5061950200,2023,950200,Howard County,Arkansas,318,31,180,75,32,3111,102,188,1381,645,390,353,52,9.7,56.6,23.6,10.1,3.3,6,44.4,20.7,12.5,11.3,1.7,1765,61250,72097,4709,637,13.5,4072,86.5,2266,48.1,1625,34.5,5,0.1,3,0.1,0,0,0,0,173,3.7,14.6,15
190,Monticello High School,12-Sep,Monticello School District,0.096,0.296,0.226,0.13,0.035,506,0.4862,0.5494,0.0455,0.3854,0.02,0.45,5,130,115,0.884615385,16.5,15.3,17.3,17.7,0,DREW,2203012,2203000,Arkansas,33.6116737,-91.8117934,390 Clyde Ross Drive,71655,Drew County,Monticello,5043,"390 Clyde Ross Drive, Monticello, Arkansas, 71655",490300,5043490300,2023,490300,Drew County,Arkansas,1380,139,224,848,169,3287,45,212,1207,421,191,753,458,10.1,16.2,61.4,12.2,1.4,6.4,36.7,12.8,5.8,22.9,13.9,2237,29756,63607,5632,39,0.7,5593,99.3,4037,71.7,1365,24.2,0,0,121,2.1,0,0,0,0,70,1.2,16.5,17.3
191,Morrilton Sr. High School,12-Sep,South Conway County School District,0.208,0.577,0.331,0.231,0.115,719,0.6787,0.662,0.1029,0.1878,0.05,0.34,1,163,130,0.797546012,17.9,18.6,18.8,19.2,0,CONWAY,1507036,1507000,Arkansas,35.1400607,-92.7381672,,N/A,Conway County,N/A,5029,,950400,5029950400,2023,950400,Conway County,Arkansas,255,26,113,116,0,1688,27,53,757,316,208,261,66,10.2,44.3,45.5,0,1.6,3.1,44.8,18.7,12.3,15.5,3.9,970,48929,69852,2767,291,10.5,2476,89.5,1892,68.4,474,17.1,5,0.2,30,1.1,0,0,0,0,75,2.7,17.9,18.8
192,Mount Ida High School,12-Jul,Mount Ida School District,0.212,0.515,0.273,0.121,0.091,203,0.6158,0.8719,0.0542,0.0049,0.07,0.13,4,45,33,0.733333333,17.6,17.1,19.2,18.5,0,MONTGOMERY,4902007,4902000,Arkansas,34.5565539,-93.6377032,338 Whittington Street,71957,Montgomery County,Mount Ida,5097,"338 Whittington Street, Mount Ida, Arkansas, 71957",953000,5097953000,2023,953000,Montgomery County,Arkansas,149,0,65,84,0,2535,170,195,820,808,144,326,72,0,43.6,56.4,0,6.7,7.7,32.3,31.9,5.7,12.9,2.8,1500,47531,69990,3180,37,1.2,3143,98.8,2977,93.6,32,1,67,2.1,0,0,0,0,0,0,67,2.1,17.6,19.2
193,Mountain Home Career Academies,12-Aug,Mountain Home School District,0.243,0.586,0.377,0.343,0.155,1517,0.3823,0.9051,0.0402,0.0046,0.05,0.09,1,300,239,0.796666667,18.6,19,20.1,20.4,0,BAXTER,303703,303000,Arkansas,36.3315465,-92.3969759,500 Bomber Boulevard,72653,Baxter County,Mountain Home,5005,"500 Bomber Boulevard, Mountain Home, Arkansas, 72653",950400,5005950400,2023,950400,Baxter County,Arkansas,413,89,106,218,0,2380,56,122,842,409,401,375,175,21.5,25.7,52.8,0,2.4,5.1,35.4,17.2,16.8,15.8,7.4,1491,44492,88179,3345,55,1.6,3290,98.4,3043,91,61,1.8,24,0.7,15,0.4,13,0.4,0,0,134,4,18.6,20.1
194,Mountain Pine High School,12-Jul,Mountain Pine School District,0.023,0.326,0.233,0.163,RV,294,0.7959,0.7891,0.051,0.085,0.07,0.21,3,53,43,0.811320755,15.5,15.4,16.8,17.7,0,GARLAND,2607047,2607000,Arkansas,34.5761762,-93.1786983,734 Blakely Dam Road,71956,Garland County,Mountain Pine,5051,"734 Blakely Dam Road, Mountain Pine, Arkansas, 71956",10301,5051010301,2023,10301,Garland County,Arkansas,220,53,67,85,15,2874,32,322,1434,553,283,197,53,24.1,30.5,38.6,6.8,1.1,11.2,49.9,19.2,9.8,6.9,1.8,1733,53497,60112,3604,434,12,3170,88,2843,78.9,190,5.3,0,0,0,0,53,1.5,0,0,84,2.3,15.5,16.8
195,Mountain View High School,12-Sep,Mountain View School District,0.097,0.452,0.323,0.145,0.081,329,0.6261,0.9422,0.0243,0.003,0.03,0.06,2,73,62,0.849315068,16.2,17.5,19.1,18,0,STONE,6901007,6901000,Arkansas,35.8602104,-92.084938,210 High School Drive,72560,Stone County,Mountain View,5137,"210 High School Drive, Mountain View, Arkansas, 72560",950204,5137950204,2023,950204,Stone County,Arkansas,142,42,83,9,8,3113,18,333,1247,641,429,228,217,29.6,58.5,6.3,5.6,0.6,10.7,40.1,20.6,13.8,7.3,7,1783,35893,46455,3713,19,0.5,3694,99.5,3519,94.8,13,0.4,27,0.7,0,0,0,0,0,0,135,3.6,16.2,19.1
196,Mountainburg High School,12-Sep,Mountainburg School District,0.053,0.395,0.263,0.158,0.026,185,0.6811,0.9081,0.0378,0.0054,0.05,0.09,1,43,38,0.88372093,15.7,16.1,18.9,17.4,0,CRAWFORD,1703013,1703000,Arkansas,35.630561,-94.1717322,129 Highway 71 Southeast,72946,Crawford County,Mountainburg,5033,"129 Highway 71 Southeast, Mountainburg, Arkansas, 72946",20101,5033020101,2023,20101,Crawford County,Arkansas,140,51,70,19,0,2043,68,163,658,547,199,331,77,36.4,50,13.6,0,3.3,8,32.2,26.8,9.7,16.2,3.8,1115,66161,76441,2927,16,0.5,2911,99.5,2286,78.1,0,0,32,1.1,0,0,0,0,0,0,593,20.3,15.7,18.9
197,Mt. Judea K-12 School,K-12,Deer/Mt. Judea School District,RV,0.154,0.077,RV,RV,166,0.7892,0.9217,0.0422,0,0.04,0.08,1,15,13,0.866666667,14.2,13.6,14.2,16.5,0,NEWTON,5106004,5106000,Arkansas,35.8987234,-93.0375914,,N/A,Newton County,N/A,5101,,180200,5101180200,2023,180200,Newton County,Arkansas,250,0,91,152,7,2680,124,255,1248,553,200,234,66,0,36.4,60.8,2.8,4.6,9.5,46.6,20.6,7.5,8.7,2.5,1552,46270,66989,3488,85,2.4,3403,97.6,3189,91.4,0,0,63,1.8,0,0,0,0,0,0,151,4.3,14.2,14.2
198,Mt. Vernon/Enola High School,12-Jul,Mt. Vernon/Enola School District,0.258,0.581,0.452,0.355,0.226,250,0.704,0.952,0.012,0.028,0.01,0.05,3,35,31,0.885714286,19.5,18.8,19.7,19.9,0,FAULKNER,2306030,2306000,Arkansas,35.2262159,-92.1315399,38 Garland Springs Road,72111,Faulkner County,Mount Vernon,5045,"38 Garland Springs Road, Mount Vernon, Arkansas, 72111",30202,5045030202,2023,30202,Faulkner County,Arkansas,181,44,66,71,0,1785,145,219,579,329,145,217,151,24.3,36.5,39.2,0,8.1,12.3,32.4,18.4,8.1,12.2,8.5,1109,58506,72666,2548,39,1.5,2509,98.5,2435,95.6,0,0,17,0.7,0,0,0,0,1,0,56,2.2,19.5,19.7
199,Mulberry High School,12-Sep,Mulberry/Pleasant View Bi-County Schools,0.231,0.462,0.385,0.231,0.154,117,0.5641,0.9231,0.0256,0,0.05,0.08,1,24,13,0.541666667,17.4,17.9,17.6,17.8,0,CRAWFORD,1704017,1704000,Arkansas,35.500534,-94.0549468,203 West 5th Street,72947,Crawford County,Mulberry,5033,"203 West 5th Street, Mulberry, Arkansas, 72947",20402,5033020402,2023,20402,Crawford County,Arkansas,450,54,244,146,6,2935,76,397,1100,644,258,348,112,12,54.2,32.4,1.3,2.6,13.5,37.5,21.9,8.8,11.9,3.8,1707,60509,75068,4182,114,2.7,4068,97.3,3684,88.1,37,0.9,89,2.1,2,0,0,0,0,0,256,6.1,17.4,17.6
200,Murfreesboro High School,12-Jul,South Pike County School District,0.043,0.435,0.196,0.109,0.043,323,0.709,0.808,0.0743,0.0588,0.06,0.19,4,52,46,0.884615385,15.8,16.4,17.3,18.3,0,PIKE,5504015,5504000,Arkansas,34.0582807,-93.6875104,605 3rd Avenue,71958,Pike County,Murfreesboro,5109,"605 3rd Avenue, Murfreesboro, Arkansas, 71958",953500,5109953500,2023,953500,Pike County,Arkansas,222,2,96,89,35,3101,120,176,1221,834,176,460,114,0.9,43.2,40.1,15.8,3.9,5.7,39.4,26.9,5.7,14.8,3.7,1860,50756,59212,4281,147,3.4,4134,96.6,3559,83.1,319,7.5,1,0,0,0,0,0,5,0.1,250,5.8,15.8,17.3
201,Nashville High School,12-Oct,Nashville School District,0.128,0.396,0.221,0.168,0.067,480,0.7063,0.5167,0.275,0.1833,0.03,0.48,4,162,149,0.919753086,16.6,16.7,17.2,17.9,0,HOWARD,3105011,3105000,Arkansas,33.9562806,-93.8517684,1301 Mount Pleasant Drive,71852,Howard County,Nashville,5061,"1301 Mount Pleasant Drive, Nashville, Arkansas, 71852",950200,5061950200,2023,950200,Howard County,Arkansas,318,31,180,75,32,3111,102,188,1381,645,390,353,52,9.7,56.6,23.6,10.1,3.3,6,44.4,20.7,12.5,11.3,1.7,1765,61250,72097,4709,637,13.5,4072,86.5,2266,48.1,1625,34.5,5,0.1,3,0.1,0,0,0,0,173,3.7,16.6,17.2
202,Nemo Vista High School,12-Sep,Nemo Vista School District,0.267,0.7,0.5,0.2,0.133,129,0.4884,0.876,0.0388,0,0.09,0.12,1,30,30,1,18.6,19.1,19.9,19.4,0,CONWAY,1503017,1503000,Arkansas,35.3695343,-92.5621316,5690 Arkansas 9,72027,Conway County,Center Ridge,5029,"5690 Arkansas 9, Center Ridge, Arkansas, 72027",950100,5029950100,2023,950100,Conway County,Arkansas,193,20,80,43,50,3540,115,183,1588,511,475,465,203,10.4,41.5,22.3,25.9,3.2,5.2,44.9,14.4,13.4,13.1,5.7,1944,64362,76469,4653,9,0.2,4644,99.8,4023,86.5,358,7.7,6,0.1,0,0,0,0,67,1.4,190,4.1,18.6,19.9
203,Nettleton High School,12-Sep,Nettleton School District,0.07,0.362,0.191,0.146,0.045,1041,0.5524,0.2824,0.1066,0.5322,0.08,0.72,2,246,199,0.808943089,16.3,15.9,17,17.1,0,CRAIGHEAD,1611042,1611000,Arkansas,35.8123011,-90.648507,4201 Chieftan Lane,72401,Craighead County,Jonesboro,5031,"4201 Chieftan Lane, Jonesboro, Arkansas, 72401",401,5031000401,2023,401,Craighead County,Arkansas,325,20,263,27,15,4032,173,354,1624,620,339,530,392,6.2,80.9,8.3,4.6,4.3,8.8,40.3,15.4,8.4,13.1,9.7,2433,63894,66413,6389,1250,19.6,5139,80.4,3508,54.9,1283,20.1,0,0,74,1.2,0,0,0,0,274,4.3,16.3,17
204,Nevada High  School,12-Jul,Nevada School District,0.125,0.25,0.167,0.042,0.042,206,0.7476,0.5874,0.034,0.3398,0.04,0.41,4,28,24,0.857142857,15.7,15,15.9,16.8,0,NEVADA,5008014,5008000,Arkansas,33.6185131,-93.2986106,,N/A,Nevada County,N/A,5099,,90100,5099090100,2023,90100,Nevada County,Arkansas,175,9,80,82,4,1757,113,96,974,329,96,93,56,5.1,45.7,46.9,2.3,6.4,5.5,55.4,18.7,5.5,5.3,3.2,985,57148,65829,2276,18,0.8,2258,99.2,1378,60.5,805,35.4,2,0.1,0,0,0,0,10,0.4,63,2.8,15.7,15.9
205,Newport High School,12-Jun,Newport School District,0.063,0.313,0.188,0.109,0.031,564,0.7571,0.4823,0.0851,0.3511,0.08,0.52,2,84,64,0.761904762,15.9,15.6,18,17.6,0,JACKSON,3403013,3403000,Arkansas,35.6010273,-91.2729184,406 Wilkerson Drive,72112,Jackson County,Newport,5067,"406 Wilkerson Drive, Newport, Arkansas, 72112",480200,5067480200,2023,480200,Jackson County,Arkansas,346,99,176,27,44,2199,49,377,952,300,190,164,167,28.6,50.9,7.8,12.7,2.2,17.1,43.3,13.6,8.6,7.5,7.6,1284,42162,60291,3392,32,0.9,3360,99.1,2212,65.2,910,26.8,0,0,2,0.1,0,0,0,0,236,7,15.9,18
206,Norfork High School,12-Jul,Norfork School District,0.182,0.333,0.333,0.182,0.121,203,0.5911,0.9803,0.0099,0.0049,0,0.02,1,40,33,0.825,17.1,16,18.8,18,0,BAXTER,304022,304000,Arkansas,36.1955167,-92.269522,136 Mildred Simpson Drive,72658,Baxter County,Norfork,5005,"136 Mildred Simpson Drive, Norfork, Arkansas, 72658",950500,5005950500,2023,950500,Baxter County,Arkansas,293,12,156,121,4,3821,65,378,1344,841,383,562,248,4.1,53.2,41.3,1.4,1.7,9.9,35.2,22,10,14.7,6.5,2146,48404,64722,5294,182,3.4,5112,96.6,4919,92.9,70,1.3,10,0.2,3,0.1,0,0,0,0,110,2.1,17.1,18.8
207,North Little Rock Center Of Excellence,12-Sep,North Little Rock School District,0.119,0.373,0.239,0.149,0.09,465,0.7398,0.2473,0.157,0.5462,0.05,0.75,3,83,67,0.807228916,16.5,16,17.3,18.2,0,PULASKI,6002703,6002000,Arkansas,34.7864492,-92.2531929,,N/A,Pulaski County,N/A,5119,,3308,5119003308,2023,3308,Pulaski County,Arkansas,195,13,155,0,27,3184,0,112,583,715,215,821,738,6.7,79.5,0,13.8,0,3.5,18.3,22.5,6.8,25.8,23.2,1975,84922,107276,4044,42,1,4002,99,3520,87,331,8.2,0,0,30,0.7,0,0,44,1.1,77,1.9,16.5,17.3
208,North Little Rock High School,12-Sep,North Little Rock School District,0.204,0.426,0.313,0.213,0.149,1680,0.7024,0.2387,0.1339,0.5732,0.05,0.76,3,458,329,0.718340611,17.6,17.1,18.6,18.7,0,PULASKI,6002082,6002000,Arkansas,34.7765663,-92.2690704,201 West 22nd Street,72114,Pulaski County,North Little Rock,5119,"201 West 22nd Street, North Little Rock, Arkansas, 72114",2900,5119002900,2023,2900,Pulaski County,Arkansas,182,84,98,0,0,715,15,101,238,228,29,80,24,46.2,53.8,0,0,2.1,14.1,33.3,31.9,4.1,11.2,3.4,567,32745,35716,1241,179,14.4,1062,85.6,84,6.8,957,77.1,0,0,0,0,0,0,0,0,21,1.7,17.6,18.6
209,Northside High School,12-Sep,Fort Smith School District,0.168,0.394,0.255,0.178,0.082,2253,0.7528,0.2099,0.5331,0.1389,0.12,0.79,1,580,404,0.696551724,17,16.3,17.6,18.1,0,SEBASTIAN,6601024,6601000,Arkansas,35.3783893,-94.4056193,North 25th Street,72901,Sebastian County,Fort Smith,5131,"North 25th Street, Fort Smith, Arkansas, 72901",800,5131000800,2023,800,Sebastian County,Arkansas,617,89,190,313,25,2599,64,384,769,756,129,272,225,14.4,30.8,50.7,4.1,2.5,14.8,29.6,29.1,5,10.5,8.7,1862,34333,55139,4201,941,22.4,3260,77.6,2398,57.1,378,9,13,0.3,62,1.5,0,0,0,0,409,9.7,17,17.6
210,Northwest Arkansas Classical Academy High,12-Jul,Responsive Ed Solutions Northwest Ark Classical Academy,0.343,0.686,0.486,0.371,0.171,238,0.0798,0.7605,0.1218,0.0294,0.09,0.24,1,35,35,1,20,20.5,21.5,20.8,1,BENTON,442703,442700,Arkansas,36.0148605,-94.2333355,,N/A,Washington County,N/A,5143,,11006,5143011006,2023,11006,Washington County,Arkansas,353,67,162,99,25,4243,45,128,1268,954,315,950,583,19,45.9,28,7.1,1.1,3,29.9,22.5,7.4,22.4,13.7,2356,81932,95377,6304,69,1.1,6235,98.9,5316,84.3,256,4.1,36,0.6,63,1,0,0,42,0.7,522,8.3,20,21.5
211,Oark High School,12-Jul,Jasper School District,RV,0.083,0.25,0.083,RV,70,0.7857,0.9429,0.0429,0.0143,0,0.06,1,17,12,0.705882353,15.2,13.3,17,16,0,NEWTON,5102024,5102000,Arkansas,35.6886138,-93.5770339,338 Arkansas 215,72952,Johnson County,Oark,5071,"338 Arkansas 215, Oark, Arkansas, 72952",951700,5071951700,2023,951700,Johnson County,Arkansas,322,60,122,118,22,3471,67,296,1454,739,167,562,186,18.6,37.9,36.6,6.8,1.9,8.5,41.9,21.3,4.8,16.2,5.4,2012,56210,64653,4714,146,3.1,4568,96.9,4302,91.3,13,0.3,35,0.7,0,0,0,0,0,0,218,4.6,15.2,17
212,Oden Schools,P-12,Ouachita River School District,0.231,0.385,0.308,0.231,0.154,148,0.7297,0.8243,0.0608,0,0.11,0.18,4,15,13,0.866666667,17.9,17.5,17.7,17.7,0,POLK,5706009,5706000,Arkansas,34.5803987,-93.8655303,,N/A,Montgomery County,N/A,5097,,953100,5097953100,2023,953100,Montgomery County,Arkansas,135,12,19,101,3,1445,82,104,520,240,203,197,99,8.9,14.1,74.8,2.2,5.7,7.2,36,16.6,14,13.6,6.9,857,43212,55153,1963,170,8.7,1793,91.3,1724,87.8,8,0.4,13,0.7,5,0.3,0,0,6,0.3,37,1.9,17.9,17.7
213,Omaha High School,12-Jul,Omaha School District,0.16,0.4,0.2,0.12,0.04,186,0.6613,0.9247,0.0323,0,0.04,0.08,1,31,25,0.806451613,16.8,16.9,17.4,18.2,0,BOONE,504023,504000,Arkansas,36.4484634,-93.1959457,522 College Road West,72662,Boone County,Omaha,5009,"522 College Road West, Omaha, Arkansas, 72662",790100,5009790100,2023,790100,Boone County,Arkansas,492,31,304,157,0,4279,157,231,1721,1202,264,342,362,6.3,61.8,31.9,0,3.7,5.4,40.2,28.1,6.2,8,8.5,2457,60838,74481,6432,101,1.6,6331,98.4,6079,94.5,20,0.3,28,0.4,0,0,0,0,0,0,204,3.2,16.8,17.4
214,Osceola High School,12-Sep,Osceola School District,RV,0.066,RV,RV,RV,261,0.8697,0.0613,0.0268,0.8697,0.04,0.94,2,69,61,0.884057971,14.9,12.6,15.2,15.1,0,MISSISSIPPI,4713051,4713000,Arkansas,35.20105,-91.8318334,,N/A,White County,N/A,5145,,71001,5145071001,2023,71001,White County,Arkansas,54,9,28,8,9,2464,74,139,1087,377,183,451,153,16.7,51.9,14.8,16.7,3,5.6,44.1,15.3,7.4,18.3,6.2,1352,58339,83939,3098,93,3,3005,97,2779,89.7,75,2.4,14,0.5,0,0,0,0,0,0,137,4.4,14.9,15.2
215,Ouachita High School,12-Jul,Ouachita School District,0.242,0.364,0.273,0.242,0.152,272,0.4853,0.9265,0.0257,0,0.05,0.07,3,45,33,0.733333333,17.5,16.1,17.5,18.8,0,HOT SPRING,3005030,3005000,Arkansas,34.2393626,-92.963071,258 Schoolhouse Road,71941,Hot Spring County,Donaldson,5059,"258 Schoolhouse Road, Donaldson, Arkansas, 71941",20600,5059020600,2023,20600,Hot Spring County,Arkansas,298,47,114,137,0,2834,25,135,1043,642,212,490,287,15.8,38.3,46,0,0.9,4.8,36.8,22.7,7.5,17.3,10.1,1458,57500,77205,3720,107,2.9,3613,97.1,3510,94.4,0,0,2,0.1,9,0.2,0,0,0,0,92,2.5,17.5,17.5
216,Ozark Jr/Sr High School,12-Aug,Ozark School District,0.085,0.453,0.33,0.198,0.057,675,0.4504,0.9037,0.04,0.0074,0.05,0.1,1,134,106,0.791044776,17,17.3,17.9,17.9,0,FRANKLIN,2404017,2404000,Arkansas,35.55037,-93.7841503,,N/A,Franklin County,N/A,5047,,950201,5047950201,2023,950201,Franklin County,Arkansas,214,52,139,21,2,2464,98,185,1128,617,164,141,131,24.3,65,9.8,0.9,4,7.5,45.8,25,6.7,5.7,5.3,1344,53278,60681,3423,54,1.6,3369,98.4,2865,83.7,12,0.4,1,0,0,0,0,0,0,0,491,14.3,17,17.9
