School Name,District Name,RW Scores,Math Scores,Tests Taken,# Students SAT ELA Participation,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
IJLA Charter High School,City of Chicago SD 299,413,391,40,40,Illinois,41.8456309,-87.6842073,2570 South Blue Island Avenue,60608,Cook County,Chicago,17031,"2570 South Blue Island Avenue, Chicago, Illinois, 60608",841300,17031841300,2019,841300,Cook County,Illinois,500,36,117,264,83,3027,436,295,615,528,141,654,358,7.2,23.4,52.8,16.6,14.4,9.7,20.3,17.4,4.7,21.6,11.8,1736,54152,80039,4299,3097,72,1202,28,800,18.6,126,2.9,0,0,125,2.9,0,0,0,0,151,3.5
Minooka Community High School,Minooka CHSD 111,511.9,500.6,684,684,Illinois,41.4496177,-88.2636079,301 South Wabena Avenue,60447,Grundy County,Minooka,17063,"301 South Wabena Avenue, Minooka, Illinois, 60447",102,17063000102,2019,102,Grundy County,Illinois,597,63,195,191,148,4629,46,157,1435,1290,304,911,486,10.6,32.7,32,24.8,1,3.4,31,27.9,6.6,19.7,10.5,2582,86429,94538,7294,1101,15.1,6193,84.9,5873,80.5,65,0.9,0,0,128,1.8,19,0.3,21,0.3,87,1.2
Vernon Hills High School,CHSD 128,575.9,599.4,339,339,Illinois,42.227246,-87.949483,145 Lakeview Parkway,60061,Lake County,Vernon Hills,17097,"145 Lakeview Parkway, Vernon Hills, Illinois, 60061",864513,17097864513,2019,864512,Lake County,Illinois,411,12,126,86,187,3843,74,54,355,481,257,1567,1055,2.9,30.7,20.9,45.5,1.9,1.4,9.2,12.5,6.7,40.8,27.5,2021,150134,150737,5911,205,3.5,5706,96.5,4329,73.2,156,2.6,0,0,1022,17.3,0,0,9,0.2,190,3.2
Geneva Community High School,Geneva CUSD 304,557.1,579.1,475,475,Illinois,41.8934107,-88.3175531,416 McKinley Avenue,60134,Kane County,Geneva,17089,"416 McKinley Avenue, Geneva, Illinois, 60134",852607,17089852607,2019,852607,Kane County,Illinois,128,0,0,73,55,2541,23,27,278,484,116,1054,559,0,0,57,43,0.9,1.1,10.9,19,4.6,41.5,22,1329,117891,143525,3435,141,4.1,3294,95.9,3179,92.5,0,0,0,0,18,0.5,0,0,0,0,97,2.8
Taft High School,City of Chicago SD 299,501.5,491,725,725,Illinois,41.984587,-87.7916778,6530 West Bryn Mawr Avenue,60631,Cook County,Chicago,17031,"6530 West Bryn Mawr Avenue, Chicago, Illinois, 60631",100300,17031100300,2019,100300,Cook County,Illinois,264,32,38,150,44,4985,92,185,1596,691,457,1081,883,12.1,14.4,56.8,16.7,1.8,3.7,32,13.9,9.2,21.7,17.7,2718,80339,108292,6343,516,8.1,5827,91.9,5365,84.6,35,0.6,17,0.3,203,3.2,0,0,87,1.4,120,1.9
Rock Island High School,Rock Island SD 41,448.6,435.7,372,372,Illinois,41.4865493,-90.578247,1400 25th Avenue,61201,Rock Island County,Rock Island,17161,"1400 25th Avenue, Rock Island, Illinois, 61201",23200,17161023200,2019,23200,Rock Island County,Illinois,514,28,329,114,43,3658,69,224,814,1156,330,595,470,5.4,64,22.2,8.4,1.9,6.1,22.3,31.6,9,16.3,12.8,2404,51875,68365,5070,657,13,4413,87,3694,72.9,529,10.4,0,0,94,1.9,6,0.1,8,0.2,82,1.6
Chester High School,Chester CUSD 139,471.2,455.6,86,86,Illinois,37.9200067,-89.8130879,1901 Swanwick Street,62233,Randolph County,Chester,17157,"1901 Swanwick Street, Chester, Illinois, 62233",951201,17157951201,2019,951201,Randolph County,Illinois,78,17,46,15,0,1652,22,62,907,428,100,91,42,21.8,59,19.2,0,1.3,3.8,54.9,25.9,6.1,5.5,2.5,860,49531,59854,2114,23,1.1,2091,98.9,2055,97.2,1,0,0,0,0,0,0,0,0,0,35,1.7
Marion High School,Marion CUSD 2,499.2,472.8,228,228,Illinois,37.7154515,-88.9431467,1700 Wildcat Road,62959,Williamson County,Marion,17199,"1700 Wildcat Road, Marion, Illinois, 62959",21200,17199021200,2019,21200,Williamson County,Illinois,249,15,88,131,15,3126,33,95,1133,816,357,455,237,6,35.3,52.6,6,1.1,3,36.2,26.1,11.4,14.6,7.6,1932,43869,61607,4480,102,2.3,4378,97.7,3764,84,351,7.8,0,0,22,0.5,0,0,0,0,241,5.4
Vandalia Community High School,Vandalia CUSD 203,457.5,456.8,92,92,Illinois,38.972798,-89.1006547,1109 North 8th Street,62471,Fayette County,Vandalia,17051,"1109 North 8th Street, Vandalia, Illinois, 62471",950800,17051950800,2019,950800,Fayette County,Illinois,552,176,157,195,24,3691,113,571,1374,751,476,264,142,31.9,28.4,35.3,4.3,3.1,15.5,37.2,20.3,12.9,7.2,3.8,1529,36997,52156,5006,329,6.6,4677,93.4,3729,74.5,886,17.7,22,0.4,0,0,13,0.3,0,0,27,0.5
YCCS Chtr - Chatham,City of Chicago SD 299,379,360.3,73,73,Illinois,41.8561467,-87.658113,,N/A,Cook County,Chicago,17031,,310600,17031310600,2019,310600,Cook County,Illinois,519,0,139,277,103,3541,365,275,700,290,88,1159,664,0,26.8,53.4,19.8,10.3,7.8,19.8,8.2,2.5,32.7,18.8,2116,66074,77026,4780,2605,54.5,2175,45.5,1653,34.6,211,4.4,0,0,311,6.5,0,0,0,0,0,0
Fieldcrest High School,Fieldcrest CUSD 6,498.4,495.4,70,70,Illinois,40.9021757,-89.0282705,1 Dornbush Drive,61760,Woodford County,Minonk,17203,"1 Dornbush Drive, Minonk, Illinois, 61760",30200,17203030200,2019,30200,Woodford County,Illinois,267,32,126,82,27,1892,18,84,761,488,218,239,84,12,47.2,30.7,10.1,1,4.4,40.2,25.8,11.5,12.6,4.4,1189,65257,76080,2923,4,0.1,2919,99.9,2891,98.9,16,0.5,0,0,6,0.2,0,0,0,0,6,0.2
Niles North High School,Niles Twp HSD 219,527.9,531.4,459,459,Illinois,42.0597222,-87.7541667,9800 Lawler Avenue,60077,Cook County,Skokie,17031,"9800 Lawler Avenue, Skokie, Illinois, 60077",806900,17031806900,2019,806900,Cook County,Illinois,368,8,137,199,24,3937,217,209,857,601,408,1184,461,2.2,37.2,54.1,6.5,5.5,5.3,21.8,15.3,10.4,30.1,11.7,2106,72337,109101,5325,631,11.8,4694,88.2,2286,42.9,286,5.4,0,0,1502,28.2,0,0,0,0,620,11.6
St Charles North High School,St Charles CUSD 303,548.4,569.4,485,485,Illinois,41.9487596,-88.3207785,255 Red Gate Road,60175,Kane County,St. Charles,17089,"255 Red Gate Road, St. Charles, Illinois, 60175",852103,17089852103,2019,852103,Kane County,Illinois,498,117,135,230,16,4150,0,33,493,754,254,1759,857,23.5,27.1,46.2,3.2,0,0.8,11.9,18.2,6.1,42.4,20.7,2221,146865,172509,6232,312,5,5920,95,5425,87.1,32,0.5,0,0,250,4,0,0,76,1.2,137,2.2
Clay City High School,Clay City CUSD 10,459.2,441.7,12,12,Illinois,38.6838586,-88.3514104,607 Walnut Street Southeast,62824,Clay County,Clay City,17025,"607 Walnut Street Southeast, Clay City, Illinois, 62824",972200,17025972200,2019,972200,Clay County,Illinois,165,3,124,38,0,2014,65,160,627,472,329,325,36,1.8,75.2,23,0,3.2,7.9,31.1,23.4,16.3,16.1,1.8,1287,58355,91125,3059,10,0.3,3049,99.7,2976,97.3,13,0.4,2,0.1,4,0.1,0,0,0,0,54,1.8
Prosser Career Academy HS,City of Chicago SD 299,476.1,477.6,310,310,Illinois,41.9194252,-87.7618878,2148 North Long Avenue,60639,Cook County,Chicago,17031,"2148 North Long Avenue, Chicago, Illinois, 60639",191200,17031191200,2019,191200,Cook County,Illinois,449,133,160,156,0,2296,714,317,650,361,123,72,59,29.6,35.6,34.7,0,31.1,13.8,28.3,15.7,5.4,3.1,2.6,1072,51125,56645,4038,3916,97,122,3,121,3,1,0,0,0,0,0,0,0,0,0,0,0
Flora High School,Flora CUSD 35,470.7,433,57,57,Illinois,38.663165,-88.482466,600 South Locust Street,62839,Clay County,Flora,17025,"600 South Locust Street, Flora, Illinois, 62839",972100,17025972100,2019,972100,Clay County,Illinois,500,77,94,312,17,3423,113,284,1459,633,348,236,350,15.4,18.8,62.4,3.4,3.3,8.3,42.6,18.5,10.2,6.9,10.2,2061,50685,64844,4890,3,0.1,4887,99.9,4547,93,17,0.3,15,0.3,36,0.7,0,0,0,0,272,5.6
Prairie Central High School,Prairie Central CUSD 8,501.1,493.9,135,135,Illinois,40.751677,-88.506211,411 North 7th Street,61739,Livingston County,Fairbury,17105,"411 North 7th Street, Fairbury, Illinois, 61739",960800,17105960800,2019,960800,Livingston County,Illinois,673,160,285,176,52,3645,151,85,1503,633,543,407,323,23.8,42.3,26.2,7.7,4.1,2.3,41.2,17.4,14.9,11.2,8.9,2299,69417,78697,5414,317,5.9,5097,94.1,4906,90.6,59,1.1,0,0,78,1.4,0,0,0,0,54,1
Oak Park & River Forest High Sch,Oak Park - River Forest SD 200,569.7,566.5,782,782,Illinois,41.8901719,-87.7887467,201 North Scoville Avenue,60302,Cook County,Oak Park,17031,"201 North Scoville Avenue, Oak Park, Illinois, 60302",812400,17031812400,2019,812400,Cook County,Illinois,91,0,0,44,47,2096,0,16,101,191,20,609,1159,0,0,48.4,51.6,0,0.8,4.8,9.1,1,29.1,55.3,1067,208438,256794,3151,101,3.2,3050,96.8,2504,79.5,142,4.5,0,0,132,4.2,16,0.5,0,0,256,8.1
Trico Senior High School,Trico CUSD 176,475,462.8,76,76,Illinois,37.9535529,-89.566118,16533 State Route 4,62916,Jackson County,Campbell Hill,17077,"16533 State Route 4, Campbell Hill, Illinois, 62916",10100,17077010100,2019,10100,Jackson County,Illinois,352,111,32,197,12,2053,90,109,796,592,194,154,118,31.5,9.1,56,3.4,4.4,5.3,38.8,28.8,9.4,7.5,5.7,1136,58571,91468,3230,18,0.6,3212,99.4,2988,92.5,2,0.1,28,0.9,117,3.6,0,0,0,0,77,2.4
Bluffs High School,Scott-Morgan CUSD 2,452.1,463.2,19,19,Illinois,39.7519902,-90.5351258,,62621,Scott County,Bluffs,17171,,970600,17171970600,2019,970600,Scott County,Illinois,128,16,60,39,13,1304,20,76,588,280,73,222,45,12.5,46.9,30.5,10.2,1.5,5.8,45.1,21.5,5.6,17,3.5,699,63958,73974,1794,39,2.2,1755,97.8,1679,93.6,0,0,0,0,22,1.2,30,1.7,0,0,24,1.3
CICS - Northtown  Campus,City of Chicago SD 299,447.7,462.4,218,218,Illinois,41.9909661,-87.7275189,3900 West Peterson Avenue,60659,Cook County,Chicago,17031,"3900 West Peterson Avenue, Chicago, Illinois, 60659",130100,17031130100,2019,130100,Cook County,Illinois,366,96,96,129,45,3628,209,258,695,491,186,1148,641,26.2,26.2,35.2,12.3,5.8,7.1,19.2,13.5,5.1,31.6,17.7,1797,49327,88353,5279,472,8.9,4807,91.1,3309,62.7,70,1.3,7,0.1,1330,25.2,0,0,0,0,91,1.7
Hononegah CHD High School,Hononegah CHD 207,544.7,539.3,450,450,Illinois,42.4298917,-89.1324866,,N/A,Winnebago County,N/A,17201,,3901,17201003901,2019,3901,Winnebago County,Illinois,394,46,203,112,33,3368,16,80,922,743,390,645,572,11.7,51.5,28.4,8.4,0.5,2.4,27.4,22.1,11.6,19.2,17,1801,105536,115747,5062,307,6.1,4755,93.9,4177,82.5,212,4.2,20,0.4,208,4.1,0,0,0,0,138,2.7
East Leyden High School,Leyden CHSD 212,484.2,483.3,450,450,Illinois,41.9418475,-87.8663751,3400 Rose Street,60131,Cook County,Franklin Park,17031,"3400 Rose Street, Franklin Park, Illinois, 60131",811500,17031811500,2019,811500,Cook County,Illinois,635,109,285,228,13,4190,578,191,1358,928,381,535,219,17.2,44.9,35.9,2,13.8,4.6,32.4,22.1,9.1,12.8,5.2,1933,79006,81763,6387,2623,41.1,3764,58.9,3601,56.4,0,0,0,0,78,1.2,0,0,0,0,85,1.3
Warren Jr/Sr High School,Warren CUSD 205,501.7,508.9,18,18,Illinois,42.494047,-89.990382,311 South Water Street,61087,Jo Daviess County,Warren,17085,"311 South Water Street, Warren, Illinois, 61087",20102,17085020102,2019,20102,Jo Daviess County,Illinois,181,21,64,95,1,1636,36,102,667,420,152,172,87,11.6,35.4,52.5,0.6,2.2,6.2,40.8,25.7,9.3,10.5,5.3,1037,53477,62699,2415,44,1.8,2371,98.2,2282,94.5,34,1.4,6,0.2,10,0.4,0,0,0,0,39,1.6
YCCS-Westside Holistic Ldr Acad HS,City of Chicago SD 299,374.3,366.3,49,49,Illinois,41.9019923,-87.7492467,4909 West Division Street,60651,Cook County,Chicago,17031,"4909 West Division Street, Chicago, Illinois, 60651",251100,17031251100,2019,251100,Cook County,Illinois,448,63,231,145,9,3081,490,457,1004,753,131,161,85,14.1,51.6,32.4,2,15.9,14.8,32.6,24.4,4.3,5.2,2.8,1626,22727,42823,4763,700,14.7,4063,85.3,74,1.6,3987,83.7,0,0,2,0,0,0,0,0,0,0
Phoenix Military Academy HS,City of Chicago SD 299,482.6,490,119,119,Illinois,41.8786771,-87.6882694,145 South Campbell Avenue,60612,Cook County,Chicago,17031,"145 South Campbell Avenue, Chicago, Illinois, 60612",280800,17031280800,2019,280800,Cook County,Illinois,48,0,8,16,24,667,39,64,187,170,42,136,29,0,16.7,33.3,50,5.8,9.6,28,25.5,6.3,20.4,4.3,432,17930,34065,809,66,8.2,743,91.8,92,11.4,639,79,0,0,0,0,0,0,0,0,12,1.5
York Comm High School,Elmhurst SD 205,566.3,571.8,697,697,Illinois,41.8930998,-87.9531087,355 West Saint Charles Road,60126,DuPage County,Elmhurst,17043,"355 West Saint Charles Road, Elmhurst, Illinois, 60126",843000,17043843000,2019,843000,DuPage County,Illinois,484,24,190,223,47,3017,36,69,266,468,182,1189,807,5,39.3,46.1,9.7,1.2,2.3,8.8,15.5,6,39.4,26.7,1736,106875,159165,4616,258,5.6,4358,94.4,3404,73.7,182,3.9,0,0,644,14,0,0,0,0,128,2.8
Kennedy High School,City of Chicago SD 299,482.6,469,396,396,Illinois,41.7902356,-87.7802853,6325 West 56th Street,60638,Cook County,Chicago,17031,"6325 West 56th Street, Chicago, Illinois, 60638",561100,17031561100,2019,561100,Cook County,Illinois,359,26,79,141,113,4102,323,344,1339,722,272,658,444,7.2,22,39.3,31.5,7.9,8.4,32.6,17.6,6.6,16,10.8,2084,88070,100013,5684,2847,50.1,2837,49.9,2787,49,10,0.2,0,0,40,0.7,0,0,0,0,0,0
Frankfort Community High School,Frankfort CUSD 168,480.7,480.6,83,83,Illinois,37.8983946,-88.9207706,601 East Main Street,62896,Franklin County,West Frankfort,17055,"601 East Main Street, West Frankfort, Illinois, 62896",41000,17055041000,2019,41000,Franklin County,Illinois,137,43,32,62,0,1958,63,260,684,506,235,121,89,31.4,23.4,45.3,0,3.2,13.3,34.9,25.8,12,6.2,4.5,1210,30192,40248,2756,0,0,2756,100,2560,92.9,11,0.4,31,1.1,54,2,0,0,0,0,100,3.6
Bond Cty Comm Unit 2 High School,Bond County CUSD 2,478.1,480,123,123,Illinois,38.9011707,-89.3989236,1000 Illinois 140,62246,Bond County,Greenville,17005,"1000 Illinois 140, Greenville, Illinois, 62246",951400,17005951400,2019,951400,Bond County,Illinois,115,9,43,53,10,2020,33,108,746,503,185,290,155,7.8,37.4,46.1,8.7,1.6,5.3,36.9,24.9,9.2,14.4,7.7,1089,63140,72226,2798,33,1.2,2765,98.8,2605,93.1,0,0,135,4.8,11,0.4,0,0,5,0.2,9,0.3
Galva Jr-Sr High School,Galva CUSD 224,476.3,458.3,41,41,Illinois,41.1776008,-90.0434494,1020 North Center Avenue,61434,Henry County,Galva,17073,"1020 North Center Avenue, Galva, Illinois, 61434",31100,17073031100,2019,31100,Henry County,Illinois,135,19,27,89,0,1866,5,133,606,437,228,314,143,14.1,20,65.9,0,0.3,7.1,32.5,23.4,12.2,16.8,7.7,1168,44926,55689,2623,51,1.9,2572,98.1,2489,94.9,14,0.5,0,0,25,1,0,0,0,0,44,1.7
Legal Prep Academy Charter HS,City of Chicago SD 299,409,420.6,80,80,Illinois,41.881796,-87.7338075,4319 West Washington Boulevard,60624,Cook County,Chicago,17031,"4319 West Washington Boulevard, Chicago, Illinois, 60624",260300,17031260300,2019,260300,Cook County,Illinois,181,0,90,61,30,1035,93,264,320,257,85,16,0,0,49.7,33.7,16.6,9,25.5,30.9,24.8,8.2,1.5,0,547,18344,29386,1777,176,9.9,1601,90.1,21,1.2,1578,88.8,0,0,0,0,0,0,0,0,2,0.1
Century Jr/Sr High School,Century CUSD 100,445.1,419.4,35,35,Illinois,37.272212,-89.0752499,,N/A,Pulaski County,N/A,17153,,971000,17153971000,2019,971000,Pulaski County,Illinois,279,13,164,99,3,1962,59,144,964,521,105,115,54,4.7,58.8,35.5,1.1,3,7.3,49.1,26.6,5.4,5.9,2.8,1040,45714,59694,2852,60,2.1,2792,97.9,2184,76.6,471,16.5,0,0,6,0.2,0,0,1,0,130,4.6
Olympia High School,Olympia CUSD 16,496.2,494.7,136,136,Illinois,40.396282,-89.2469168,7832 North 100 East Road,61774,McLean County,Stanford,17113,"7832 North 100 East Road, Stanford, Illinois, 61774",6000,17113006000,2019,6000,McLean County,Illinois,282,38,88,146,10,2459,25,94,925,547,231,479,158,13.5,31.2,51.8,3.5,1,3.8,37.6,22.2,9.4,19.5,6.4,1279,77543,93899,3582,123,3.4,3459,96.6,3374,94.2,29,0.8,2,0.1,15,0.4,0,0,0,0,39,1.1
Earlville Jr/Sr High School,Earlville CUSD 9,503.9,485.4,27,27,Illinois,41.5846686,-88.9248908,415 West Union Street,60518,LaSalle County,Earlville,17099,"415 West Union Street, Earlville, Illinois, 60518",961800,17099961800,2019,961800,LaSalle County,Illinois,375,136,98,132,9,2713,27,190,1172,672,222,224,206,36.3,26.1,35.2,2.4,1,7,43.2,24.8,8.2,8.3,7.6,1681,61315,68856,3911,400,10.2,3511,89.8,3385,86.6,6,0.2,2,0.1,16,0.4,0,0,2,0.1,100,2.6
Lemont Twp High School,Lemont Twp HSD 210,546,551.4,317,317,Illinois,41.6834271,-87.9922684,,N/A,Cook County,N/A,17031,,824004,17031824004,2019,824004,Cook County,Illinois,421,69,204,100,48,3783,113,151,1015,715,248,985,556,16.4,48.5,23.8,11.4,3,4,26.8,18.9,6.6,26,14.7,1973,91135,119773,5014,259,5.2,4755,94.8,4425,88.3,221,4.4,0,0,109,2.2,0,0,0,0,0,0
Greenfield High School,Greenfield CUSD 10,511.7,502.9,24,24,Illinois,39.3432015,-90.2086588,502 East Street,62044,Greene County,Greenfield,17061,"502 East Street, Greenfield, Illinois, 62044",973600,17061973600,2019,973600,Greene County,Illinois,251,41,134,52,24,2501,42,160,1102,489,222,364,122,16.3,53.4,20.7,9.6,1.7,6.4,44.1,19.6,8.9,14.6,4.9,1172,53333,68606,3519,27,0.8,3492,99.2,3312,94.1,139,3.9,1,0,0,0,0,0,0,0,40,1.1
Lanphier High School,Springfield SD 186,425.5,427.2,221,221,Illinois,39.8174131,-89.6397294,1300 North 11th Street,62702,Sangamon County,Springfield,17167,"1300 North 11th Street, Springfield, Illinois, 62702",900,17167000900,2019,900,Sangamon County,Illinois,230,44,41,145,0,1755,39,209,496,642,28,255,86,19.1,17.8,63,0,2.2,11.9,28.3,36.6,1.6,14.5,4.9,1261,25688,31330,2657,28,1.1,2629,98.9,1655,62.3,826,31.1,0,0,4,0.2,0,0,10,0.4,134,5
Richland County High School,Richland County CUSD 1,464.3,454.8,157,157,Illinois,38.7343189,-88.0721355,1200 East Laurel Street,62450,Richland County,Olney,17159,"1200 East Laurel Street, Olney, Illinois, 62450",978100,17159978100,2019,978100,Richland County,Illinois,372,66,146,151,9,2948,56,151,900,736,343,530,232,17.7,39.2,40.6,2.4,1.9,5.1,30.5,25,11.6,18,7.9,1681,55727,64815,4367,220,5,4147,95,3964,90.8,1,0,28,0.6,0,0,0,0,2,0,152,3.5
Yorkville High School,Yorkville CUSD 115,516,504.7,452,452,Illinois,41.6520685,-88.4532582,797 Game Farm Road,60560,Kendall County,Yorkville,17093,"797 Game Farm Road, Yorkville, Illinois, 60560",890401,17093890401,2019,890401,Kendall County,Illinois,874,400,66,266,142,4034,23,163,1148,1085,451,827,337,45.8,7.6,30.4,16.2,0.6,4,28.5,26.9,11.2,20.5,8.4,2010,98743,96611,6513,478,7.3,6035,92.7,4805,73.8,1207,18.5,0,0,23,0.4,0,0,0,0,0,0
Williamsfield High School,Williamsfield CUSD 210,493.5,453,20,20,Illinois,40.9269159,-90.021788,325 West Kentucky Avenue,61489,Knox County,Williamsfield,17095,"325 West Kentucky Avenue, Williamsfield, Illinois, 61489",1600,17095001600,2019,1600,Knox County,Illinois,268,27,134,98,9,2104,22,94,872,550,253,222,91,10.1,50,36.6,3.4,1,4.5,41.4,26.1,12,10.6,4.3,1230,57554,72325,3039,19,0.6,3020,99.4,2858,94,75,2.5,55,1.8,4,0.1,0,0,0,0,28,0.9
Vienna High School,Vienna HSD 133,489,457.7,78,78,Illinois,37.4203764,-88.90306,,N/A,Johnson County,N/A,17087,,977800,17087977800,2019,977800,Johnson County,Illinois,274,30,114,109,21,2323,98,205,770,590,237,329,94,10.9,41.6,39.8,7.7,4.2,8.8,33.1,25.4,10.2,14.2,4,1357,37542,53764,3372,25,0.7,3347,99.3,3260,96.7,16,0.5,10,0.3,0,0,0,0,11,0.3,50,1.5
Highland High School,Highland CUSD 5,493.1,491.6,192,192,Illinois,38.7562872,-89.6741463,12760 Troxler Avenue,62249,Madison County,Highland,17119,"12760 Troxler Avenue, Highland, Illinois, 62249",403601,17119403601,2019,403601,Madison County,Illinois,79,0,20,44,15,2785,7,117,734,752,238,582,355,0,25.3,55.7,19,0.3,4.2,26.4,27,8.5,20.9,12.7,1566,76176,90662,3634,20,0.6,3614,99.4,3550,97.7,0,0,0,0,64,1.8,0,0,0,0,0,0
Noble St Chtr-Rowe-Clark MS Acad,City of Chicago SD 299,454,484.3,88,88,Illinois,41.8952347,-87.7181389,3645 West Chicago Avenue,60651,Cook County,Chicago,17031,"3645 West Chicago Avenue, Chicago, Illinois, 60651",231500,17031231500,2019,231500,Cook County,Illinois,573,170,109,264,30,3867,460,615,1084,1043,125,280,260,29.7,19,46.1,5.2,11.9,15.9,28,27,3.2,7.2,6.7,2057,27037,43313,5699,1444,25.3,4255,74.7,90,1.6,4135,72.6,0,0,0,0,30,0.5,0,0,0,0
Egyptian Sr High School,Egyptian CUSD 5,486.2,456.7,21,21,Illinois,37.1883403,-89.341667,,N/A,Alexander County,N/A,17003,,957700,17003957700,2019,957700,Alexander County,Illinois,67,12,30,25,0,1176,52,91,467,377,70,71,48,17.9,44.8,37.3,0,4.4,7.7,39.7,32.1,6,6,4.1,593,46382,56696,1854,0,0,1854,100,1530,82.5,309,16.7,6,0.3,0,0,0,0,0,0,9,0.5
Argo Community High School,Argo CHSD 217,469.1,483.8,467,467,Illinois,41.7769328,-87.8044959,7329 West 63rd Street,60501,Cook County,Summit,17031,"7329 West 63rd Street, Summit, Illinois, 60501",820400,17031820400,2019,820400,Cook County,Illinois,549,147,104,262,36,3329,702,488,965,648,280,213,33,26.8,18.9,47.7,6.6,21.1,14.7,29,19.5,8.4,6.4,1,1700,43232,63992,5625,4291,76.3,1334,23.7,443,7.9,890,15.8,0,0,1,0,0,0,0,0,0,0
Carl Sandburg High School,Cons HSD 230,531,529.1,757,757,Illinois,41.6495359,-87.8550911,13300 LaGrange Road,60462,Cook County,Orland Park,17031,"13300 LaGrange Road, Orland Park, Illinois, 60462",823801,17031823801,2019,823801,Cook County,Illinois,244,64,44,136,0,4061,77,193,675,809,155,1194,958,26.2,18,55.7,0,1.9,4.8,16.6,19.9,3.8,29.4,23.6,2135,105781,140981,5268,433,8.2,4835,91.8,4019,76.3,239,4.5,0,0,459,8.7,0,0,14,0.3,104,2
Carterville High School,Carterville CUSD 5,537.8,524.5,146,146,Illinois,37.758909,-89.107498,1415 West Grand Avenue,62918,Williamson County,Carterville,17199,"1415 West Grand Avenue, Carterville, Illinois, 62918",20202,17199020202,2019,20202,Williamson County,Illinois,96,0,28,57,11,1607,61,69,209,279,193,417,379,0,29.2,59.4,11.5,3.8,4.3,13,17.4,12,25.9,23.6,935,78555,101180,2419,126,5.2,2293,94.8,2164,89.5,41,1.7,0,0,70,2.9,0,0,0,0,18,0.7
Thornton Fractnl No High School,Thornton Fractional Twp HSD 215,439.8,421.7,337,337,Illinois,41.5800416,-87.5445302,,N/A,Cook County,N/A,17031,,827902,17031827902,2019,827902,Cook County,Illinois,308,11,151,146,0,2924,124,171,1067,703,315,342,202,3.6,49,47.4,0,4.2,5.8,36.5,24,10.8,11.7,6.9,1506,58625,90407,4186,959,22.9,3227,77.1,717,17.1,1802,43,0,0,541,12.9,0,0,17,0.4,150,3.6
Eldorado High School,Eldorado CUSD 4,452.4,430.9,86,86,Illinois,37.8209008,-88.4356179,2200 Illinois Avenue,62930,Saline County,Eldorado,17165,"2200 Illinois Avenue, Eldorado, Illinois, 62930",955500,17165955500,2019,955500,Saline County,Illinois,209,66,0,143,0,1794,81,180,641,579,76,195,42,31.6,0,68.4,0,4.5,10,35.7,32.3,4.2,10.9,2.3,1040,39125,45357,2425,53,2.2,2372,97.8,2318,95.6,11,0.5,0,0,0,0,0,0,0,0,43,1.8
Arthur-Lovington-Atwood-Hammond High School,Arthur CUSD 305,470.5,468.7,78,78,Illinois,39.806384,-88.4648503,222 West Magnolia Street,61913,Piatt County,Atwood,17147,"222 West Magnolia Street, Atwood, Illinois, 61913",954700,17147954700,2019,954700,Piatt County,Illinois,201,30,121,43,7,2218,28,158,983,528,229,193,99,14.9,60.2,21.4,3.5,1.3,7.1,44.3,23.8,10.3,8.7,4.5,1294,52357,69574,3042,15,0.5,3027,99.5,2954,97.1,43,1.4,1,0,0,0,0,0,0,0,29,1
Seymour High School,Payson CUSD 1,470.9,454.1,34,34,Illinois,39.8167882,-91.2503442,420 West Brainard Street,62360,Adams County,Payson,17001,"420 West Brainard Street, Payson, Illinois, 62360",10302,17001010302,2019,10302,Adams County,Illinois,188,18,85,76,9,2070,8,41,915,407,260,306,133,9.6,45.2,40.4,4.8,0.4,2,44.2,19.7,12.6,14.8,6.4,1108,63382,72978,3236,21,0.6,3215,99.4,3155,97.5,0,0,0,0,28,0.9,0,0,0,0,32,1
