School Name,District Name,Reading/Writing Score,Math Score,Tests Taken,# Students SAT ELA Participation
Rantoul Twp High School,Rantoul Township HSD 193,438.3,422.6,178.0,178.0
Crane Medical Prep HS,City of Chicago SD 299,462.2,457.7,115.0,115.0
Sparta High School,Sparta CUSD 140,480.7,458.2,90.0,90.0
Donovan Sr High School,Donovan CUSD 3,470.3,434.5,33.0,33.0
Triopia Jr-Sr High School,Triopia CUSD 27,476.5,467.8,23.0,23.0
Tinley Park High School,Bremen CHSD 228,495.8,491.7,257.0,257.0
YCCS- McKinley-Lakeside Leadership Academy,City of Chicago SD 299,377.9,361.3,63.0,63.0
Goreville High School,Goreville CUD 1,492.1,472.3,39.0,39.0
Porta High School,Porta CUSD 202,500.5,484.1,86.0,86.0
Brown County High School,Brown County CUSD 1,480.8,478.9,37.0,37.0
Lincoln Way West,Lincoln Way CHSD 210,541.0,550.3,468.0,468.0
Marissa Jr & Sr High School,Marissa CUSD 40,458.0,477.1,41.0,41.0
Buffalo Grove High School,Township HSD 214,530.2,564.5,468.0,468.0
EPIC Academy High School,City of Chicago SD 299,439.5,426.0,109.0,109.0
Athens Sr High School,Athens CUSD 213,484.6,476.4,69.0,69.0
New Tech High - Zion-Benton East,Zion-Benton Twp HSD 126,483.3,459.6,70.0,70.0
YCCS-West Town Academy Alt HS,City of Chicago SD 299,376.0,368.8,57.0,57.0
Limestone Community High School,Limestone CHSD 310,492.3,475.8,201.0,201.0
Grayslake Central High School,Grayslake CHSD 127,548.0,541.2,338.0,338.0
Intrinsic Charter High School,City of Chicago SD 299,475.7,487.2,167.0,167.0
Lena-Winslow High School,Lena Winslow CUSD 202,486.3,476.3,65.0,65.0
Morrison High School,Morrison CUSD 6,488.1,501.7,59.0,59.0
Bureau Valley High School,Bureau Valley CUSD 340,494.7,482.1,91.0,91.0
Catalyst Charter - Maria ES,City of Chicago SD 299,444.7,435.1,110.0,110.0
Morrisonville High School,Morrisonville CUSD 1,484.7,486.0,15.0,15.0
Neoga Jr/Sr High School,Neoga CUSD 3,521.9,500.2,48.0,48.0
MacArthur High School,Decatur SD 61,425.8,417.6,307.0,307.0
Forreston Jr/Sr High Sch,Forrestville Valley CUSD 221,486.8,500.7,57.0,57.0
Shawnee High School,Shawnee CUSD 84,515.0,492.5,16.0,16.0
Dixon High School,Dixon USD 170,494.1,484.6,176.0,176.0
Rock Falls Township High School,Rock Falls Twp HSD 301,477.7,461.8,159.0,159.0
Erie High School,Erie CUSD 1,522.0,523.2,44.0,44.0
Elgin High School,SD U-46,448.9,447.0,578.0,578.0
Brownstown High School,Brownstown CUSD 201,431.5,418.8,26.0,26.0
Nokomis Jr/Sr High Sch,Nokomis CUSD 22,465.0,452.0,44.0,44.0
Fisher Jr/Sr High School,Fisher CUSD 1,487.9,488.1,43.0,43.0
Marine Leadership Academy - Ames,City of Chicago SD 299,439.4,443.5,145.0,145.0
Noble St Chtr-Golder College Prep,City of Chicago SD 299,477.8,505.1,144.0,144.0
Glenbard North High School,Glenbard Twp HSD 87,505.6,511.6,544.0,544.0
Noble St Chtr-The Noble Academy,City of Chicago SD 299,495.7,513.0,92.0,92.0
Danville High School,Danville CCSD 118,440.3,420.9,273.0,273.0
United Twp High School,United Twp HSD 30,456.7,447.0,399.0,399.0
Geneseo High School,Geneseo CUSD 228,512.1,504.4,191.0,191.0
Zeigler-Royalton High School,Zeigler-Royalton CUSD 188,469.3,441.4,42.0,42.0
Pinckneyville Comm High School,Pinckneyville CHSD 101,466.6,479.0,92.0,92.0
Chicago Vocational Career Acad HS,City of Chicago SD 299,392.3,389.4,176.0,176.0
Harper High School,City of Chicago SD 299,381.5,375.4,26.0,26.0
Lincolnwood High School,Panhandle CUSD 2,485.0,469.7,34.0,34.0
YCCS-Progressive Leadership Academy,City of Chicago SD 299,374.3,370.5,61.0,61.0
Kenwood Academy High School,City of Chicago SD 299,512.7,507.3,400.0,400.0
Effingham High School,Effingham CUSD 40,486.5,480.3,166.0,166.0
Lake Forest High School,Lake Forest CHSD 115,604.2,613.5,388.0,388.0
Virginia Jr/ Sr High School,Virginia CUSD 64,454.6,406.2,13.0,13.0
YCCS-Association House,City of Chicago SD 299,408.7,393.3,55.0,55.0
Thomas Kelly College Preparatory,City of Chicago SD 299,422.2,436.2,474.0,474.0
Galesburg High School,Galesburg CUSD 205,475.1,462.9,262.0,262.0
Lebanon High School,Lebanon CUSD 9,472.4,454.1,29.0,29.0
Winnebago High School,Winnebago CUSD 323,495.3,500.8,117.0,117.0
Waubonsie Valley High School,Indian Prairie CUSD 204,544.5,550.4,631.0,631.0
Proviso West High School,Proviso Twp HSD 209,426.2,404.3,426.0,426.0
Dundee-Crown High School,CUSD 300,463.6,472.1,682.0,682.0
Hartsburg-Emden Jr-Sr High School,Hartsburg Emden CUSD 21,487.7,485.9,22.0,22.0
Lake Park High School,Lake Park CHSD 108,528.6,545.1,572.0,572.0
Alden-Hebron High School,Alden Hebron SD 19,546.8,545.6,25.0,25.0
Bowen High School,City of Chicago SD 299,410.2,403.4,62.0,62.0
Community High School,CHSD 94,485.0,483.2,457.0,457.0
Oak Forest High School,Bremen CHSD 228,498.8,490.2,296.0,296.0
Noble St Chtr-Chicago Bulls Prep,City of Chicago SD 299,491.0,527.8,242.0,242.0
YCCS-Albizu Campos Puerto Rican HS,City of Chicago SD 299,396.8,382.3,57.0,57.0
St Elmo Sr High School,St Elmo CUSD 202,500.7,452.5,28.0,28.0
Tilden Career Communty Academy HS,City of Chicago SD 299,391.4,398.8,73.0,73.0
Hutsonville High School,Hutsonville CUSD 1,474.6,454.6,28.0,28.0
Perspectives Chtr - Joslin Campus,City of Chicago SD 299,432.9,415.7,56.0,56.0
Hubbard High School,City of Chicago SD 299,447.2,432.0,401.0,401.0
Von Steuben Metro Science HS,City of Chicago SD 299,519.8,532.5,454.0,454.0
Grayslake North High School,Grayslake CHSD 127,530.8,528.8,351.0,351.0
Thornwood High School,Thornton Twp HSD 205,436.2,425.9,432.0,432.0
Cowden-Herrick Jr/Sr High School,Cowden-Herrick CUSD 3A,438.7,448.7,23.0,23.0
Carlinville High School,Carlinville CUSD 1,504.7,505.4,99.0,99.0
Reed-Custer High School,Reed Custer CUSD 255U,476.8,483.7,116.0,116.0
Riverside Brookfield Twp HS,Riverside-Brookfield Twp SD 208,537.6,545.0,376.0,376.0
Clemente Community Academy HS,City of Chicago SD 299,425.4,396.2,158.0,158.0
Johnston City High School,Johnston City CUSD 1,464.3,454.7,86.0,86.0
West Aurora High School,Aurora West USD 129,461.4,459.1,939.0,939.0
Dakota Jr Sr High School,Dakota CUSD 201,516.5,507.5,68.0,68.0
Urbana High School,Urbana SD 116,476.2,457.6,292.0,292.0
Cary-Grove Community High School,CHSD 155,535.3,542.0,400.0,400.0
Roanoke-Benson High School,Roanoke Benson CUSD 60,527.4,512.9,38.0,38.0
Newark Comm High School,Newark CHSD 18,516.5,481.6,31.0,31.0
Riverton High School,Riverton CUSD 14,483.9,490.7,94.0,94.0
Brussels High School,Brussels CUSD 42,477.9,472.9,14.0,14.0
Peoria High School,Peoria SD 150,403.9,387.4,318.0,318.0
Durand High School,Durand CUSD 322,512.6,496.8,47.0,47.0
Noble St Chtr-ITW Speer Acad,City of Chicago SD 299,503.3,557.6,138.0,138.0
Spoon River Valley Sr High Sch,Spoon River Valley CUSD 4,513.9,474.3,23.0,23.0
Joppa Jr & Sr High School,Joppa-Maple Grove UD 38,451.2,456.5,17.0,17.0
Midwest Central High School,Midwest Central CUSD 191,475.6,467.0,73.0,73.0
Batavia Sr High School,Batavia USD 101,537.7,552.0,466.0,466.0
North Greene Jr/Sr High Sch,North Greene CUSD 3,468.6,429.7,59.0,59.0
Amboy High School,Amboy CUSD 272,504.7,506.3,43.0,43.0
Plainfield South High School,Plainfield SD 202,494.5,501.3,617.0,617.0
Victor J Andrew High School,Cons HSD 230,522.2,516.9,548.0,548.0
Freeport High School,Freeport SD 145,462.1,424.0,267.0,267.0
Noble St Chtr-Butler College Prep - Crimson,City of Chicago SD 299,449.0,460.9,149.0,149.0
Arcola High School,Arcola CUSD 306,478.2,452.7,55.0,55.0
Wesclin Sr High School,Wesclin CUSD 3,516.6,513.1,87.0,87.0
Romeoville High School,Valley View CUSD 365U,496.5,496.6,461.0,461.0
Orangeville High School,Orangeville CUSD 203,472.2,492.2,23.0,23.0
Eastland Jr/Sr High School,Eastland CUSD 308,545.7,529.8,54.0,54.0
Juarez Community Academy HS,City of Chicago SD 299,432.0,415.2,355.0,355.0
North Chicago Community High Sch,North Chicago SD 187,420.4,410.4,135.0,135.0
Hinsdale Central High School,Hinsdale Twp HSD 86,601.6,624.7,659.0,659.0
YCCS-Community Youth Dev Inst HS,City of Chicago SD 299,370.3,345.1,37.0,37.0
Wilmington High School,Wilmington CUSD 209U,481.2,471.8,95.0,95.0
Acero Chtr Sch Network -  Major Hector P Garcia MD Campus,City of Chicago SD 299,449.3,450.3,153.0,153.0
East St Louis Senior High School,East St Louis SD 189,405.0,386.7,294.0,294.0
Carver Military Academy HS,City of Chicago SD 299,459.0,469.2,129.0,129.0
Ramsey High School,Ramsey CUSD 204,462.5,473.1,32.0,32.0
Coal City High School,Coal City CUSD 1,506.6,514.0,163.0,163.0
Richwoods High School,Peoria SD 150,505.3,497.2,277.0,277.0
Noble St Chtr-Pritzker College Prep,City of Chicago SD 299,515.7,548.2,251.0,251.0
Fenton High School,Fenton CHSD 100,481.9,484.8,350.0,350.0
Hillcrest High School,Bremen CHSD 228,423.9,415.9,286.0,286.0
Murphysboro High School,Murphysboro CUSD 186,477.8,457.8,152.0,152.0
Cuba Sr High School,CUSD 3 Fulton County,458.8,402.4,33.0,33.0
South Central High School,South Central CUD 401,448.7,436.1,46.0,46.0
Teutopolis High School,Teutopolis CUSD 50,517.4,542.4,72.0,72.0
Shiloh High School,Shiloh CUSD 1,452.9,419.5,21.0,21.0
South Elgin High School,SD U-46,501.9,502.0,655.0,655.0
Paxton-Buckley-Loda High School,Paxton-Buckley-Loda CUD 10,499.4,500.8,114.0,114.0
Maine West High School,Maine Township HSD 207,495.7,500.5,487.0,487.0
Pope Co High School,Pope Co CUD 1,481.8,451.8,40.0,40.0
North Lawndale Prep Chtr - Christiana,City of Chicago SD 299,411.6,425.4,82.0,82.0
J Sterling Morton East High Sch,J S Morton HSD 201,444.2,420.0,1125.0,1125.0
Marengo High School,Marengo CHSD 154,513.4,515.4,140.0,140.0
Devry Advantage Academy High Schl,City of Chicago SD 299,526.7,549.0,69.0,69.0
Cisne High School,North Wayne CUSD 200,479.7,453.8,32.0,32.0
Tremont High School,Tremont CUSD 702,520.7,520.2,88.0,88.0
Freeburg Community High Sch,Freeburg CHSD 77,528.5,531.8,174.0,174.0
Liberty High School,Liberty CUSD 2,497.6,505.1,49.0,49.0
A B Shepard High Sch (Campus),CHSD 218,487.8,473.6,428.0,428.0
Sullivan High School,Sullivan CUSD 300,474.9,450.6,72.0,72.0
Homewood-Flossmoor High School,Homewood Flossmoor CHSD 233,512.3,503.4,663.0,663.0
North Mac High School,North Mac CUSD 34,485.4,478.6,109.0,109.0
