school_name,Grades,District Name,perc_math_readiness,perc_english_readiness,perc_reading_readiness,perc_science_readiness,perc_all_subject_readiness,number_of_students,perc_frl,perc_white,perc_hispanic,perc_african_american,perc_other_race,perc_minority,Region,number_grade_11_students,number_test_taking_grade_11_students,perc_test_taking_students_15_16,ACT_math,ACT_english,ACT_reading,ACT_science,is_open_enrollment_charter,County,School LEA,DLEA,year
NEWPORT HIGH SCHOOL,6-12,NEWPORT SCHOOL DISTRICT,4.0,21.0,13.0,5.0,2.0,594.0,76.0,51.0,8.0,35.0,6.0,49.0,2,99,82.0,83.0,15.3,14.3,15.8,16.4,0,JACKSON,3403013,3403000,2021.0
NORFORK HIGH SCHOOL,7-12,NORFORK SCHOOL DISTRICT,14.0,40.0,23.0,14.0,9.0,221.0,74.0,98.0,1.0,0.0,1.0,2.0,1,45,35.0,78.0,17.3,16.9,18.1,18.3,0,BAXTER,304022,304000,2021.0
NORTH LITTLE ROCK CENTER OF EXCELLENCE,9-12,NORTH LITTLE ROCK SCHOOL DISTRICT,6.0,29.0,16.0,8.0,2.0,326.0,74.0,21.0,16.0,59.0,5.0,79.0,3,71,51.0,72.0,15.9,15.1,16.2,16.3,0,PULASKI,6002703,6002000,2021.0
NORTH LITTLE ROCK HIGH SCHOOL,9-12,NORTH LITTLE ROCK SCHOOL DISTRICT,13.0,33.0,23.0,16.0,8.0,2032.0,70.0,28.0,10.0,56.0,5.0,72.0,3,472,333.0,71.0,16.6,16.1,17.2,17.2,0,PULASKI,6002082,6002000,2021.0
NORTHSIDE HIGH SCHOOL,9-12,FORT SMITH SCHOOL DISTRICT,13.0,38.0,26.0,17.0,9.0,2497.0,77.0,25.0,50.0,14.0,12.0,75.0,1,597,384.0,64.0,16.9,16.5,17.9,18.0,0,SEBASTIAN,6601024,6601000,2021.0
NORTHWEST ARKANSAS CLASSICAL ACADEMY HIGH,7-12,RESPONSIVE ED SOLUTIONS NORTHWEST ARKANSAS CLASSIC,55.0,80.0,65.0,45.0,30.0,183.0,9.0,70.0,13.0,2.0,14.0,30.0,1,24,20.0,83.0,21.8,22.6,22.6,23.1,1,BENTON,442703,442700,2021.0
ODEN SCHOOLS,P-12,OUACHITA RIVER SCHOOL DISTRICT,0.0,62.0,31.0,8.0,0.0,172.0,74.0,88.0,5.0,0.0,7.0,12.0,4,16,13.0,81.0,17.2,16.8,18.3,17.6,0,POLK,5706009,5706000,2021.0
OMAHA HIGH SCHOOL,7-12,OMAHA SCHOOL DISTRICT,30.0,74.0,70.0,48.0,26.0,186.0,71.0,92.0,4.0,0.0,4.0,8.0,1,30,23.0,77.0,20.2,22.0,22.4,21.1,0,BOONE,504023,504000,2021.0
OSCEOLA HIGH SCHOOL,9-12,OSCEOLA SCHOOL DISTRICT,4.0,13.0,5.0,4.0,2.0,296.0,87.0,7.0,1.0,89.0,3.0,93.0,2,67,56.0,84.0,14.8,12.6,13.8,14.8,0,MISSISSIPPI,4713051,4713000,2021.0
OUACHITA HIGH SCHOOL,7-12,OUACHITA SCHOOL DISTRICT,13.0,45.0,23.0,23.0,8.0,257.0,47.0,96.0,2.0,0.0,3.0,4.0,3,40,40.0,100.0,17.4,16.9,17.9,18.8,0,HOT SPRING,3005030,3005000,2021.0
OZARK JR/SR HIGH SCHOOL,8-12,OZARK SCHOOL DISTRICT,11.0,40.0,30.0,17.0,8.0,694.0,49.0,90.0,4.0,0.0,6.0,10.0,1,122,104.0,85.0,16.9,16.9,18.2,17.9,0,FRANKLIN,2404017,2404000,2021.0
PALESTINE-WHEATLEY SENIOR HIGH,7-12,PALESTINE-WHEATLEY SCHOOL DISTRICT,3.0,38.0,9.0,6.0,3.0,340.0,85.0,88.0,2.0,10.0,1.0,12.0,2,52,32.0,62.0,15.8,16.2,16.5,16.8,0,ST FRANCIS,6205028,6205000,2021.0
PANGBURN HIGH SCHOOL,7-12,PANGBURN SCHOOL DISTRICT,19.0,42.0,32.0,25.0,13.0,391.0,64.0,96.0,2.0,1.0,2.0,4.0,2,59,53.0,90.0,17.3,16.7,18.4,17.6,0,WHITE,7309039,7309000,2021.0
PARAGOULD HIGH SCHOOL,9-12,PARAGOULD SCHOOL DISTRICT,19.0,46.0,24.0,24.0,11.0,886.0,59.0,80.0,8.0,6.0,6.0,20.0,2,200,172.0,86.0,17.5,17.5,17.7,18.2,0,GREENE,2808043,2808000,2021.0
PARIS HIGH SCHOOL,9-12,PARIS SCHOOL DISTRICT,14.0,41.0,23.0,19.0,7.0,307.0,70.0,87.0,3.0,3.0,7.0,13.0,1,70,69.0,99.0,17.2,16.7,18.0,18.2,0,LOGAN,4203012,4203000,2021.0
PARKERS CHAPEL HIGH SCHOOL,7-12,PARKERS CHAPEL SCHOOL DISTRICT,24.0,64.0,38.0,31.0,19.0,344.0,36.0,84.0,3.0,8.0,4.0,16.0,4,48,42.0,88.0,18.5,19.8,19.5,19.5,0,UNION,7007040,7007000,2021.0
PARKVIEW MAGNET HIGH SCHOOL,9-12,LITTLE ROCK SCHOOL DISTRICT,14.0,35.0,24.0,21.0,9.0,1032.0,56.0,13.0,12.0,73.0,2.0,87.0,3,289,254.0,88.0,17.0,16.1,17.7,18.2,0,PULASKI,6001005,6001000,2021.0
PEA RIDGE HIGH SCHOOL,10-12,PEA RIDGE SCHOOL DISTRICT,18.0,43.0,33.0,24.0,12.0,528.0,31.0,88.0,8.0,1.0,3.0,12.0,1,198,162.0,82.0,17.8,16.8,18.8,19.1,0,BENTON,407027,407000,2021.0
PERRYVILLE HIGH SCHOOL,7-12,PERRYVILLE SCHOOL DISTRICT,8.0,39.0,24.0,18.0,7.0,439.0,61.0,92.0,4.0,0.0,4.0,8.0,1,78,62.0,79.0,16.5,16.8,17.7,18.1,0,PERRY,5303011,5303000,2021.0
PIGGOTT HIGH SCHOOL,7-12,PIGGOTT SCHOOL DISTRICT,2.0,31.0,26.0,14.0,0.0,339.0,35.0,94.0,3.0,1.0,2.0,6.0,2,60,58.0,97.0,15.5,15.1,16.2,17.2,0,CLAY,1104018,1104000,2021.0
PINE BLUFF HIGH SCHOOL,9-12,PINE BLUFF SCHOOL DISTRICT,4.0,22.0,14.0,6.0,3.0,890.0,79.0,2.0,2.0,95.0,1.0,98.0,3,181,117.0,65.0,14.9,14.4,15.5,16.2,0,JEFFERSON,3505042,3505000,2021.0
POCAHONTAS HIGH SCHOOL,10-12,POCAHONTAS SCHOOL DISTRICT,16.0,47.0,27.0,18.0,9.0,405.0,53.0,83.0,3.0,0.0,14.0,17.0,2,166,155.0,93.0,17.1,17.5,17.6,17.6,0,RANDOLPH,6103010,6103000,2021.0
POTTSVILLE HIGH SCHOOL,10-12,POTTSVILLE SCHOOL DISTRICT,18.0,50.0,32.0,24.0,11.0,388.0,35.0,89.0,7.0,3.0,1.0,11.0,1,125,123.0,98.0,17.6,18.6,19.0,18.8,0,POPE,5804014,5804000,2021.0
POYEN HIGH SCHOOL,7-12,POYEN SCHOOL DISTRICT,11.0,29.0,26.0,6.0,3.0,270.0,49.0,93.0,4.0,0.0,3.0,7.0,3,39,35.0,90.0,16.7,15.5,17.1,17.4,0,GRANT,2703010,2703000,2021.0
PRAIRIE GROVE HIGH SCHOOL,9-12,PRAIRIE GROVE SCHOOL DISTRICT,17.0,43.0,30.0,22.0,12.0,630.0,36.0,84.0,7.0,2.0,7.0,16.0,1,167,146.0,87.0,17.4,16.9,18.0,18.9,0,WASHINGTON,7206703,7206000,2021.0
PREMIER HIGH SCHOOL OF LITTLE ROCK,9-12,RESPONSIVE ED SOLUTIONS PREMIER HIGH SCHOOL OF LIT,0.0,15.0,0.0,0.0,0.0,125.0,82.0,14.0,0.0,81.0,5.0,86.0,3,44,13.0,30.0,13.4,12.4,14.2,15.2,1,PULASKI,6053703,6053700,2021.0
PREMIER HIGH SCHOOL OF NORTH LITTLE ROCK,9-12,RESPONSIVE ED SOLUTIONS PREMIER HIGH SCHOOL OF NOR,0.0,9.0,0.0,0.0,0.0,143.0,86.0,22.0,3.0,71.0,3.0,78.0,3,41,11.0,27.0,14.4,13.5,14.8,15.8,1,PULASKI,6062703,6062700,2021.0
PRESCOTT HIGH SCHOOL,9-12,PRESCOTT SCHOOL DISTRICT,3.0,18.0,19.0,11.0,2.0,303.0,68.0,52.0,7.0,38.0,3.0,48.0,4,74,63.0,85.0,15.4,14.6,16.1,16.1,0,NEVADA,5006024,5006000,2021.0
QUITMAN HIGH SCHOOL,9-12,QUITMAN SCHOOL DISTRICT,19.0,45.0,23.0,21.0,11.0,243.0,51.0,95.0,1.0,2.0,2.0,5.0,2,58,53.0,91.0,17.7,16.8,17.4,18.0,0,CLEBURNE,1203011,1203000,2021.0
RECTOR HIGH SCHOOL,7-12,RECTOR SCHOOL DISTRICT,21.0,39.0,36.0,36.0,13.0,251.0,58.0,96.0,3.0,0.0,0.0,4.0,2,44,39.0,89.0,18.2,17.4,18.7,20.8,0,CLAY,1106023,1106000,2021.0
RISON HIGH SCHOOL,7-12,CLEVELAND COUNTY SCHOOL DISTRICT,18.0,39.0,29.0,22.0,10.0,371.0,58.0,71.0,2.0,24.0,4.0,29.0,5,59,51.0,86.0,17.5,17.3,18.5,18.9,0,CLEVELAND,1305010,1305000,2021.0
RIVER VALLEY VIRTUAL ACADEMY,K-12,VAN BUREN SCHOOL DISTRICT,12.0,29.0,24.0,12.0,6.0,230.0,66.0,73.0,10.0,3.0,14.0,27.0,1,27,17.0,63.0,15.4,16.4,17.8,16.9,0,CRAWFORD,1705703,1705000,2021.0
RIVERSIDE HIGH SCHOOL,7-12,RIVERSIDE SCHOOL DISTRICT,9.0,34.0,17.0,6.0,4.0,337.0,51.0,90.0,8.0,0.0,2.0,10.0,2,58,47.0,81.0,16.1,15.9,17.2,17.4,0,CRAIGHEAD,1613021,1613000,2021.0
RIVERVIEW HIGH SCHOOL,9-12,RIVERVIEW SCHOOL DISTRICT,5.0,25.0,26.0,14.0,4.0,355.0,66.0,64.0,20.0,8.0,8.0,36.0,2,88,77.0,88.0,15.8,14.9,17.6,16.7,0,WHITE,7307032,7307000,2021.0
ROGERS HERITAGE HIGH SCHOOL,9-12,ROGERS SCHOOL DISTRICT,16.0,34.0,24.0,19.0,11.0,2106.0,56.0,42.0,50.0,1.0,7.0,58.0,1,513,458.0,89.0,17.1,16.0,17.4,17.7,0,BENTON,405052,405000,2021.0
ROGERS HIGH SCHOOL,9-12,ROGERS SCHOOL DISTRICT,24.0,51.0,33.0,29.0,18.0,2157.0,44.0,41.0,50.0,1.0,7.0,59.0,1,517,464.0,90.0,18.3,18.4,18.8,19.3,0,BENTON,405048,405000,2021.0
ROGERS NEW TECHNOLOGY HIGH SCHOOL,9-12,ROGERS SCHOOL DISTRICT,15.0,45.0,35.0,22.0,9.0,677.0,55.0,40.0,53.0,2.0,5.0,60.0,1,136,127.0,93.0,17.8,17.8,19.9,19.8,0,BENTON,405703,405000,2021.0
ROSE BUD HIGH SCHOOL,7-12,ROSE BUD SCHOOL DISTRICT,13.0,40.0,25.0,15.0,8.0,361.0,55.0,93.0,6.0,1.0,1.0,7.0,2,61,48.0,79.0,17.5,16.6,18.8,18.2,0,WHITE,7310043,7310000,2021.0
RURAL SPECIAL HIGH SCHOOL,7-12,MOUNTAIN VIEW SCHOOL DISTRICT,33.0,75.0,42.0,25.0,25.0,93.0,67.0,89.0,10.0,0.0,1.0,11.0,2,12,12.0,100.0,19.1,21.8,20.8,20.5,0,STONE,6901012,6901000,2021.0
RUSSELLVILLE HIGH SCHOOL,10-12,RUSSELLVILLE SCHOOL DISTRICT,24.0,52.0,37.0,30.0,17.0,1168.0,45.0,61.0,26.0,7.0,6.0,39.0,1,388,283.0,73.0,18.4,18.5,19.8,19.8,0,POPE,5805024,5805000,2021.0
SALEM HIGH SCHOOL,7-12,SALEM SCHOOL DISTRICT,23.0,55.0,34.0,28.0,15.0,415.0,60.0,93.0,2.0,0.0,5.0,7.0,2,61,53.0,87.0,18.4,18.3,19.8,19.7,0,FULTON,2502006,2502000,2021.0
SCRANTON HIGH SCHOOL,7-12,SCRANTON SCHOOL DISTRICT,24.0,48.0,40.0,32.0,20.0,206.0,53.0,90.0,4.0,0.0,6.0,10.0,1,32,25.0,78.0,18.6,18.5,20.5,20.1,0,LOGAN,4204019,4204000,2021.0
SEARCY HIGH SCHOOL,9-12,SEARCY SCHOOL DISTRICT,29.0,58.0,40.0,31.0,22.0,1094.0,40.0,70.0,11.0,11.0,9.0,30.0,2,250,230.0,92.0,19.1,19.8,20.5,19.9,0,WHITE,7311052,7311000,2021.0
SHERIDAN HIGH SCHOOL,9-12,SHERIDAN SCHOOL DISTRICT,23.0,47.0,35.0,27.0,17.0,1241.0,31.0,89.0,6.0,2.0,3.0,11.0,3,296,243.0,82.0,18.3,17.8,19.2,19.0,0,GRANT,2705021,2705000,2021.0
SHIRLEY HIGH SCHOOL,7-12,SHIRLEY SCHOOL DISTRICT,11.0,21.0,5.0,11.0,5.0,144.0,81.0,94.0,1.0,1.0,3.0,6.0,1,32,19.0,59.0,14.9,13.6,14.7,15.9,0,VAN BUREN,7104015,7104000,2021.0
SILOAM SPRINGS HIGH SCHOOL CONVERSION CHARTER,9-12,SILOAM SPRINGS SCHOOL DISTRICT,28.0,49.0,37.0,33.0,17.0,1358.0,40.0,52.0,35.0,1.0,12.0,48.0,1,307,254.0,83.0,18.8,17.7,19.3,19.6,0,BENTON,406703,406000,2021.0
SLOAN-HENDRIX HIGH SCHOOL,7-12,SLOAN-HENDRIX SCHOOL DISTRICT,15.0,45.0,30.0,19.0,11.0,357.0,69.0,97.0,1.0,0.0,1.0,3.0,2,56,47.0,84.0,17.5,18.6,18.8,19.3,0,LAWRENCE,3806019,3806000,2021.0
SMACKOVER HIGH SCHOOL,9-12,SMACKOVER-NORPHLET SCHOOL DISTRICT,4.0,24.0,7.0,6.0,3.0,316.0,49.0,72.0,5.0,20.0,3.0,28.0,4,72,68.0,94.0,15.5,14.0,15.2,15.9,0,UNION,7008045,7008000,2021.0
SOUTH SIDE HIGH SCHOOL,7-12,SOUTH SIDE SCHOOL DISTRICT (VANBUREN),22.0,48.0,33.0,20.0,13.0,261.0,41.0,92.0,3.0,1.0,5.0,8.0,1,49,46.0,94.0,17.8,17.8,19.8,18.9,0,VAN BUREN,7105019,7105000,2021.0
SOUTHSIDE CHARTER HIGH SCHOOL,10-12,SOUTHSIDE SCHOOL DISTRICT (INDEPENDENCE),22.0,51.0,29.0,27.0,13.0,414.0,57.0,91.0,5.0,2.0,3.0,9.0,2,121,112.0,93.0,18.0,17.7,18.2,19.0,0,INDEPENDENCE,3209703,3209000,2021.0
SOUTHSIDE HIGH SCHOOL,9-12,FORT SMITH SCHOOL DISTRICT,32.0,61.0,40.0,36.0,24.0,1794.0,47.0,58.0,16.0,6.0,20.0,42.0,1,454,396.0,87.0,19.5,20.0,20.9,20.5,0,SEBASTIAN,6601025,6601000,2021.0
SPRING HILL HIGH SCHOOL,7-12,SPRING HILL SCHOOL DISTRICT,14.0,31.0,14.0,8.0,0.0,259.0,47.0,85.0,7.0,1.0,8.0,15.0,4,39,36.0,92.0,16.9,15.9,17.1,17.2,0,HEMPSTEAD,2906026,2906000,2021.0
SPRINGDALE HIGH SCHOOL,10-12,SPRINGDALE SCHOOL DISTRICT,18.0,38.0,24.0,18.0,9.0,2041.0,80.0,18.0,56.0,2.0,23.0,82.0,1,658,353.0,54.0,17.5,16.5,17.5,18.1,0,WASHINGTON,7207049,7207000,2021.0
STAR CITY HIGH SCHOOL,9-12,STAR CITY SCHOOL DISTRICT,8.0,34.0,21.0,14.0,7.0,431.0,67.0,64.0,10.0,24.0,2.0,36.0,5,111,107.0,96.0,16.1,16.0,16.4,16.8,0,LINCOLN,4003016,4003000,2021.0
STRONG-HUTTIG SCHOOLS,K-12,STRONG-HUTTIG SCHOOL DISTRICT,0.0,8.0,15.0,8.0,0.0,300.0,94.0,18.0,2.0,79.0,1.0,82.0,4,19,13.0,68.0,15.2,12.5,13.9,14.6,0,UNION,7009050,7009000,2021.0
STUTTGART HIGH SCHOOL,9-12,STUTTGART SCHOOL DISTRICT,21.0,27.0,22.0,10.0,8.0,456.0,52.0,49.0,8.0,40.0,4.0,51.0,5,96,83.0,86.0,17.4,15.3,17.3,17.2,0,ARKANSAS,104025,104000,2021.0
SYLVAN HILLS HIGH SCHOOL,10-12,PULASKI COUNTY SPECIAL SCHOOL DISTRICT,24.0,46.0,30.0,23.0,15.0,1003.0,38.0,40.0,7.0,47.0,5.0,60.0,3,304,254.0,84.0,17.5,17.7,18.4,18.9,0,PULASKI,6003128,6003000,2021.0
TAYLOR HIGH SCHOOL,7-12,EMERSON-TAYLOR-BRADLEY SCHOOL DISTRICT,12.0,50.0,27.0,23.0,12.0,211.0,29.0,97.0,2.0,0.0,1.0,3.0,4,26,26.0,100.0,17.6,18.0,18.8,19.4,0,COLUMBIA,1408019,1408000,2021.0
THE ACADEMIES AT JONESBORO HIGH SCHOOL,10-12,JONESBORO SCHOOL DISTRICT,14.0,30.0,24.0,19.0,9.0,1310.0,66.0,35.0,15.0,45.0,5.0,65.0,2,453,383.0,85.0,16.7,15.3,17.1,17.4,0,CRAIGHEAD,1608027,1608000,2021.0
THE ACADEMIES OF WEST MEMPHIS CHARTER SCHOOL,10-12,WEST MEMPHIS SCHOOL DISTRICT,8.0,28.0,14.0,11.0,3.0,971.0,72.0,22.0,1.0,75.0,1.0,78.0,2,306,181.0,59.0,16.2,15.6,15.9,16.8,0,CRITTENDEN,1803703,1803000,2021.0
TIMBO HIGH SCHOOL,7-12,MOUNTAIN VIEW SCHOOL DISTRICT,0.0,55.0,55.0,36.0,0.0,104.0,88.0,96.0,3.0,0.0,1.0,4.0,2,13,11.0,85.0,16.9,18.3,20.6,20.5,0,STONE,6901016,6901000,2021.0
TRUMANN HIGH SCHOOL,9-12,TRUMANN SCHOOL DISTRICT,11.0,22.0,18.0,13.0,6.0,446.0,70.0,77.0,7.0,15.0,2.0,23.0,2,97,95.0,98.0,16.3,15.3,16.8,16.3,0,POINSETT,5605023,5605000,2021.0
TUCKERMAN HIGH SCHOOL,8-12,JACKSON CO. SCHOOL DISTRICT,26.0,57.0,35.0,36.0,21.0,298.0,62.0,89.0,1.0,7.0,3.0,11.0,2,59,58.0,98.0,18.1,20.2,19.7,19.9,0,JACKSON,3405025,3405000,2021.0
TWO RIVERS HIGH SCHOOL,5-12,TWO RIVERS SCHOOL DISTRICT,22.0,46.0,35.0,22.0,22.0,481.0,78.0,77.0,16.0,1.0,6.0,23.0,1,48,37.0,77.0,17.2,18.2,18.7,18.5,0,YELL,7510019,7510000,2021.0
VALLEY SPRINGS HIGH SCHOOL,9-12,VALLEY SPRINGS SCHOOL DISTRICT,19.0,53.0,39.0,31.0,14.0,270.0,41.0,96.0,2.0,0.0,1.0,4.0,1,69,64.0,93.0,18.5,19.2,20.6,20.5,0,BOONE,505027,505000,2021.0
VALLEY VIEW HIGH SCHOOL,10-12,VALLEY VIEW SCHOOL DISTRICT,29.0,65.0,50.0,41.0,21.0,637.0,21.0,86.0,3.0,5.0,6.0,14.0,2,181,175.0,97.0,19.4,20.8,21.5,20.7,0,CRAIGHEAD,1612048,1612000,2021.0
VAN BUREN HIGH SCHOOL,10-12,VAN BUREN SCHOOL DISTRICT,25.0,52.0,33.0,28.0,16.0,1139.0,44.0,66.0,19.0,2.0,13.0,34.0,1,390,363.0,93.0,18.1,18.4,18.9,19.3,0,CRAWFORD,1705027,1705000,2021.0
VILONIA HIGH SCHOOL,9-12,VILONIA SCHOOL DISTRICT,24.0,55.0,37.0,28.0,16.0,946.0,29.0,94.0,4.0,1.0,1.0,6.0,3,229,217.0,95.0,18.7,19.1,19.6,19.9,0,FAULKNER,2307034,2307000,2021.0
VIOLA HIGH SCHOOL,7-12,VIOLA SCHOOL DISTRICT,13.0,38.0,25.0,21.0,8.0,178.0,66.0,95.0,2.0,1.0,3.0,5.0,2,26,24.0,92.0,17.6,16.5,17.8,17.8,0,FULTON,2503010,2503000,2021.0
WALDRON HIGH SCHOOL,9-12,WALDRON SCHOOL DISTRICT,12.0,38.0,27.0,23.0,12.0,444.0,69.0,77.0,15.0,1.0,7.0,23.0,1,112,103.0,92.0,16.9,16.5,18.3,18.3,0,SCOTT,6401003,6401000,2021.0
WALNUT RIDGE HIGH SCHOOL,7-12,LAWRENCE COUNTY SCHOOL DISTRICT,14.0,62.0,24.0,18.0,8.0,462.0,56.0,89.0,3.0,0.0,7.0,11.0,2,81,66.0,81.0,17.0,19.4,18.9,18.8,0,LAWRENCE,3810027,3810000,2021.0
WARREN HIGH SCHOOL,9-12,WARREN SCHOOL DISTRICT,1.0,24.0,8.0,3.0,0.0,472.0,69.0,40.0,25.0,32.0,3.0,60.0,5,119,107.0,90.0,15.0,14.5,14.4,15.4,0,BRADLEY,602019,602000,2021.0
WATSON CHAPEL HIGH SCHOOL,10-12,WATSON CHAPEL SCHOOL DISTRICT,2.0,19.0,11.0,5.0,1.0,488.0,65.0,10.0,2.0,86.0,2.0,90.0,3,163,154.0,94.0,14.7,14.0,15.3,15.6,0,JEFFERSON,3509067,3509000,2021.0
WEST FORK HIGH SCHOOL,9-12,WEST FORK SCHOOL DISTRICT,7.0,56.0,34.0,21.0,5.0,308.0,43.0,86.0,5.0,0.0,9.0,14.0,1,66,61.0,92.0,16.5,18.3,19.1,18.2,0,WASHINGTON,7208062,7208000,2021.0
WEST SIDE HIGH SCHOOL,7-12,WEST SIDE SCHOOL DISTRICT (CLEBURNE),24.0,67.0,67.0,33.0,19.0,245.0,65.0,98.0,1.0,0.0,0.0,2.0,2,27,21.0,78.0,18.5,19.1,22.8,20.6,0,CLEBURNE,1204015,1204000,2021.0
WESTERN GROVE K-12 SCHOOL,K-12,OZARK MOUNTAIN SCHOOL DISTRICT,0.0,41.0,29.0,12.0,0.0,247.0,68.0,92.0,3.0,1.0,4.0,8.0,1,19,17.0,89.0,16.4,16.6,19.4,18.4,0,SEARCY,6505016,6505000,2021.0
WESTERN YELL COUNTY HIGH SCHOOL,7-12,WESTERN YELL COUNTY SCHOOL DISTRICT,4.0,17.0,4.0,0.0,0.0,175.0,88.0,73.0,19.0,1.0,7.0,27.0,1,26,24.0,92.0,15.5,14.5,15.0,16.0,0,YELL,7509033,7509000,2021.0
WESTSIDE HIGH SCHOOL,8-12,WESTSIDE CONSOLIDATED SCHOOL DISTRICT (CRAIGHEAD),5.0,42.0,22.0,15.0,1.0,662.0,45.0,93.0,3.0,2.0,2.0,7.0,2,102,92.0,90.0,16.2,16.4,17.8,18.1,0,CRAIGHEAD,1602055,1602000,2021.0
WESTSIDE HIGH SCHOOL,6-12,WESTSIDE SCHOOL DISTRICT (JOHNSON),3.0,13.0,11.0,5.0,0.0,348.0,67.0,91.0,5.0,0.0,3.0,9.0,1,40,38.0,95.0,15.2,13.2,15.6,15.5,0,JOHNSON,3606026,3606000,2021.0
WHITE COUNTY CENTRAL HIGH SCHOOL,7-12,WHITE COUNTY CENTRAL SCHOOL DISTRICT,20.0,38.0,29.0,20.0,9.0,369.0,56.0,86.0,10.0,1.0,4.0,14.0,2,51,45.0,88.0,17.3,16.9,18.5,19.1,0,WHITE,7304019,7304000,2021.0
WHITE HALL HIGH SCHOOL,9-12,WHITE HALL SCHOOL DISTRICT,20.0,39.0,27.0,23.0,13.0,948.0,45.0,61.0,3.0,31.0,5.0,39.0,3,215,201.0,93.0,17.5,16.7,17.9,18.3,0,JEFFERSON,3510076,3510000,2021.0
WONDERVIEW HIGH SCHOOL,7-12,WONDERVIEW SCHOOL DISTRICT,10.0,36.0,32.0,10.0,7.0,208.0,54.0,96.0,2.0,1.0,1.0,4.0,6,32,31.0,97.0,16.3,16.9,18.4,17.6,0,CONWAY,1505026,1505000,2021.0
WOODLAWN HIGH SCHOOL,7-12,WOODLAWN SCHOOL DISTRICT,10.0,57.0,31.0,17.0,10.0,283.0,45.0,89.0,5.0,3.0,3.0,11.0,5,39,42.0,108.0,17.4,18.4,18.9,19.6,0,CLEVELAND,1304015,1304000,2021.0
WYNNE HIGH SCHOOL,9-12,WYNNE SCHOOL DISTRICT,19.0,48.0,30.0,22.0,15.0,769.0,53.0,64.0,3.0,30.0,3.0,36.0,2,195,170.0,87.0,17.2,18.3,18.1,18.9,0,CROSS,1905017,1905000,2021.0
YELLVILLE-SUMMIT HIGH SCHOOL,7-12,YELLVILLE-SUMMIT SCHOOL DISTRICT,25.0,50.0,25.0,32.0,14.0,450.0,72.0,95.0,1.0,1.0,3.0,5.0,1,66,56.0,85.0,17.3,18.6,18.2,19.1,0,MARION,4502006,4502000,2021.0
