District Name,School Name,N,English Avg,English % Met,Math Avg,Math % Met,Reading Avg,Reading % Met,Science Avg,Science % Met,All % Met
CADDO HILLS SCHOOL DISTRICT,CADDO HILLS HIGH SCHOOL,25,17.7,48.0%,17.2,12.0%,18.9,36.0%,18.3,20.0%,12.0%
MOUNT IDA SCHOOL DISTRICT,MOUNT IDA HIGH SCHOOL,30,15.1,26.7%,16.9,10.0%,16.5,16.7%,17.2,10.0%,3.3%
PRESCOTT SCHOOL DISTRICT,PRESCOTT HIGH SCHOOL,54,15.2,31.5%,16.0,7.4%,16.4,22.2%,16.6,13.0%,5.6%
NEVADA SCHOOL DISTRICT,NEVADA HIGH  SCHOOL,19,16.1,36.8%,15.8,10.5%,17.1,21.1%,18.2,21.1%,5.3%
JASPER SCHOOL DISTRICT,JASPER HIGH SCHOOL,26,17.2,38.5%,16.2,3.8%,18.5,23.1%,18.6,15.4%,3.8%
JASPER SCHOOL DISTRICT,KINGSTON HIGH SCHOOL,18,15.1,22.2%,16.9,5.6%,16.3,16.7%,18.4,22.2%,0.0%
JASPER SCHOOL DISTRICT,OARK HIGH SCHOOL,10,12.5,10.0%,15.3,0.0%,14.6,10.0%,15.6,0.0%,0.0%
DEER-MT. JUDEA SCHOOL DISTRICT,DEER K-12 SCHOOL,16,17.9,56.3%,16.3,6.3%,18.3,37.5%,17.5,18.8%,6.3%
DEER-MT. JUDEA SCHOOL DISTRICT,MT. JUDEA K-12 SCHOOL,9,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10
BEARDEN SCHOOL DISTRICT,BEARDEN HIGH SCHOOL,27,15.0,25.9%,16.2,7.4%,16.0,18.5%,16.6,7.4%,7.4%
CAMDEN FAIRVIEW SCHOOL DISTRICT,CAMDEN FAIRVIEW HIGH SCHOOL,131,14.3,26.0%,15.1,3.8%,15.5,13.7%,16.1,6.9%,1.5%
HARMONY GROVE SCHOOL DISTRICT (OUACHITA),SPARKMAN K-12 SCHOOL,11,11.1,0.0%,14.6,0.0%,13.3,0.0%,14.7,0.0%,0.0%
HARMONY GROVE SCHOOL DISTRICT (OUACHITA),HARMONY GROVE HIGH SCHOOL,45,17.6,42.2%,17.6,13.3%,18.9,26.7%,18.2,17.8%,11.1%
EAST END SCHOOL DISTRICT,BIGELOW HIGH SCHOOL,27,18.5,51.9%,19.4,25.9%,18.9,29.6%,19.6,18.5%,11.1%
PERRYVILLE SCHOOL DISTRICT,PERRYVILLE HIGH SCHOOL,64,17.2,40.6%,17.8,10.9%,19.1,35.9%,18.1,21.9%,7.8%
BARTON SCHOOL DISTRICT,BARTON HIGH SCHOOL,31,13.8,16.1%,15.6,3.2%,15.0,9.7%,18.0,16.1%,0.0%
HELENA/ WEST HELENA SCHOOL DISTRICT,CENTRAL HIGH SCHOOL,63,12.5,6.3%,14.2,0.0%,13.8,3.2%,15.2,3.2%,0.0%
MARVELL-ELAINE SCHOOL DISTRICT,MARVELL-ELAINE HIGH SCHOOL,20,13.1,15.0%,13.9,5.0%,14.5,0.0%,15.9,0.0%,0.0%
KIPP DELTA PUBLIC SCHOOLS,KIPP:DELTA COLLEGIATE HIGH SCHOOL,41,14.8,17.1%,15.8,2.4%,14.0,4.9%,16.5,2.4%,0.0%
KIPP DELTA PUBLIC SCHOOLS,KIPP BLYTHEVILLE COLLEGIATE HIGH SCHOOL,14,13.1,7.1%,14.5,0.0%,14.8,0.0%,14.2,0.0%,0.0%
CENTERPOINT SCHOOL DISTRICT,CENTERPOINT HIGH SCHOOL,77,17.9,50.6%,17.5,14.3%,19.5,42.9%,19.7,26.0%,9.1%
CENTERPOINT SCHOOL DISTRICT,CENTERPOINT ACADEMY OF AGRICULTURE & SKILLED TRADE,12,12.7,8.3%,15.4,0.0%,14.7,16.7%,16.2,16.7%,0.0%
KIRBY SCHOOL DISTRICT,KIRBY HIGH SCHOOL,15,16.3,40.0%,16.6,13.3%,17.6,26.7%,18.8,20.0%,13.3%
SOUTH PIKE COUNTY SCHOOL DISTRICT,MURFREESBORO HIGH SCHOOL,49,16.9,49.0%,16.6,8.2%,17.1,24.5%,18.0,10.2%,8.2%
HARRISBURG SCHOOL DISTRICT,HARRISBURG COLLEGE & CAREER PREPARATORY SCHOOL,43,18.0,55.8%,16.5,4.7%,17.9,30.2%,17.3,11.6%,2.3%
MARKED TREE SCHOOL DISTRICT,MARKED TREE HIGH SCHOOL,32,14.5,21.9%,15.8,6.3%,15.3,6.3%,16.1,6.3%,0.0%
TRUMANN SCHOOL DISTRICT,TRUMANN HIGH SCHOOL,98,15.6,33.7%,17.0,16.3%,16.7,22.4%,17.8,15.3%,8.2%
EAST POINSETT CO. SCHOOL DISTRICT,EAST POINSETT COUNTY HIGH SCHOOL,39,15.6,33.3%,16.2,10.3%,15.8,15.4%,16.9,10.3%,5.1%
MENA SCHOOL DISTRICT,MENA HIGH SCHOOL,92,16.6,40.2%,17.9,13.0%,18.5,31.5%,18.2,14.1%,8.7%
MENA SCHOOL DISTRICT,POLK COUNTY VIRTUAL ACADEMY,3,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10
OUACHITA RIVER SCHOOL DISTRICT,ACORN HIGH SCHOOL,32,16.0,31.3%,17.1,18.8%,17.3,21.9%,17.7,12.5%,9.4%
OUACHITA RIVER SCHOOL DISTRICT,ODEN SCHOOLS,11,18.0,45.5%,16.6,9.1%,19.6,36.4%,18.2,9.1%,9.1%
COSSATOT RIVER SCHOOL DISTRICT,COSSATOT RIVER HIGH SCHOOL,61,16.0,32.8%,16.7,9.8%,18.0,26.2%,17.2,11.5%,6.6%
COSSATOT RIVER SCHOOL DISTRICT,UMPIRE K-12 SCHOOL,9,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10
