District Name,School Name,N,English Avg,English % Met,Math Avg,Math % Met,Reading Avg,Reading % Met,Science Avg,Science % Met,All % Met,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),Math Scores,RW Scores
MIDLAND SCHOOL DISTRICT,MIDLAND HIGH SCHOOL,30,15.2,26.70%,15.4,0.00%,16.5,16.70%,18.2,6.70%,0.00%,Arkansas,35.5472344,-91.6249662,741 Main Street,72568,Independence County,Pleasant Plains,5063,"741 Main Street, Pleasant Plains, Arkansas, 72568",490800,5063490800,2021,490800,Independence County,Arkansas,255,12,73,169,1,3214,77,214,1567,730,310,247,69,4.7,28.6,66.3,0.4,2.4,6.7,48.8,22.7,9.6,7.7,2.1,1720,44792,55327,4462,96,2.2,4366,97.8,4232,94.8,7,0.2,0,0,2,0,0,0,0,0,125,2.8,15.4,16.5
CEDAR RIDGE SCHOOL DISTRICT,CEDAR RIDGE HIGH SCHOOL,53,15.1,28.30%,16.1,7.50%,16.2,13.20%,16.8,7.50%,1.90%,Arkansas,35.7199993,-91.4455801,1500 North Hill Street,72562,Independence County,Newark,5063,"1500 North Hill Street, Newark, Arkansas, 72562",490400,5063490400,2021,490400,Independence County,Arkansas,264,19,97,124,24,3110,105,393,1123,862,266,247,114,7.2,36.7,47,9.1,3.4,12.6,36.1,27.7,8.6,7.9,3.7,1887,40319,51617,4352,81,1.9,4271,98.1,3915,90,25,0.6,1,0,0,0,0,0,0,0,330,7.6,16.1,16.2
CALICO ROCK SCHOOL DISTRICT,CALICO ROCK HIGH SCHOOL,29,19.9,65.50%,18.4,27.60%,20.7,55.20%,20.4,37.90%,17.20%,Arkansas,36.1226593,-92.1263721,1 Pirate Place,72519,Izard County,Calico Rock,5065,"1 Pirate Place, Calico Rock, Arkansas, 72519",960300,5065960300,2021,960300,Izard County,Arkansas,201,31,124,46,0,2606,230,406,1012,486,106,327,39,15.4,61.7,22.9,0,8.8,15.6,38.8,18.6,4.1,12.5,1.5,974,43955,47489,3333,186,5.6,3147,94.4,2449,73.5,113,3.4,2,0.1,0,0,5,0.2,0,0,578,17.3,18.4,20.7
MELBOURNE SCHOOL DISTRICT,MELBOURNE HIGH SCHOOL,51,20.8,60.80%,18.9,29.40%,20.4,45.10%,20.2,29.40%,11.80%,Arkansas,36.0700762,-91.8343653,310 Bearkat Drive,72556,Izard County,Melbourne,5065,"310 Bearkat Drive, Melbourne, Arkansas, 72556",960200,5065960200,2021,960200,Izard County,Arkansas,328,64,83,179,2,3180,367,308,893,671,283,505,153,19.5,25.3,54.6,0.6,11.5,9.7,28.1,21.1,8.9,15.9,4.8,1636,51094,73979,4456,3,0.1,4453,99.9,4315,96.8,6,0.1,81,1.8,1,0,0,0,0,0,50,1.1,18.9,20.4
IZARD COUNTY CONSOLIDATED SCHOOL DISTRICT,IZARD COUNTY CONSOLIDATED HIGH SCHOOL,32,17.3,50.00%,16.6,9.40%,18.4,34.40%,17.9,12.50%,3.10%,Arkansas,36.1548745,-91.9234721,5068 Arkansas 9,72517,Izard County,N/A,5065,"5068 Arkansas 9, N/A, Arkansas, 72517",960200,5065960200,2021,960200,Izard County,Arkansas,328,64,83,179,2,3180,367,308,893,671,283,505,153,19.5,25.3,54.6,0.6,11.5,9.7,28.1,21.1,8.9,15.9,4.8,1636,51094,73979,4456,3,0.1,4453,99.9,4315,96.8,6,0.1,81,1.8,1,0,0,0,0,0,50,1.1,16.6,18.4
NEWPORT SCHOOL DISTRICT,NEWPORT HIGH SCHOOL,49,16.3,36.70%,16.4,10.20%,17.2,18.40%,16.6,14.30%,4.10%,Arkansas,35.6010273,-91.2729184,406 Wilkerson Drive,72112,Jackson County,Newport,5067,"406 Wilkerson Drive, Newport, Arkansas, 72112",480200,5067480200,2021,480200,Jackson County,Arkansas,419,131,239,16,33,2088,84,247,841,402,195,175,144,31.3,57,3.8,7.9,4,11.8,40.3,19.3,9.3,8.4,6.9,1177,43072,54964,3249,60,1.8,3189,98.2,1849,56.9,825,25.4,0,0,0,0,0,0,0,0,515,15.9,16.4,17.2
JACKSON CO. SCHOOL DISTRICT,TUCKERMAN HIGH SCHOOL,64,18,48.40%,17,10.90%,17.5,21.90%,18.1,17.20%,7.80%,Arkansas,35.7363403,-91.2003036,300 Dowell Street,72473,Jackson County,Tuckerman,5067,"300 Dowell Street, Tuckerman, Arkansas, 72473",480100,5067480100,2021,480100,Jackson County,Arkansas,262,19,127,116,0,2137,81,171,937,510,88,207,143,7.3,48.5,44.3,0,3.8,8,43.8,23.9,4.1,9.7,6.7,1219,41979,55780,3416,27,0.8,3389,99.2,2957,86.6,17,0.5,0,0,0,0,0,0,0,0,415,12.1,17,17.5
DOLLARWAY SCHOOL DISTRICT,DOLLARWAY HIGH SCHOOL,48,13.3,18.80%,15.3,4.20%,14.6,6.30%,15,6.30%,2.10%,Arkansas,34.2380222,-92.0298031,2602 Fluker Street,71601,Jefferson County,Pine Bluff,5069,"2602 Fluker Street, Pine Bluff, Arkansas, 71601",502,5069000502,2021,501,Jefferson County,Arkansas,1474,0,332,1134,8,988,119,114,315,289,14,65,72,0,22.5,76.9,0.5,12,11.5,31.9,29.3,1.4,6.6,7.3,592,37206,41260,2870,39,1.4,2831,98.6,242,8.4,2507,87.4,14,0.5,68,2.4,0,0,0,0,0,0,15.3,14.6
PINE BLUFF SCHOOL DISTRICT,PINE BLUFF HIGH SCHOOL,150,12.8,12.70%,14.6,0.70%,14,6.00%,14.7,2.70%,0.70%,Arkansas,34.2192758,-92.0095733,711 West 11th Avenue,71601,Jefferson County,Pine Bluff,5069,"711 West 11th Avenue, Pine Bluff, Arkansas, 71601",1200,5069001200,2021,1200,Jefferson County,Arkansas,122,19,60,43,0,1250,225,84,523,147,65,154,52,15.6,49.2,35.2,0,18,6.7,41.8,11.8,5.2,12.3,4.2,795,24821,61276,1580,0,0,1580,100,133,8.4,1447,91.6,0,0,0,0,0,0,0,0,0,0,14.6,14
WATSON CHAPEL SCHOOL DISTRICT,WATSON CHAPEL HIGH SCHOOL,144,13.3,18.80%,14.9,0.70%,14.5,9.00%,15.1,2.80%,0.70%,Arkansas,34.1887184,-92.0672938,4000 South Camden Road,71603,Jefferson County,Pine Bluff,5069,"4000 South Camden Road, Pine Bluff, Arkansas, 71603",1501,5069001501,2021,1501,Jefferson County,Arkansas,339,72,180,87,0,2371,120,130,676,776,137,391,141,21.2,53.1,25.7,0,5.1,5.5,28.5,32.7,5.8,16.5,5.9,1418,38460,48391,4239,116,2.7,4123,97.3,321,7.6,3684,86.9,1,0,53,1.3,0,0,0,0,64,1.5,14.9,14.5
WHITE HALL SCHOOL DISTRICT,WHITE HALL HIGH SCHOOL,205,17,43.90%,17.7,18.00%,18,22.40%,18.2,17.10%,8.80%,Arkansas,34.283473,-92.1103403,700 Bulldog Drive,71602,Jefferson County,White Hall,5069,"700 Bulldog Drive, White Hall, Arkansas, 71602",302,5069000302,2021,302,Jefferson County,Arkansas,243,86,112,29,16,3485,272,232,1254,539,222,649,317,35.4,46.1,11.9,6.6,7.8,6.7,36,15.5,6.4,18.6,9.1,1923,81525,86017,5434,534,9.8,4900,90.2,3713,68.3,668,12.3,0,0,126,2.3,102,1.9,0,0,291,5.4,17.7,18
FRIENDSHIP ASPIRE ACADEMY SOUTHEAST PINE BLUFF,FRIENDSHIP ASPIRE ACADEMY SOUTHEAST PINE BLUFF HIG,24,12.5,12.50%,13.5,0.00%,14.6,16.70%,15.3,0.00%,0.00%,Arkansas,34.1895753,-92.022838,3911 South Hazel Street,71603,Jefferson County,Pine Bluff,5069,"3911 South Hazel Street, Pine Bluff, Arkansas, 71603",1800,5069001800,2021,1800,Jefferson County,Arkansas,288,7,127,121,33,1977,0,82,324,351,96,537,587,2.4,44.1,42,11.5,0,4.1,16.4,17.8,4.9,27.2,29.7,1217,56365,73491,2926,27,0.9,2899,99.1,639,21.8,2056,70.3,0,0,77,2.6,115,3.9,0,0,12,0.4,13.5,14.6
CLARKSVILLE SCHOOL DISTRICT,CLARKSVILLE HIGH SCHOOL,140,18,51.40%,17.4,15.00%,17.8,22.10%,18.2,18.60%,10.00%,Arkansas,35.492719,-93.5205641,,N/A,Johnson County,N/A,5071,,951900,5071951900,2021,951900,Johnson County,Arkansas,930,26,323,559,22,2089,362,176,637,350,128,189,247,2.8,34.7,60.1,2.4,17.3,8.4,30.5,16.8,6.1,9,11.8,1221,47406,75822,3760,828,22,2932,78,2417,64.3,194,5.2,0,0,92,2.4,40,1.1,82,2.2,107,2.8,17.4,17.8
LAMAR SCHOOL DISTRICT,LAMAR HIGH SCHOOL,79,17.1,36.70%,17.6,15.20%,18.5,26.60%,18.9,20.30%,11.40%,Arkansas,35.4385484,-93.3989373,358 Lewis Street,72846,Johnson County,Lamar,5071,"358 Lewis Street, Lamar, Arkansas, 72846",952200,5071952200,2021,952200,Johnson County,Arkansas,175,34,64,55,22,3131,168,291,1363,571,170,299,269,19.4,36.6,31.4,12.6,5.4,9.3,43.5,18.2,5.4,9.5,8.6,1852,46379,57876,4805,221,4.6,4584,95.4,4431,92.2,24,0.5,0,0,5,0.1,0,0,0,0,124,2.6,17.6,18.5
WESTSIDE SCHOOL DISTRICT (JOHNSON),WESTSIDE HIGH SCHOOL,33,12.9,15.20%,14.6,0.00%,14.9,6.10%,15.5,0.00%,0.00%,Arkansas,35.8562494,-90.8026742,1630 Arkansas 91,72404,Craighead County,Jonesboro,5031,"1630 Arkansas 91, Jonesboro, Arkansas, 72404",702,5031000702,2021,702,Craighead County,Arkansas,173,20,58,92,3,2346,156,82,929,303,265,452,159,11.6,33.5,53.2,1.7,6.6,3.5,39.6,12.9,11.3,19.3,6.8,1421,36907,56368,3672,0,0,3672,100,2669,72.7,1003,27.3,0,0,0,0,0,0,0,0,0,0,14.6,14.9
HOXIE SCHOOL DISTRICT,HOXIE HIGH SCHOOL,54,17.3,44.40%,16.4,5.60%,17.6,24.10%,18.4,22.20%,5.60%,Arkansas,36.0515763,-90.9807212,602 West Hartigan Street,72433,Lawrence County,Hoxie,5075,"602 West Hartigan Street, Hoxie, Arkansas, 72433",470501,5075470501,2021,470501,Lawrence County,Arkansas,274,31,108,128,7,1693,90,177,815,386,115,80,30,11.3,39.4,46.7,2.6,5.3,10.5,48.1,22.8,6.8,4.7,1.8,1102,30963,43906,2635,13,0.5,2622,99.5,2319,88,58,2.2,17,0.6,0,0,0,0,0,0,228,8.7,16.4,17.6
SLOAN-HENDRIX SCHOOL DISTRICT,SLOAN-HENDRIX HIGH SCHOOL,46,17.1,39.10%,16.8,6.50%,17.2,21.70%,17.5,8.70%,2.20%,Arkansas,36.2014797,-91.1869122,2 Greyhound Circle,72434,Lawrence County,Imboden,5075,"2 Greyhound Circle, Imboden, Arkansas, 72434",470200,5075470200,2021,470200,Lawrence County,Arkansas,357,26,227,86,18,2885,49,197,1228,654,301,366,90,7.3,63.6,24.1,5,1.7,6.8,42.6,22.7,10.4,12.7,3.1,1505,51925,64832,4381,72,1.6,4309,98.4,4194,95.7,0,0,3,0.1,4,0.1,0,0,0,0,108,2.5,16.8,17.2
HILLCREST SCHOOL DISTRICT,HILLCREST HIGH SCHOOL,26,18.1,50.00%,15.8,7.70%,18.1,23.10%,17.7,11.50%,7.70%,Arkansas,35.9647845,-91.3231241,146 South Main Street,72469,Lawrence County,Strawberry,5075,"146 South Main Street, Strawberry, Arkansas, 72469",470300,5075470300,2021,470300,Lawrence County,Arkansas,117,9,51,53,4,1361,74,121,530,273,101,198,64,7.7,43.6,45.3,3.4,5.4,8.9,38.9,20.1,7.4,14.5,4.7,750,44833,59876,1894,20,1.1,1874,98.9,1796,94.8,19,1,9,0.5,1,0.1,1,0.1,0,0,48,2.5,15.8,18.1
LAWRENCE COUNTY SCHOOL DISTRICT,WALNUT RIDGE HIGH SCHOOL,63,18,52.40%,17.3,17.50%,17.8,30.20%,18.3,15.90%,11.10%,Arkansas,36.0623854,-90.9572707,508 East Free Street,72476,Lawrence County,Walnut Ridge,5075,"508 East Free Street, Walnut Ridge, Arkansas, 72476",470502,5075470502,2021,470502,Lawrence County,Arkansas,358,0,173,133,52,3210,207,313,906,1096,103,350,235,0,48.3,37.2,14.5,6.4,9.8,28.2,34.1,3.2,10.9,7.3,1892,39009,57774,4604,98,2.1,4506,97.9,4351,94.5,108,2.3,2,0,0,0,0,0,0,0,45,1,17.3,17.8
LEE COUNTY SCHOOL DISTRICT,LEE HIGH SCHOOL,30,11.3,0.00%,14.3,0.00%,12,0.00%,13.7,0.00%,0.00%,Arkansas,34.7837556,-90.7802006,523 Forrest Avenue,72360,Lee County,Marianna,5077,"523 Forrest Avenue, Marianna, Arkansas, 72360",470300,5077470300,2021,470300,Lee County,Arkansas,429,162,200,67,0,2312,89,180,1083,611,156,167,26,37.8,46.6,15.6,0,3.8,7.8,46.8,26.4,6.7,7.2,1.1,1314,18015,38236,3680,3,0.1,3677,99.9,747,20.3,2861,77.7,0,0,0,0,0,0,0,0,69,1.9,14.3,12
STAR CITY SCHOOL DISTRICT,STAR CITY HIGH SCHOOL,104,15.6,30.80%,16.1,10.60%,16.6,19.20%,16.9,11.50%,6.70%,Arkansas,33.942278,-91.8400634,400 East Arkansas Street,71667,Lincoln County,Star City,5079,"400 East Arkansas Street, Star City, Arkansas, 71667",960500,5079960500,2021,960500,Lincoln County,Arkansas,122,8,41,40,33,1407,79,65,594,352,116,132,69,6.6,33.6,32.8,27,5.6,4.6,42.2,25,8.2,9.4,4.9,774,61771,71874,2048,34,1.7,2014,98.3,1687,82.4,297,14.5,8,0.4,0,0,0,0,0,0,22,1.1,16.1,16.6
ASHDOWN SCHOOL DISTRICT,ASHDOWN HIGH SCHOOL,85,15.7,37.60%,17.2,16.50%,17.8,23.50%,18,12.90%,9.40%,Arkansas,33.6836358,-94.1104449,,N/A,Little River County,N/A,5081,,30104,5081030104,2021,30104,Little River County,Arkansas,360,14,182,151,13,1436,9,72,430,448,124,271,82,3.9,50.6,41.9,3.6,0.6,5,29.9,31.2,8.6,18.9,5.7,851,59625,63641,2439,0,0,2439,100,1756,72,480,19.7,0,0,0,0,0,0,0,0,203,8.3,17.2,17.8
FOREMAN SCHOOL DISTRICT,FOREMAN HIGH SCHOOL,29,15.4,31.00%,16.7,13.80%,16.8,13.80%,16.3,6.90%,3.40%,Arkansas,33.7126516,-94.3927703,603 East Dollarhide Avenue,71836,Little River County,Foreman,5081,"603 East Dollarhide Avenue, Foreman, Arkansas, 71836",30200,5081030200,2021,30200,Little River County,Arkansas,239,2,73,164,0,1948,56,128,709,611,149,183,112,0.8,30.5,68.6,0,2.9,6.6,36.4,31.4,7.6,9.4,5.7,999,49003,66867,2766,157,5.7,2609,94.3,1631,59,834,30.2,42,1.5,0,0,0,0,0,0,102,3.7,16.7,16.8
BOONEVILLE SCHOOL DISTRICT,BOONEVILLE HIGH SCHOOL,57,17,40.40%,16.8,10.50%,17.7,21.10%,17.7,12.30%,8.80%,Arkansas,35.1469868,-93.9091176,945 North Plum Street,72927,Logan County,Booneville,5083,"945 North Plum Street, Booneville, Arkansas, 72927",950500,5083950500,2021,950500,Logan County,Arkansas,583,110,177,274,22,2392,125,225,1119,514,203,128,78,18.9,30.4,47,3.8,5.2,9.4,46.8,21.5,8.5,5.4,3.3,1555,41440,48539,3943,264,6.7,3679,93.3,3425,86.9,148,3.8,33,0.8,0,0,0,0,8,0.2,65,1.6,16.8,17.7
MAGAZINE SCHOOL DISTRICT,MAGAZINE HIGH SCHOOL,25,16,32.00%,17.5,20.00%,18.1,28.00%,17.7,16.00%,8.00%,Arkansas,35.1494143,-93.8021863,292 East Priddy Street,72943,Logan County,Magazine,5083,"292 East Priddy Street, Magazine, Arkansas, 72943",950600,5083950600,2021,950600,Logan County,Arkansas,144,8,89,47,0,1944,45,158,915,390,266,138,32,5.6,61.8,32.6,0,2.3,8.1,47.1,20.1,13.7,7.1,1.6,932,48293,71755,2768,99,3.6,2669,96.4,2313,83.6,46,1.7,36,1.3,0,0,0,0,0,0,274,9.9,17.5,18.1
PARIS SCHOOL DISTRICT,PARIS HIGH SCHOOL,67,15.8,37.30%,18.1,20.90%,18.5,31.30%,18.3,25.40%,14.90%,Arkansas,35.2980308,-93.7059402,2000 East Wood Street,72855,Logan County,Paris,5083,"2000 East Wood Street, Paris, Arkansas, 72855",950300,5083950300,2021,950300,Logan County,Arkansas,163,66,67,30,0,2755,97,245,1184,699,173,196,161,40.5,41.1,18.4,0,3.5,8.9,43,25.4,6.3,7.1,5.8,1609,41127,53215,3684,106,2.9,3578,97.1,3277,89,45,1.2,5,0.1,158,4.3,0,0,0,0,93,2.5,18.1,18.5
SCRANTON SCHOOL DISTRICT,SCRANTON HIGH SCHOOL,21,20.8,71.40%,20,28.60%,23.3,52.40%,21.6,42.90%,23.80%,Arkansas,35.3613962,-93.5388009,1003 Olive Street,72863,Logan County,Scranton,5083,"1003 Olive Street, Scranton, Arkansas, 72863",950100,5083950100,2021,950100,Logan County,Arkansas,160,30,15,115,0,3246,155,236,1385,721,233,290,226,18.8,9.4,71.9,0,4.8,7.3,42.7,22.2,7.2,8.9,7,1697,50914,57820,4019,62,1.5,3957,98.5,3731,92.8,10,0.2,15,0.4,64,1.6,0,0,2,0,135,3.4,20,23.3
LONOKE SCHOOL DISTRICT,LONOKE HIGH SCHOOL,95,16.2,40.00%,16.6,8.40%,16.4,16.80%,17.1,8.40%,3.20%,Arkansas,34.7805718,-91.9043295,405 West Academy Street,72086,Lonoke County,Lonoke,5085,"405 West Academy Street, Lonoke, Arkansas, 72086",20500,5085020500,2021,20500,Lonoke County,Arkansas,472,41,178,102,151,3130,219,326,1167,440,470,360,148,8.7,37.7,21.6,32,7,10.4,37.3,14.1,15,11.5,4.7,2052,42500,66748,4962,252,5.1,4710,94.9,3666,73.9,937,18.9,0,0,7,0.1,0,0,0,0,100,2,16.6,16.4
ENGLAND SCHOOL DISTRICT,ENGLAND HIGH SCHOOL,33,15.5,30.30%,15.6,6.10%,17.1,15.20%,16.4,9.10%,0.00%,Arkansas,34.5426933,-91.9543822,501 Pine Bluff Highway,72046,Lonoke County,England,5085,"501 Pine Bluff Highway, England, Arkansas, 72046",20700,5085020700,2021,20700,Lonoke County,Arkansas,120,0,60,55,5,1903,84,82,746,536,77,272,106,0,50,45.8,4.2,4.4,4.3,39.2,28.2,4,14.3,5.6,1087,49596,68365,2600,101,3.9,2499,96.1,1778,68.4,587,22.6,23,0.9,0,0,0,0,0,0,111,4.3,15.6,17.1
CARLISLE SCHOOL DISTRICT,CARLISLE HIGH SCHOOL,33,16.8,36.40%,16.8,6.10%,18.4,24.20%,17.9,18.20%,3.00%,Arkansas,34.7794609,-91.7317962,145 Raborn Road,72024,Lonoke County,Carlisle,5085,"145 Raborn Road, Carlisle, Arkansas, 72024",20400,5085020400,2021,20400,Lonoke County,Arkansas,196,51,125,20,0,2116,79,143,1105,262,165,198,164,26,63.8,10.2,0,3.7,6.8,52.2,12.4,7.8,9.4,7.8,1115,47550,65040,3025,0,0,3025,100,2583,85.4,304,10,17,0.6,0,0,0,0,0,0,121,4,16.8,18.4
CABOT SCHOOL DISTRICT,CABOT HIGH SCHOOL,649,18.6,54.40%,18.9,25.90%,19.7,38.50%,19.5,28.40%,17.10%,Arkansas,34.9722833,-92.0113661,401 North Lincoln Street,72023,Lonoke County,Cabot,5085,"401 North Lincoln Street, Cabot, Arkansas, 72023",20202,5085020202,2021,20202,Lonoke County,Arkansas,238,0,121,117,0,2196,73,99,856,474,189,325,180,0,50.8,49.2,0,3.3,4.5,39,21.6,8.6,14.8,8.2,1305,53459,70861,3479,146,4.2,3333,95.8,2867,82.4,173,5,0,0,36,1,0,0,0,0,257,7.4,18.9,19.7
CABOT SCHOOL DISTRICT,ACADEMIC CENTER FOR EXCELLENCE,77,13.6,15.60%,15.8,1.30%,15.7,14.30%,15.4,1.30%,1.30%,Arkansas,34.9791752,-91.949021,,N/A,Lonoke County,N/A,5085,,20103,5085020103,2021,20103,Lonoke County,Arkansas,476,73,185,193,25,4621,136,163,1328,964,578,886,566,15.3,38.9,40.5,5.3,2.9,3.5,28.7,20.9,12.5,19.2,12.2,2615,78521,101698,7132,188,2.6,6944,97.4,6524,91.5,128,1.8,18,0.3,150,2.1,43,0.6,0,0,81,1.1,15.8,15.7
HUNTSVILLE SCHOOL DISTRICT,HUNTSVILLE HIGH SCHOOL,86,18.3,47.70%,18.3,16.30%,18.2,27.90%,20,29.10%,15.10%,Arkansas,36.0809587,-93.7345623,594 South Harris Street,72740,Madison County,Huntsville,5087,"594 South Harris Street, Huntsville, Arkansas, 72740",960200,5087960200,2021,960200,Madison County,Arkansas,344,87,152,94,11,2300,176,304,1062,372,136,158,92,25.3,44.2,27.3,3.2,7.7,13.2,46.2,16.2,5.9,6.9,4,1309,47861,65338,4113,583,14.2,3530,85.8,3014,73.3,13,0.3,0,0,0,0,76,1.8,0,0,427,10.4,18.3,18.2
HUNTSVILLE SCHOOL DISTRICT,ST. PAUL HIGH SCHOOL,15,15.9,33.30%,15.5,13.30%,17,26.70%,18.3,13.30%,13.30%,Arkansas,35.8233988,-93.7658859,232 4th Street,72760,Madison County,Saint Paul,5087,"232 4th Street, Saint Paul, Arkansas, 72760",960400,5087960400,2021,960400,Madison County,Arkansas,130,2,91,37,0,2496,217,150,1241,489,69,188,142,1.5,70,28.5,0,8.7,6,49.7,19.6,2.8,7.5,5.7,1361,40594,54308,3211,54,1.7,3157,98.3,2867,89.3,0,0,0,0,5,0.2,26,0.8,0,0,259,8.1,15.5,17
FLIPPIN SCHOOL DISTRICT,FLIPPIN HIGH SCHOOL,43,16.8,41.90%,16.9,11.60%,19.4,39.50%,18.4,20.90%,9.30%,Arkansas,36.2800767,-92.5998122,103 Alford Street,72634,Marion County,Flippin,5089,"103 Alford Street, Flippin, Arkansas, 72634",960202,5089960202,2021,960202,Marion County,Arkansas,210,61,93,40,16,2555,109,200,1028,617,155,273,173,29,44.3,19,7.6,4.3,7.8,40.2,24.1,6.1,10.7,6.8,1343,51359,56472,3551,70,2,3481,98,3298,92.9,0,0,23,0.6,24,0.7,0,0,0,0,136,3.8,16.9,19.4
YELLVILLE-SUMMIT SCHOOL DISTRICT,YELLVILLE-SUMMIT HIGH SCHOOL,61,18.4,52.50%,17.3,13.10%,19,29.50%,19.3,27.90%,9.80%,Arkansas,36.2414986,-92.6886392,1124 North Panther Avenue,72687,Marion County,Yellville,5089,"1124 North Panther Avenue, Yellville, Arkansas, 72687",960201,5089960201,2021,960201,Marion County,Arkansas,331,80,118,94,39,2312,72,216,994,594,212,157,67,24.2,35.6,28.4,11.8,3.1,9.3,43,25.7,9.2,6.8,2.9,1223,44021,54639,3663,65,1.8,3598,98.2,3374,92.1,127,3.5,0,0,4,0.1,0,0,0,0,93,2.5,17.3,19
GENOA CENTRAL SCHOOL DISTRICT,GENOA CENTRAL HIGH SCHOOL,77,17.8,48.10%,18.7,26.00%,19,35.10%,18.5,19.50%,9.10%,Arkansas,33.3736527,-93.8743089,12472 Arkansas 196,71854,Miller County,Texarkana,5091,"12472 Arkansas 196, Texarkana, Arkansas, 71854",20902,5091020902,2021,20902,Miller County,Arkansas,570,13,403,19,135,4228,176,106,1610,1027,309,513,487,2.3,70.7,3.3,23.7,4.2,2.5,38.1,24.3,7.3,12.1,11.5,2242,56725,68671,6476,67,1,6409,99,6224,96.1,161,2.5,12,0.2,0,0,0,0,0,0,12,0.2,18.7,19
FOUKE SCHOOL DISTRICT,FOUKE HIGH SCHOOL,61,16.9,44.30%,17.3,11.50%,18.4,24.60%,18.9,24.60%,6.60%,Arkansas,33.2643567,-93.8826373,403 Panther Dr,71837,Miller County,Fouke,5091,"403 Panther Dr, Fouke, Arkansas, 71837",21002,5091021002,2021,21002,Miller County,Arkansas,363,20,236,94,13,2896,46,323,1050,829,301,270,77,5.5,65,25.9,3.6,1.6,11.2,36.3,28.6,10.4,9.3,2.7,1537,63427,73522,4603,155,3.4,4448,96.6,4301,93.4,17,0.4,69,1.5,0,0,0,0,16,0.3,45,1,17.3,18.4
TEXARKANA SCHOOL DISTRICT,ARKANSAS HIGH SCHOOL,192,15.7,32.80%,16.3,9.40%,16.6,17.20%,17.2,10.40%,5.70%,Arkansas,33.4377803,-94.0292036,1500 Jefferson Avenue,71854,Miller County,Texarkana,5091,"1500 Jefferson Avenue, Texarkana, Arkansas, 71854",20702,5091020702,2021,20702,Miller County,Arkansas,289,13,193,76,7,2253,195,75,680,714,192,236,161,4.5,66.8,26.3,2.4,8.7,3.3,30.2,31.7,8.5,10.5,7.1,1505,40824,64853,3376,14,0.4,3362,99.6,1465,43.4,1886,55.9,0,0,0,0,0,0,0,0,11,0.3,16.3,16.6
ARMOREL SCHOOL DISTRICT,ARMOREL HIGH SCHOOL,30,18.1,50.00%,17.5,23.30%,17.2,26.70%,19.4,26.70%,16.70%,Arkansas,35.9171821,-89.79941,7 S Main St,72310,Mississippi County,Armorel,5093,"7 S Main St, Armorel, Arkansas, 72310",10700,5093010700,2021,10700,Mississippi County,Arkansas,356,31,198,115,12,2703,190,215,1013,560,267,359,99,8.7,55.6,32.3,3.4,7,8,37.5,20.7,9.9,13.3,3.7,1637,69375,80605,3938,107,2.7,3831,97.3,3612,91.7,59,1.5,3,0.1,39,1,0,0,0,0,118,3,17.5,17.2
BLYTHEVILLE SCHOOL DISTRICT,BLYTHEVILLE HIGH SCHOOL-A NEW TECH SCHOOL,72,13.8,23.60%,14.5,1.40%,14.9,6.90%,16,4.20%,1.40%,Arkansas,35.933475,-89.9132768,600 North 10th Street,72315,Mississippi County,Blytheville,5093,"600 North 10th Street, Blytheville, Arkansas, 72315",10100,5093010100,2021,10100,Mississippi County,Arkansas,52,0,40,5,7,966,47,102,487,236,19,48,27,0,76.9,9.6,13.5,4.9,10.6,50.4,24.4,2,5,2.8,522,35093,33386,1674,44,2.6,1630,97.4,218,13,1308,78.1,0,0,0,0,0,0,73,4.4,31,1.9,14.5,14.9
