,School Name,Grades,District Name,Math: % Met Readiness Benchmark,English: % Met Readiness Benchmark,Reading: % Met Readiness Benchmark,Science: % Met Readiness Benchmark,% Met Readiness Benchmark in all Four Subjects, School Enrollment ,School % FRL,School % White,School % Hispanic,School % Black,School % Other Races,School Overall % Minority,Region,Number of Students in Grade 11, Number of Students in grade 11 that took the ACT, % Students in grade 11 that took the ACT in 2015-16, Average ACT Math Score , Average ACT English Score , Average ACT Reading Score , Average ACT Science Score ,Is Open Enrollment Charter,County,School LEA,DLEA,Year
32,BIGELOW HIGH SCHOOL,7-12,EAST END SCHOOL DISTRICT,8%,27%,15%,8%,8%,311,50%,82%,9%,5%,4%,18%,1,45,26,58%,17.2,15.6,16.2,17.1,0,PERRY,5301002,5301000,2021
33,BISMARCK HIGH SCHOOL,9-12,BISMARCK SCHOOL DISTRICT,25%,66%,30%,30%,9%,295,53%,91%,5%,2%,2%,9%,3,68,53,78%,18.5,19.1,18.8,19.7,0,HOT SPRING,3001003,3001000,2021
34,BLEVINS HIGH SCHOOL,7-12,BLEVINS SCHOOL DISTRICT,7%,30%,26%,7%,4%,195,80%,64%,13%,18%,6%,36%,4,30,27,90%,16,16.1,16.9,16.6,0,HEMPSTEAD,2901002,2901000,2021
35,BOONEVILLE HIGH SCHOOL,10-12,BOONEVILLE SCHOOL DISTRICT,19%,46%,31%,21%,13%,252,67%,87%,8%,1%,5%,13%,1,91,80,88%,17.7,17.8,18.5,18.8,0,LOGAN,4201002,4201000,2021
36,BRADFORD HIGH SCHOOL,7-12,BRADFORD SCHOOL DISTRICT,4%,39%,30%,17%,4%,208,80%,97%,0%,2%,0%,3%,2,31,23,74%,15.8,16.9,18.1,17.4,0,WHITE,7303015,7303000,2021
37,BRADLEY HIGH SCHOOL,7-12,EMERSON-TAYLOR-BRADLEY SCHOOL DISTRICT,35%,65%,41%,29%,24%,137,57%,63%,4%,34%,0%,37%,4,17,17,100%,18.8,18.9,19.3,19.2,0,COLUMBIA,1408007,1408000,2021
38,BRINKLEY HIGH SCHOOL,7-12,BRINKLEY SCHOOL DISTRICT,8%,15%,12%,4%,0%,179,75%,31%,2%,65%,2%,69%,5,35,26,74%,15.2,12.7,14.4,14.8,0,MONROE,4801003,4801000,2021
39,BROOKLAND HIGH SCHOOL,10-12,BROOKLAND SCHOOL DISTRICT,16%,43%,36%,28%,11%,569,30%,91%,4%,4%,2%,9%,2,198,172,87%,18.1,17.5,19.2,19.7,0,CRAIGHEAD,1603007,1603000,2021
40,BRUNO-PYATT K-12 SCHOOL,K-12,OZARK MOUNTAIN SCHOOL DISTRICT,8%,42%,42%,8%,8%,157,80%,94%,3%,0%,3%,6%,1,15,12,80%,16.8,17.6,20.4,19.3,0,SEARCY,6505017,6505000,2021
41,BRYANT HIGH SCHOOL,10-12,BRYANT SCHOOL DISTRICT,26%,54%,37%,29%,19%,2063,36%,62%,15%,20%,4%,38%,3,701,609,87%,18.5,18.9,20,19.5,0,SALINE,6303022,6303000,2021
42,BUFFALO ISLAND CENTRAL HIGH SCHOOL,7-12,BUFFALO ISLAND CENTRAL SCHOOL DISTRICT,5%,44%,27%,20%,2%,341,56%,78%,21%,0%,1%,22%,2,53,41,77%,16.2,17.6,18.6,18.2,0,CRAIGHEAD,1605065,1605000,2021
43,CABOT HIGH SCHOOL,10-12,CABOT SCHOOL DISTRICT,26%,53%,38%,33%,20%,2138,29%,83%,8%,3%,7%,17%,3,698,636,91%,18.9,18.8,19.8,20.1,0,LONOKE,4304005,4304000,2021
44,CADDO HILLS HIGH SCHOOL,7-12,CADDO HILLS SCHOOL DISTRICT,9%,36%,18%,12%,9%,259,71%,79%,17%,0%,4%,21%,4,42,33,79%,16.8,16.1,16.8,17.7,0,MONTGOMERY,4901003,4901000,2021
