school_name,School Code,tests_taken,SAT_reading_writing,Total # of Classes,avg_class_size,number_of_students,Female %,Male %,perc_english_learner,perc_disabilities,perc_econ_disadvg,District Code,perc_african_american,perc_asian,perc_hispanic,perc_white,perc_native_american,perc_hawaiian_pacific_isl,perc_multi_race_non_hisp,District Name,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,total_exp_per_pupil,year,SAT_math_19,SAT_math_20,SAT_math_21,SAT_math_22,SAT_math_23
chelsea - chelsea high,570505,177,477,521.0,21.0,1492.0,44.1,55.9,61.5,32.6,10.5,570000.0,4.6,0.3,88.4,4.9,0.1,0.1,1.6,Chelsea,"          $89,492,256.55",6063.0,"              $14,760.39","         $116,549,314.68",7211.2,16162.26,2019.0,464.0,466.0,520.0,472.0,475.0
chicopee - chicopee comprehensive high school,610510,161,553,631.0,16.3,1210.0,44.1,55.9,42.1,3.5,15.5,610000.0,2.3,2.5,27.8,65.0,0.3,0.0,2.2,Chicopee,"         $113,712,185.40",7433.2,"              $15,297.88","         $121,204,949.74",7956.7,15233.07,2019.0,533.0,548.0,555.0,531.0,533.0
chicopee - chicopee high,610505,117,531,550.0,17.5,1037.0,48.9,51.1,54.6,6.3,18.0,610000.0,5.7,2.6,45.4,44.5,0.0,0.0,1.8,Chicopee,"         $113,712,185.40",7433.2,"              $15,297.88","         $121,204,949.74",7956.7,15233.07,2019.0,520.0,528.0,523.0,519.0,500.0
clinton - clinton senior high,640505,112,522,232.0,13.8,453.0,45.3,54.8,32.2,10.6,17.7,640000.0,5.1,2.0,28.9,62.7,0.0,0.0,1.3,Clinton,"          $25,315,827.82",1861.1,"              $13,602.62","          $31,622,700.96",2175.3,14537.17,2019.0,511.0,489.0,498.0,508.0,492.0
codman academy charter public (district) - codman academy charter public school,4380505,53,435,162.0,14.5,353.0,49.9,50.1,66.0,9.4,25.2,4380000.0,77.1,0.0,20.4,1.1,0.3,0.0,1.1,Codman Academy Charter Public (District),"           $8,175,206.08",344.5,"              $23,730.64","           $8,175,206.08",344.5,23730.64,2019.0,454.0,469.0,417.0,402.0,393.0
concord-carlisle - concord carlisle high,6400505,251,631,535.0,19.3,1287.0,51.7,48.1,6.4,0.6,16.4,6400000.0,4.5,8.2,4.7,77.7,0.1,0.0,4.7,Concord-Carlisle,"          $26,498,454.00",1253.4,"              $21,141.26","          $30,602,986.23",1298.2,23573.4,2019.0,640.0,647.0,647.0,648.0,647.0
danvers - danvers high,710505,247,556,472.0,15.4,889.0,49.4,50.5,17.9,0.9,17.2,710000.0,1.9,2.9,8.7,84.1,0.0,0.0,2.4,Danvers,"          $56,842,292.82",3483.9,"              $16,315.71","          $62,764,509.82",3603.1,17419.59,2019.0,543.0,550.0,530.0,528.0,546.0
dartmouth - dartmouth high,720505,258,557,462.0,18.8,1054.0,49.2,50.8,16.6,0.4,12.3,720000.0,2.3,0.2,4.4,85.2,0.0,0.0,8.0,Dartmouth,"          $49,391,329.92",3649.3,"              $13,534.47","          $53,739,695.96",3735.2,14387.37,2019.0,548.0,554.0,559.0,548.0,544.0
dedham - dedham high,730505,222,552,383.0,14.2,730.0,50.4,49.5,23.3,4.4,18.8,730000.0,9.5,2.5,15.2,70.8,0.0,0.0,2.1,Dedham,"          $52,193,480.74",2676.2,"              $19,502.83","          $57,564,643.03",2764.7,20821.3,2019.0,571.0,549.0,586.0,561.0,572.0
dennis-yarmouth - dennis-yarmouth regional high,6450505,222,527,664.0,12.8,909.0,50.8,49.2,38.0,6.8,16.4,6450000.0,10.0,2.5,14.2,66.0,1.9,0.0,5.4,Dennis-Yarmouth,"          $53,512,638.00",2956.0,"              $18,103.06","          $61,047,245.00",3522.7,17329.67,2019.0,511.0,511.0,531.0,518.0,519.0
dighton-rehoboth - dighton-rehoboth regional high school,6500505,183,549,353.0,17.2,759.0,48.5,51.5,14.1,0.0,9.9,6500000.0,1.5,0.9,3.7,91.8,0.1,0.0,2.0,Dighton-Rehoboth,"          $41,193,711.65",2913.5,"              $14,138.91","          $44,696,172.60",2991.4,14941.56,2019.0,539.0,540.0,537.0,540.0,532.0
douglas - douglas high school,770505,97,555,214.0,13.1,362.0,50.6,49.5,16.9,0.0,17.4,770000.0,1.4,1.9,4.7,89.2,0.0,0.8,1.9,Douglas,"          $18,634,706.26",1275.7,"              $14,607.44","          $21,288,300.28",1365.4,15591.26,2019.0,529.0,517.0,535.0,547.0,522.0
dover-sherborn - dover-sherborn regional high,6550505,167,625,347.0,16.4,672.0,50.5,49.4,3.3,0.9,13.8,6550000.0,2.8,7.9,4.3,80.2,0.3,0.0,4.5,Dover-Sherborn,"          $24,760,650.66",1181.2,"              $20,962.28","          $26,008,146.66",1214.6,21412.93,2019.0,629.0,651.0,642.0,645.0,647.0
dracut - dracut senior high,790505,197,545,395.0,19.3,889.0,48.5,51.3,19.2,2.5,11.0,790000.0,9.2,8.0,7.1,72.4,0.9,0.0,2.4,Dracut,"          $42,836,651.22",3661.9,"              $11,697.93","          $49,943,922.40",4055.8,12314.2,2019.0,559.0,545.0,512.0,526.0,523.0
dudley-charlton reg - shepherd hill regional high,6580505,260,556,436.0,18.0,1046.0,51.7,48.2,19.4,0.6,10.1,6580000.0,2.0,1.6,8.6,85.1,0.2,0.1,2.4,Dudley-Charlton Reg,"          $48,861,493.91",3817.9,"              $12,798.00","          $52,601,781.70",3917.4,13427.73,2019.0,564.0,547.0,569.0,559.0,556.0
duxbury - duxbury high,820505,351,585,514.0,16.9,988.0,48.7,51.3,5.8,0.2,12.8,820000.0,0.3,1.6,2.2,92.8,0.1,0.0,2.9,Duxbury,"          $47,803,494.96",2999.9,"              $15,935.03","          $50,336,078.96",3047.4,16517.71,2019.0,573.0,578.0,572.0,580.0,578.0
east bridgewater - east bridgewater jr./sr. high school,830505,159,539,478.0,21.5,1020.0,47.7,52.4,18.9,0.8,17.2,830000.0,3.0,0.6,1.9,91.9,0.4,0.1,2.2,East Bridgewater,"          $27,911,962.00",2251.7,"              $12,395.95","          $30,599,305.00",2333.2,13114.74,2019.0,517.0,514.0,521.0,529.0,516.0
east longmeadow - east longmeadow high,870505,212,559,334.0,17.9,833.0,46.9,52.9,18.9,0.8,16.5,870000.0,3.0,6.1,7.6,81.9,0.2,0.1,1.1,East Longmeadow,"          $39,964,265.31",2637.8,"              $15,150.60","          $43,866,375.31",2727.8,16081.23,2019.0,564.0,560.0,572.0,573.0,563.0
easthampton - easthampton high,860505,89,536,197.0,15.6,454.0,51.5,48.0,29.1,1.3,16.3,860000.0,2.0,3.7,12.6,78.6,0.0,0.2,2.9,Easthampton,"          $21,330,631.78",1566.1,"              $13,620.22","          $27,047,635.99",1899.5,14239.35,2019.0,514.0,528.0,504.0,536.0,532.0
easton - oliver ames high,880505,348,572,530.0,18.0,1123.0,50.3,49.7,14.1,1.0,18.2,880000.0,7.5,3.4,5.0,80.4,0.3,0.1,3.4,Easton,"          $49,710,810.10",3621.5,"              $13,726.58","          $54,556,305.09",3723.6,14651.49,2019.0,572.0,552.0,567.0,566.0,566.0
