school_name,Grade,District Name, Average % ACT Composite Score ,perc_test_taking_grades_9_12_students,number_of_students,perc_frl,perc_white,perc_hispanic,perc_african_american,perc_other_race,perc_minority,Region, Number of Students in Grades 9-12 , % Students in grade 9-12 that took the ACT2,ACT_reading,ACT_english,ACT_math,ACT_science,Average ACT Composite Score,number_AP_exam_taking_students,number_AP_exams_taken,% of Exams that scored 3 or Above,is_open_enrollment_charter,School LEA,DLEA,Year,year
Arkansas Consolidated High School-Alexander,5-12,Division Of Youth Services School System,11.0,14.0,104.0,100.0,50.0,1.0,47.0,2.0,50.0,3,76,14%,10.0,9.5,14.5,11.0,11.0, N/A , N/A ,,0,6094001,6094000,2022,2022.0
Arkansas Consolidated High School-Dermott,9-12,Division Of Youth Services School System,14.67,125.0,8.0,100.0,50.0,0.0,50.0,0.0,50.0,3,8,125%,15.33,13.33,14.67,15.0,14.67, N/A , N/A ,,0,6094002,6094000,2022,2022.0
Arkansas Consolidated High School-Harrisburg,7-12,Division Of Youth Services School System,13.5,36.0,16.0,100.0,38.0,0.0,63.0,0.0,63.0,3,14,36%,13.0,12.25,13.5,15.25,13.5, N/A , N/A ,,0,6094006,6094000,2022,2022.0
Arkansas High School,9-12,Texarkana School District,16.59,37.0,1060.0,59.0,34.0,6.0,54.0,6.0,66.0,4,1060,37%,16.62,16.28,15.93,17.11,16.59,170,238,29%,0,4605026,4605000,2022,2022.0
Arkansas Virtual Academy High School,9-12,Arkansas Virtual Academy,18.67,16.0,1695.0,66.0,71.0,6.0,18.0,5.0,29.0,3,1695,16%,20.14,18.4,16.9,18.7,18.67,19,12,RV,1,6043703,6043700,2022,2022.0
Armorel High School,7-12,Armorel School District,18.95,50.0,192.0,38.0,83.0,5.0,8.0,4.0,17.0,2,124,50%,19.15,18.65,17.7,19.7,18.95, N<10 ,12,92%,0,4701002,4701000,2022,2022.0
Ashdown High School,9-12,Ashdown School District,17.73,47.0,398.0,69.0,62.0,5.0,27.0,7.0,38.0,4,398,47%,17.74,16.8,17.09,18.49,17.73,24,44,30%,0,4101004,4101000,2022,2022.0
Atkins High School,9-12,Atkins School District,18.86,37.0,328.0,56.0,91.0,3.0,2.0,3.0,9.0,1,328,37%,19.2,18.35,18.53,18.71,18.86,28,41,29%,0,5801002,5801000,2022,2022.0
Augusta High School,6-12,Augusta School District,17.79,35.0,186.0,85.0,41.0,2.0,51.0,7.0,59.0,2,102,35%,17.95,18.16,16.42,18.26,17.79, N<10 , N/A ,,0,7401003,7401000,2022,2022.0
Bald Knob High School,9-12,Bald Knob School District,19.83,40.0,366.0,54.0,87.0,7.0,2.0,4.0,13.0,2,366,40%,20.53,19.35,19.33,19.53,19.83,31,48,RV,0,7301003,7301000,2022,2022.0
Barton High School,7-12,Barton-Lexa School District,17.57,56.0,323.0,85.0,57.0,2.0,40.0,1.0,43.0,5,209,56%,16.97,17.06,16.94,18.51,17.57, N<10 ,12,RV,0,5401003,5401000,2022,2022.0
Batesville High School Charter,9-12,Batesville School District,19.39,40.0,973.0,45.0,61.0,29.0,5.0,5.0,39.0,2,973,40%,19.9,18.65,18.2,20.22,19.39,70,124,79%,0,3201703,3201000,2022,2022.0
Bauxite High School,9-12,Bauxite School District,18.57,44.0,492.0,29.0,90.0,6.0,3.0,1.0,10.0,3,492,44%,18.57,18.07,17.68,19.29,18.57,86,100,26%,0,6301002,6301000,2022,2022.0
Bay High School,7-12,Bay School District,17.41,47.0,241.0,52.0,94.0,1.0,3.0,2.0,6.0,2,159,47%,17.92,17.23,16.21,17.72,17.41,14,27,48%,0,1601002,1601000,2022,2022.0
Bearden High School,7-12,Bearden School District,17.81,46.0,218.0,70.0,56.0,5.0,34.0,6.0,44.0,4,134,46%,18.52,17.74,16.55,17.97,17.81,25,42,RV,0,5201002,5201000,2022,2022.0
