District Name,School Name,Number of Test Takers,Math Avg,Math % Met,English Avg,English % Met,Reading Avg,Reading % Met,Science Avg,Science % Met,All % Met
ARKANSAS VIRTUAL ACADEMY,ARKANSAS VIRTUAL ACADEMY HIGH SCHOOL,97,17.0,15.5%,18.4,53.6%,19.6,38.1%,18.7,24.7%,12.4%
ESTEM PUBLIC CHARTER SCHOOL,ESTEM HIGH SCHOOL,163,18.0,22.1%,18.0,45.4%,18.9,31.9%,19.1,24.5%,17.8%
JACKSONVILLE LIGHTHOUSE CHARTER,JACKSONVILLE LIGHTHOUSE COLLEGE PREPARATORY ACADEM,26,15.1,7.7%,15.1,38.5%,16.1,19.2%,16.7,11.5%,3.8%
GRADUATE ARKANSAS  CHARTER,GRADUATE ARKANSAS CHARTER HIGH,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10
RESPONSIVE ED SOLUTIONS PREMIER HIGH SCHOOL OF LIT,PREMIER HIGH SCHOOL OF LITTLE ROCK,13,13.4,0.0%,12.4,15.4%,14.2,0.0%,15.2,0.0%,0.0%
RESPONSIVE ED SOLUTIONS PREMIER HIGH SCHOOL OF NOR,PREMIER HIGH SCHOOL OF NORTH LITTLE ROCK,11,14.4,0.0%,13.5,9.1%,14.8,0.0%,15.8,0.0%,0.0%
ARKANSAS SCHOOL FOR THE BLIND,ARKANSAS SCHOOL FOR THE BLIND HIGH SCHOOL,10,15.3,0.0%,14.7,40.0%,19.5,30.0%,17.3,0.0%,0.0%
DIVISION OF YOUTH SERVICES SCHOOL SYSTEM,ARKANSAS CONSOLIDATED HIGH SCHOOL-ALEXANDER,15,14.6,6.7%,11.9,6.7%,14.1,6.7%,14.5,6.7%,6.7%
DIVISION OF YOUTH SERVICES SCHOOL SYSTEM,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10
DIVISION OF YOUTH SERVICES SCHOOL SYSTEM,ARKANSAS CONSOLIDATED HIGH SCHOOL-MANSFIELD,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10
DIVISION OF YOUTH SERVICES SCHOOL SYSTEM,ARKANSAS CONSOLIDATED HIGH SCHOOL-HARRISBURG,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10
MAYNARD SCHOOL DISTRICT,MAYNARD HIGH SCHOOL,34,15.5,2.9%,15.6,41.2%,16.7,11.8%,18.1,8.8%,2.9%
POCAHONTAS SCHOOL DISTRICT,POCAHONTAS HIGH SCHOOL,155,17.1,16.1%,17.5,47.1%,17.6,26.5%,17.6,18.1%,9.0%
FORREST CITY SCHOOL DISTRICT,FORREST CITY HIGH SCHOOL,128,14.8,3.1%,12.6,12.5%,13.8,7.8%,14.5,2.3%,1.6%
PALESTINE-WHEATLEY SCHOOL DISTRICT,PALESTINE-WHEATLEY SENIOR HIGH,32,15.8,3.1%,16.2,37.5%,16.5,9.4%,16.8,6.3%,3.1%
BAUXITE SCHOOL DISTRICT,BAUXITE HIGH SCHOOL,108,16.8,11.1%,17.1,44.4%,17.8,27.8%,18.3,20.4%,6.5%
BAUXITE SCHOOL DISTRICT,MINER ACADEMY,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10
BENTON SCHOOL DISTRICT,BENTON HIGH SCHOOL,393,19.9,37.4%,19.8,58.0%,20.4,43.8%,20.3,34.6%,24.2%
BRYANT SCHOOL DISTRICT,BRYANT HIGH SCHOOL,609,18.5,25.8%,18.9,54.0%,20.0,37.4%,19.5,28.9%,18.9%
HARMONY GROVE SCHOOL DISTRICT (SALINE),HARMONY GROVE HIGH SCHOOL,88,17.2,17.0%,16.7,44.3%,17.6,22.7%,18.0,19.3%,12.5%
